NODE=[HOST_e8d809bd94] | JOB=crn1-k49-s15 4921228 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49/50-62 --seed 15 --save-directory cluster/Account1/metaopt/hmo-crn1/runs/crn1 --run-name crn1-k49-s15
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.28 %, Test Accuracy: 1.29 %
Epoch 1, Train Accuracy: 1.24 %, Test Accuracy: 1.33 %
Epoch 2, Train Accuracy: 1.22 %, Test Accuracy: 1.28 %
Epoch 3, Train Accuracy: 1.29 %, Test Accuracy: 1.27 %
Epoch 4, Train Accuracy: 1.19 %, Test Accuracy: 1.31 %
Epoch 5, Train Accuracy: 1.28 %, Test Accuracy: 1.37 %
Epoch 6, Train Accuracy: 1.33 %, Test Accuracy: 1.39 %
Epoch 7, Train Accuracy: 1.50 %, Test Accuracy: 1.62 %
Epoch 8, Train Accuracy: 1.90 %, Test Accuracy: 2.07 %
Epoch 9, Train Accuracy: 2.64 %, Test Accuracy: 3.09 %
Epoch 10, Train Accuracy: 3.72 %, Test Accuracy: 4.35 %
Epoch 11, Train Accuracy: 4.57 %, Test Accuracy: 5.50 %
Epoch 12, Train Accuracy: 5.92 %, Test Accuracy: 7.01 %
Epoch 13, Train Accuracy: 7.81 %, Test Accuracy: 9.23 %
Epoch 14, Train Accuracy: 10.19 %, Test Accuracy: 11.49 %
Epoch 15, Train Accuracy: 11.87 %, Test Accuracy: 12.60 %
Epoch 16, Train Accuracy: 13.51 %, Test Accuracy: 14.60 %
Epoch 17, Train Accuracy: 14.80 %, Test Accuracy: 16.38 %
Epoch 18, Train Accuracy: 17.08 %, Test Accuracy: 19.12 %
Epoch 19, Train Accuracy: 20.18 %, Test Accuracy: 21.86 %
Epoch 20, Train Accuracy: 22.68 %, Test Accuracy: 24.18 %
Epoch 21, Train Accuracy: 25.32 %, Test Accuracy: 26.57 %
Epoch 22, Train Accuracy: 27.65 %, Test Accuracy: 27.23 %
Epoch 23, Train Accuracy: 29.15 %, Test Accuracy: 30.08 %
Epoch 24, Train Accuracy: 31.37 %, Test Accuracy: 30.44 %
Epoch 25, Train Accuracy: 33.45 %, Test Accuracy: 33.62 %
Epoch 26, Train Accuracy: 35.05 %, Test Accuracy: 35.23 %
Epoch 27, Train Accuracy: 37.25 %, Test Accuracy: 38.40 %
Epoch 28, Train Accuracy: 38.91 %, Test Accuracy: 37.86 %
Epoch 29, Train Accuracy: 40.95 %, Test Accuracy: 40.42 %
Epoch 30, Train Accuracy: 42.48 %, Test Accuracy: 41.15 %
Epoch 31, Train Accuracy: 44.22 %, Test Accuracy: 44.21 %
Epoch 32, Train Accuracy: 45.82 %, Test Accuracy: 44.72 %
Epoch 33, Train Accuracy: 46.91 %, Test Accuracy: 45.95 %
Epoch 34, Train Accuracy: 48.82 %, Test Accuracy: 47.06 %
