NODE=[HOST_e8d809bd94] | JOB=crn1-k49n-s16 4921235 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups tn:sets:1-49/50-62 --seed 16 --save-directory cluster/Account1/metaopt/hmo-crn1/runs/crn1 --run-name crn1-k49n-s16
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.94 %, Test Accuracy: 0.74 %
Epoch 1, Train Accuracy: 0.93 %, Test Accuracy: 0.70 %
Epoch 2, Train Accuracy: 0.96 %, Test Accuracy: 0.72 %
Epoch 3, Train Accuracy: 0.91 %, Test Accuracy: 0.70 %
Epoch 4, Train Accuracy: 0.91 %, Test Accuracy: 0.69 %
Epoch 5, Train Accuracy: 0.89 %, Test Accuracy: 0.69 %
Epoch 6, Train Accuracy: 1.01 %, Test Accuracy: 0.82 %
Epoch 7, Train Accuracy: 1.19 %, Test Accuracy: 1.20 %
Epoch 8, Train Accuracy: 1.79 %, Test Accuracy: 2.12 %
Epoch 9, Train Accuracy: 2.30 %, Test Accuracy: 2.83 %
Epoch 10, Train Accuracy: 3.44 %, Test Accuracy: 4.18 %
Epoch 11, Train Accuracy: 4.75 %, Test Accuracy: 5.27 %
Epoch 12, Train Accuracy: 5.70 %, Test Accuracy: 6.52 %
Epoch 13, Train Accuracy: 6.54 %, Test Accuracy: 7.29 %
Epoch 14, Train Accuracy: 8.05 %, Test Accuracy: 9.29 %
Epoch 15, Train Accuracy: 10.38 %, Test Accuracy: 11.55 %
Epoch 16, Train Accuracy: 12.58 %, Test Accuracy: 13.22 %
Epoch 17, Train Accuracy: 14.98 %, Test Accuracy: 15.59 %
Epoch 18, Train Accuracy: 17.73 %, Test Accuracy: 18.38 %
Epoch 19, Train Accuracy: 20.59 %, Test Accuracy: 21.68 %
Epoch 20, Train Accuracy: 23.12 %, Test Accuracy: 23.92 %
Epoch 21, Train Accuracy: 25.95 %, Test Accuracy: 26.42 %
Epoch 22, Train Accuracy: 28.47 %, Test Accuracy: 29.66 %
Epoch 23, Train Accuracy: 31.32 %, Test Accuracy: 31.70 %
Epoch 24, Train Accuracy: 32.36 %, Test Accuracy: 32.29 %
Epoch 25, Train Accuracy: 32.17 %, Test Accuracy: 30.33 %
Epoch 26, Train Accuracy: 31.88 %, Test Accuracy: 28.99 %
Epoch 27, Train Accuracy: 32.05 %, Test Accuracy: 26.29 %
Epoch 28, Train Accuracy: 35.07 %, Test Accuracy: 37.01 %
Epoch 29, Train Accuracy: 41.92 %, Test Accuracy: 42.83 %
Epoch 30, Train Accuracy: 47.87 %, Test Accuracy: 48.38 %
Epoch 31, Train Accuracy: 53.78 %, Test Accuracy: 54.62 %
Epoch 32, Train Accuracy: 58.24 %, Test Accuracy: 57.33 %
Epoch 33, Train Accuracy: 62.44 %, Test Accuracy: 60.62 %
Epoch 34, Train Accuracy: 64.91 %, Test Accuracy: 62.02 %
Epoch 35, Train Accuracy: 67.43 %, Test Accuracy: 62.68 %
Epoch 36, Train Accuracy: 68.85 %, Test Accuracy: 63.85 %
Epoch 37, Train Accuracy: 69.63 %, Test Accuracy: 64.20 %
Epoch 38, Train Accuracy: 70.31 %, Test Accuracy: 64.41 %
Epoch 39, Train Accuracy: 70.80 %, Test Accuracy: 64.87 %
Epoch 40, Train Accuracy: 71.12 %, Test Accuracy: 65.04 %
Epoch 41, Train Accuracy: 71.31 %, Test Accuracy: 65.08 %
Epoch 42, Train Accuracy: 71.43 %, Test Accuracy: 65.01 %
Epoch 43, Train Accuracy: 71.47 %, Test Accuracy: 65.03 %
Epoch 44, Train Accuracy: 71.64 %, Test Accuracy: 65.03 %
Epoch 45, Train Accuracy: 71.52 %, Test Accuracy: 65.10 %
Epoch 46, Train Accuracy: 71.46 %, Test Accuracy: 65.01 %
Epoch 47, Train Accuracy: 71.50 %, Test Accuracy: 64.84 %
Epoch 48, Train Accuracy: 71.76 %, Test Accuracy: 64.91 %
Epoch 49, Train Accuracy: 71.54 %, Test Accuracy: 64.87 %
Epoch 50, Train Accuracy: 71.65 %, Test Accuracy: 64.99 %
