NODE=[HOST_f0845cc956] | JOB=crt1-chA2-s176 5080615 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 5e-4 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-2 --num-epochs 100 --stepsize-groups chunk777 --seed 176 --save-directory cluster/Account2/metaopt/runs/crt1 --run-name crt1-chA2-s176
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/crt1/probe_crt1-chA2-s176 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 33.55 %, Test Accuracy: 48.24 %
Epoch 1, Train Accuracy: 52.11 %, Test Accuracy: 57.99 %
Epoch 2, Train Accuracy: 60.90 %, Test Accuracy: 63.82 %
Epoch 3, Train Accuracy: 67.28 %, Test Accuracy: 69.38 %
Epoch 4, Train Accuracy: 72.04 %, Test Accuracy: 73.22 %
Epoch 5, Train Accuracy: 75.47 %, Test Accuracy: 76.26 %
Epoch 6, Train Accuracy: 77.85 %, Test Accuracy: 78.46 %
Epoch 7, Train Accuracy: 79.77 %, Test Accuracy: 79.39 %
Epoch 8, Train Accuracy: 81.39 %, Test Accuracy: 81.51 %
Epoch 9, Train Accuracy: 83.27 %, Test Accuracy: 81.71 %
Epoch 10, Train Accuracy: 84.20 %, Test Accuracy: 83.31 %
Epoch 11, Train Accuracy: 85.12 %, Test Accuracy: 83.31 %
Epoch 12, Train Accuracy: 85.89 %, Test Accuracy: 82.13 %
Epoch 13, Train Accuracy: 86.72 %, Test Accuracy: 84.89 %
Epoch 14, Train Accuracy: 87.93 %, Test Accuracy: 85.49 %
Epoch 15, Train Accuracy: 88.43 %, Test Accuracy: 85.49 %
Epoch 16, Train Accuracy: 88.84 %, Test Accuracy: 85.81 %
Epoch 17, Train Accuracy: 89.64 %, Test Accuracy: 85.84 %
Epoch 18, Train Accuracy: 89.96 %, Test Accuracy: 86.02 %
Epoch 19, Train Accuracy: 90.70 %, Test Accuracy: 86.70 %
Epoch 20, Train Accuracy: 91.02 %, Test Accuracy: 87.21 %
Epoch 21, Train Accuracy: 91.27 %, Test Accuracy: 86.99 %
Epoch 22, Train Accuracy: 91.72 %, Test Accuracy: 88.03 %
Epoch 23, Train Accuracy: 92.40 %, Test Accuracy: 87.81 %
Epoch 24, Train Accuracy: 92.65 %, Test Accuracy: 88.16 %
Epoch 25, Train Accuracy: 93.13 %, Test Accuracy: 88.31 %
Epoch 26, Train Accuracy: 93.50 %, Test Accuracy: 88.03 %
Epoch 27, Train Accuracy: 93.81 %, Test Accuracy: 88.34 %
Epoch 28, Train Accuracy: 94.02 %, Test Accuracy: 87.69 %
Epoch 29, Train Accuracy: 93.71 %, Test Accuracy: 88.52 %
Epoch 30, Train Accuracy: 94.60 %, Test Accuracy: 88.16 %
Epoch 31, Train Accuracy: 94.48 %, Test Accuracy: 88.37 %
Epoch 32, Train Accuracy: 94.81 %, Test Accuracy: 88.21 %
Epoch 33, Train Accuracy: 95.36 %, Test Accuracy: 88.82 %
Epoch 34, Train Accuracy: 95.68 %, Test Accuracy: 89.07 %
Epoch 35, Train Accuracy: 95.86 %, Test Accuracy: 89.07 %
Epoch 36, Train Accuracy: 95.84 %, Test Accuracy: 88.90 %
Epoch 37, Train Accuracy: 96.13 %, Test Accuracy: 89.35 %
Epoch 38, Train Accuracy: 96.28 %, Test Accuracy: 89.61 %
Epoch 39, Train Accuracy: 96.47 %, Test Accuracy: 88.86 %
Epoch 40, Train Accuracy: 96.43 %, Test Accuracy: 89.18 %
Epoch 41, Train Accuracy: 96.78 %, Test Accuracy: 89.40 %
Epoch 42, Train Accuracy: 96.54 %, Test Accuracy: 89.44 %
Epoch 43, Train Accuracy: 96.60 %, Test Accuracy: 89.08 %
Epoch 44, Train Accuracy: 97.23 %, Test Accuracy: 89.89 %
Epoch 45, Train Accuracy: 97.31 %, Test Accuracy: 89.84 %
Epoch 46, Train Accuracy: 97.58 %, Test Accuracy: 89.77 %
Epoch 47, Train Accuracy: 97.65 %, Test Accuracy: 89.63 %
Epoch 48, Train Accuracy: 97.76 %, Test Accuracy: 90.05 %
Epoch 49, Train Accuracy: 97.83 %, Test Accuracy: 89.84 %
Epoch 50, Train Accuracy: 97.91 %, Test Accuracy: 90.14 %
Epoch 51, Train Accuracy: 98.14 %, Test Accuracy: 90.40 %
Epoch 52, Train Accuracy: 97.89 %, Test Accuracy: 90.53 %
Epoch 53, Train Accuracy: 98.17 %, Test Accuracy: 90.67 %
Epoch 54, Train Accuracy: 98.09 %, Test Accuracy: 89.54 %
Epoch 55, Train Accuracy: 97.97 %, Test Accuracy: 89.86 %
Epoch 56, Train Accuracy: 98.20 %, Test Accuracy: 89.81 %
Epoch 57, Train Accuracy: 98.55 %, Test Accuracy: 90.76 %
Epoch 58, Train Accuracy: 98.49 %, Test Accuracy: 90.39 %
Epoch 59, Train Accuracy: 98.47 %, Test Accuracy: 90.26 %
Epoch 60, Train Accuracy: 98.45 %, Test Accuracy: 90.08 %
Epoch 61, Train Accuracy: 98.53 %, Test Accuracy: 90.62 %
Epoch 62, Train Accuracy: 98.50 %, Test Accuracy: 90.19 %
Epoch 63, Train Accuracy: 98.59 %, Test Accuracy: 90.87 %
Epoch 64, Train Accuracy: 98.75 %, Test Accuracy: 90.87 %
Epoch 65, Train Accuracy: 98.75 %, Test Accuracy: 90.22 %
Epoch 66, Train Accuracy: 98.75 %, Test Accuracy: 90.21 %
