NODE=[HOST_b0a55dfb8c] | JOB=crt1-ndM3-s177 5080629 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 5e-4 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 177 --save-directory cluster/Account2/metaopt/runs/crt1 --run-name crt1-ndM3-s177
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/crt1/probe_crt1-ndM3-s177 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.65 %, Test Accuracy: 32.23 %
Epoch 1, Train Accuracy: 35.55 %, Test Accuracy: 40.32 %
Epoch 2, Train Accuracy: 41.64 %, Test Accuracy: 46.09 %
Epoch 3, Train Accuracy: 46.09 %, Test Accuracy: 49.84 %
Epoch 4, Train Accuracy: 50.14 %, Test Accuracy: 53.40 %
Epoch 5, Train Accuracy: 53.80 %, Test Accuracy: 54.98 %
Epoch 6, Train Accuracy: 56.82 %, Test Accuracy: 58.53 %
Epoch 7, Train Accuracy: 59.45 %, Test Accuracy: 61.54 %
Epoch 8, Train Accuracy: 62.01 %, Test Accuracy: 63.71 %
Epoch 9, Train Accuracy: 64.66 %, Test Accuracy: 66.48 %
Epoch 10, Train Accuracy: 66.69 %, Test Accuracy: 68.26 %
Epoch 11, Train Accuracy: 68.93 %, Test Accuracy: 70.05 %
Epoch 12, Train Accuracy: 70.86 %, Test Accuracy: 70.82 %
Epoch 13, Train Accuracy: 72.58 %, Test Accuracy: 72.48 %
Epoch 14, Train Accuracy: 74.05 %, Test Accuracy: 74.13 %
Epoch 15, Train Accuracy: 75.89 %, Test Accuracy: 73.87 %
Epoch 16, Train Accuracy: 76.90 %, Test Accuracy: 75.79 %
Epoch 17, Train Accuracy: 77.93 %, Test Accuracy: 76.82 %
Epoch 18, Train Accuracy: 79.28 %, Test Accuracy: 78.06 %
Epoch 19, Train Accuracy: 80.05 %, Test Accuracy: 78.90 %
Epoch 20, Train Accuracy: 80.87 %, Test Accuracy: 80.22 %
Epoch 21, Train Accuracy: 82.00 %, Test Accuracy: 78.15 %
Epoch 22, Train Accuracy: 82.88 %, Test Accuracy: 79.77 %
Epoch 23, Train Accuracy: 83.32 %, Test Accuracy: 80.77 %
Epoch 24, Train Accuracy: 84.59 %, Test Accuracy: 82.05 %
Epoch 25, Train Accuracy: 85.06 %, Test Accuracy: 81.78 %
Epoch 26, Train Accuracy: 85.60 %, Test Accuracy: 82.82 %
Epoch 27, Train Accuracy: 86.20 %, Test Accuracy: 83.38 %
Epoch 28, Train Accuracy: 86.75 %, Test Accuracy: 83.26 %
Epoch 29, Train Accuracy: 87.44 %, Test Accuracy: 84.00 %
Epoch 30, Train Accuracy: 87.57 %, Test Accuracy: 84.69 %
Epoch 31, Train Accuracy: 88.13 %, Test Accuracy: 83.71 %
Epoch 32, Train Accuracy: 88.58 %, Test Accuracy: 84.43 %
Epoch 33, Train Accuracy: 89.03 %, Test Accuracy: 84.92 %
Epoch 34, Train Accuracy: 89.48 %, Test Accuracy: 85.11 %
Epoch 35, Train Accuracy: 89.92 %, Test Accuracy: 85.02 %
Epoch 36, Train Accuracy: 90.25 %, Test Accuracy: 84.98 %
Epoch 37, Train Accuracy: 90.74 %, Test Accuracy: 85.94 %
Epoch 38, Train Accuracy: 90.89 %, Test Accuracy: 86.18 %
Epoch 39, Train Accuracy: 91.26 %, Test Accuracy: 85.68 %
Epoch 40, Train Accuracy: 91.76 %, Test Accuracy: 87.03 %
Epoch 41, Train Accuracy: 92.00 %, Test Accuracy: 86.52 %
Epoch 42, Train Accuracy: 92.03 %, Test Accuracy: 86.22 %
Epoch 43, Train Accuracy: 92.49 %, Test Accuracy: 85.72 %
Epoch 44, Train Accuracy: 92.61 %, Test Accuracy: 86.99 %
Epoch 45, Train Accuracy: 93.13 %, Test Accuracy: 87.06 %
Epoch 46, Train Accuracy: 93.40 %, Test Accuracy: 87.12 %
Epoch 47, Train Accuracy: 93.67 %, Test Accuracy: 86.20 %
Epoch 48, Train Accuracy: 93.54 %, Test Accuracy: 86.39 %
Epoch 49, Train Accuracy: 93.81 %, Test Accuracy: 87.24 %
Epoch 50, Train Accuracy: 94.28 %, Test Accuracy: 86.44 %
Epoch 51, Train Accuracy: 94.46 %, Test Accuracy: 87.39 %
Epoch 52, Train Accuracy: 94.79 %, Test Accuracy: 87.26 %
Epoch 53, Train Accuracy: 94.94 %, Test Accuracy: 87.96 %
Epoch 54, Train Accuracy: 95.07 %, Test Accuracy: 87.39 %
Epoch 55, Train Accuracy: 95.07 %, Test Accuracy: 87.62 %
Epoch 56, Train Accuracy: 95.51 %, Test Accuracy: 87.44 %
Epoch 57, Train Accuracy: 95.46 %, Test Accuracy: 88.06 %
Epoch 58, Train Accuracy: 96.08 %, Test Accuracy: 87.94 %
Epoch 59, Train Accuracy: 96.06 %, Test Accuracy: 87.09 %
Epoch 60, Train Accuracy: 95.71 %, Test Accuracy: 87.93 %
Epoch 61, Train Accuracy: 96.19 %, Test Accuracy: 87.97 %
Epoch 62, Train Accuracy: 96.66 %, Test Accuracy: 87.79 %
Epoch 63, Train Accuracy: 96.35 %, Test Accuracy: 87.83 %
Epoch 64, Train Accuracy: 96.81 %, Test Accuracy: 88.40 %
Epoch 65, Train Accuracy: 96.74 %, Test Accuracy: 88.11 %
Epoch 66, Train Accuracy: 96.96 %, Test Accuracy: 88.69 %
Epoch 67, Train Accuracy: 96.82 %, Test Accuracy: 88.47 %
Epoch 68, Train Accuracy: 97.20 %, Test Accuracy: 89.03 %
Epoch 69, Train Accuracy: 97.21 %, Test Accuracy: 88.30 %
Epoch 70, Train Accuracy: 97.10 %, Test Accuracy: 88.06 %
Epoch 71, Train Accuracy: 97.16 %, Test Accuracy: 88.38 %
Epoch 72, Train Accuracy: 97.41 %, Test Accuracy: 88.85 %
Epoch 73, Train Accuracy: 97.37 %, Test Accuracy: 88.79 %
Epoch 74, Train Accuracy: 97.83 %, Test Accuracy: 88.48 %
Epoch 75, Train Accuracy: 97.86 %, Test Accuracy: 89.01 %
Epoch 76, Train Accuracy: 97.61 %, Test Accuracy: 88.29 %
Epoch 77, Train Accuracy: 97.65 %, Test Accuracy: 88.81 %
Epoch 78, Train Accuracy: 97.97 %, Test Accuracy: 88.84 %
