NODE=[HOST_2f2f29d9e1] | JOB=cru1-lay-m1e-5-a1e-3-s17 4920485 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-5 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 17 --save-directory cluster/Account2/metaopt/runs/cru1 --run-name cru1-lay-m1e-5-a1e-3-s17
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cru1/probe_cru1-lay-m1e-5-a1e-3-s17 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.17 %, Test Accuracy: 5.86 %
Epoch 1, Train Accuracy: 6.90 %, Test Accuracy: 8.41 %
Epoch 2, Train Accuracy: 8.90 %, Test Accuracy: 10.22 %
Epoch 3, Train Accuracy: 10.43 %, Test Accuracy: 11.24 %
Epoch 4, Train Accuracy: 11.43 %, Test Accuracy: 12.13 %
Epoch 5, Train Accuracy: 12.50 %, Test Accuracy: 12.88 %
Epoch 6, Train Accuracy: 13.17 %, Test Accuracy: 13.53 %
Epoch 7, Train Accuracy: 13.86 %, Test Accuracy: 14.62 %
Epoch 8, Train Accuracy: 14.64 %, Test Accuracy: 15.24 %
Epoch 9, Train Accuracy: 15.03 %, Test Accuracy: 15.54 %
Epoch 10, Train Accuracy: 15.82 %, Test Accuracy: 16.12 %
Epoch 11, Train Accuracy: 16.35 %, Test Accuracy: 16.68 %
Epoch 12, Train Accuracy: 17.30 %, Test Accuracy: 17.60 %
Epoch 13, Train Accuracy: 17.83 %, Test Accuracy: 18.55 %
Epoch 14, Train Accuracy: 18.48 %, Test Accuracy: 18.75 %
Epoch 15, Train Accuracy: 19.53 %, Test Accuracy: 19.75 %
Epoch 16, Train Accuracy: 20.04 %, Test Accuracy: 21.30 %
Epoch 17, Train Accuracy: 21.35 %, Test Accuracy: 21.33 %
Epoch 18, Train Accuracy: 21.75 %, Test Accuracy: 22.79 %
Epoch 19, Train Accuracy: 22.91 %, Test Accuracy: 23.37 %
Epoch 20, Train Accuracy: 23.48 %, Test Accuracy: 23.49 %
Epoch 21, Train Accuracy: 24.12 %, Test Accuracy: 25.04 %
Epoch 22, Train Accuracy: 24.92 %, Test Accuracy: 25.05 %
Epoch 23, Train Accuracy: 25.86 %, Test Accuracy: 26.64 %
Epoch 24, Train Accuracy: 26.64 %, Test Accuracy: 26.48 %
Epoch 25, Train Accuracy: 27.08 %, Test Accuracy: 27.01 %
Epoch 26, Train Accuracy: 28.19 %, Test Accuracy: 28.13 %
Epoch 27, Train Accuracy: 28.80 %, Test Accuracy: 27.87 %
Epoch 28, Train Accuracy: 29.48 %, Test Accuracy: 29.23 %
Epoch 29, Train Accuracy: 30.38 %, Test Accuracy: 30.64 %
Epoch 30, Train Accuracy: 30.88 %, Test Accuracy: 30.59 %
Epoch 31, Train Accuracy: 31.94 %, Test Accuracy: 30.77 %
