NODE=[HOST_e8d809bd94] | JOB=cru1-lay-m3e-3-a1e-6-s16 4920483 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 16 --save-directory cluster/Account2/metaopt/runs/cru1 --run-name cru1-lay-m3e-3-a1e-6-s16
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cru1/probe_cru1-lay-m3e-3-a1e-6-s16 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.93 %, Test Accuracy: 0.73 %
Epoch 1, Train Accuracy: 0.93 %, Test Accuracy: 0.74 %
Epoch 2, Train Accuracy: 0.97 %, Test Accuracy: 0.81 %
Epoch 3, Train Accuracy: 1.56 %, Test Accuracy: 2.71 %
Epoch 4, Train Accuracy: 4.31 %, Test Accuracy: 6.22 %
Epoch 5, Train Accuracy: 8.29 %, Test Accuracy: 10.91 %
Epoch 6, Train Accuracy: 13.63 %, Test Accuracy: 16.39 %
Epoch 7, Train Accuracy: 20.43 %, Test Accuracy: 25.04 %
Epoch 8, Train Accuracy: 27.19 %, Test Accuracy: 28.28 %
Epoch 9, Train Accuracy: 31.49 %, Test Accuracy: 33.28 %
Epoch 10, Train Accuracy: 35.55 %, Test Accuracy: 38.07 %
Epoch 11, Train Accuracy: 39.29 %, Test Accuracy: 41.58 %
Epoch 12, Train Accuracy: 43.04 %, Test Accuracy: 42.95 %
Epoch 13, Train Accuracy: 46.10 %, Test Accuracy: 44.33 %
Epoch 14, Train Accuracy: 49.45 %, Test Accuracy: 48.66 %
Epoch 15, Train Accuracy: 52.23 %, Test Accuracy: 49.89 %
Epoch 16, Train Accuracy: 54.53 %, Test Accuracy: 52.94 %
Epoch 17, Train Accuracy: 57.11 %, Test Accuracy: 54.12 %
Epoch 18, Train Accuracy: 59.33 %, Test Accuracy: 55.58 %
Epoch 19, Train Accuracy: 61.70 %, Test Accuracy: 57.50 %
Epoch 20, Train Accuracy: 63.37 %, Test Accuracy: 58.23 %
Epoch 21, Train Accuracy: 65.18 %, Test Accuracy: 59.33 %
Epoch 22, Train Accuracy: 67.06 %, Test Accuracy: 60.20 %
Epoch 23, Train Accuracy: 67.88 %, Test Accuracy: 60.86 %
Epoch 24, Train Accuracy: 70.15 %, Test Accuracy: 61.99 %
Epoch 25, Train Accuracy: 71.04 %, Test Accuracy: 62.06 %
Epoch 26, Train Accuracy: 72.93 %, Test Accuracy: 63.13 %
Epoch 27, Train Accuracy: 73.89 %, Test Accuracy: 63.82 %
Epoch 28, Train Accuracy: 75.27 %, Test Accuracy: 63.88 %
Epoch 29, Train Accuracy: 76.78 %, Test Accuracy: 64.92 %
Epoch 30, Train Accuracy: 78.00 %, Test Accuracy: 65.03 %
Epoch 31, Train Accuracy: 79.05 %, Test Accuracy: 65.98 %
Epoch 32, Train Accuracy: 80.06 %, Test Accuracy: 65.54 %
Epoch 33, Train Accuracy: 80.84 %, Test Accuracy: 66.61 %
Epoch 34, Train Accuracy: 82.38 %, Test Accuracy: 65.79 %
Epoch 35, Train Accuracy: 82.92 %, Test Accuracy: 66.36 %
Epoch 36, Train Accuracy: 84.16 %, Test Accuracy: 66.88 %
Epoch 37, Train Accuracy: 84.89 %, Test Accuracy: 67.29 %
Epoch 38, Train Accuracy: 86.10 %, Test Accuracy: 67.41 %
Epoch 39, Train Accuracy: 86.66 %, Test Accuracy: 67.47 %
Epoch 40, Train Accuracy: 87.43 %, Test Accuracy: 67.15 %
Epoch 41, Train Accuracy: 88.53 %, Test Accuracy: 67.51 %
Epoch 42, Train Accuracy: 89.11 %, Test Accuracy: 68.11 %
Epoch 43, Train Accuracy: 89.73 %, Test Accuracy: 67.47 %
Epoch 44, Train Accuracy: 90.59 %, Test Accuracy: 67.14 %
Epoch 45, Train Accuracy: 90.83 %, Test Accuracy: 68.27 %
Epoch 46, Train Accuracy: 91.85 %, Test Accuracy: 68.03 %
Epoch 47, Train Accuracy: 92.16 %, Test Accuracy: 68.44 %
Epoch 48, Train Accuracy: 92.27 %, Test Accuracy: 67.69 %
Epoch 49, Train Accuracy: 92.99 %, Test Accuracy: 68.52 %
Epoch 50, Train Accuracy: 93.52 %, Test Accuracy: 68.06 %
Epoch 51, Train Accuracy: 94.08 %, Test Accuracy: 68.39 %
Epoch 52, Train Accuracy: 94.17 %, Test Accuracy: 68.55 %
Epoch 53, Train Accuracy: 94.74 %, Test Accuracy: 68.58 %
Epoch 54, Train Accuracy: 95.09 %, Test Accuracy: 68.32 %
Epoch 55, Train Accuracy: 95.32 %, Test Accuracy: 68.65 %
Epoch 56, Train Accuracy: 95.86 %, Test Accuracy: 68.27 %
Epoch 57, Train Accuracy: 95.75 %, Test Accuracy: 68.60 %
Epoch 58, Train Accuracy: 96.14 %, Test Accuracy: 68.34 %
Epoch 59, Train Accuracy: 96.45 %, Test Accuracy: 68.05 %
Epoch 60, Train Accuracy: 96.40 %, Test Accuracy: 68.80 %
Epoch 61, Train Accuracy: 97.03 %, Test Accuracy: 68.59 %
Epoch 62, Train Accuracy: 96.79 %, Test Accuracy: 68.94 %
Epoch 63, Train Accuracy: 97.34 %, Test Accuracy: 69.08 %
