NODE=[HOST_b0a55dfb8c] | JOB=cru1-sc-m1e-4-a1e-3-s15 4920448 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 15 --save-directory cluster/Account2/metaopt/runs/cru1 --run-name cru1-sc-m1e-4-a1e-3-s15
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cru1/probe_cru1-sc-m1e-4-a1e-3-s15 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.93 %, Test Accuracy: 5.12 %
Epoch 1, Train Accuracy: 6.42 %, Test Accuracy: 7.87 %
Epoch 2, Train Accuracy: 8.91 %, Test Accuracy: 10.37 %
Epoch 3, Train Accuracy: 10.76 %, Test Accuracy: 11.96 %
Epoch 4, Train Accuracy: 11.99 %, Test Accuracy: 12.63 %
Epoch 5, Train Accuracy: 13.03 %, Test Accuracy: 14.05 %
Epoch 6, Train Accuracy: 14.02 %, Test Accuracy: 14.86 %
Epoch 7, Train Accuracy: 14.89 %, Test Accuracy: 15.50 %
Epoch 8, Train Accuracy: 15.70 %, Test Accuracy: 16.48 %
Epoch 9, Train Accuracy: 16.77 %, Test Accuracy: 17.63 %
Epoch 10, Train Accuracy: 17.56 %, Test Accuracy: 18.28 %
Epoch 11, Train Accuracy: 18.39 %, Test Accuracy: 18.90 %
Epoch 12, Train Accuracy: 19.60 %, Test Accuracy: 19.99 %
Epoch 13, Train Accuracy: 20.43 %, Test Accuracy: 19.74 %
Epoch 14, Train Accuracy: 21.35 %, Test Accuracy: 21.02 %
Epoch 15, Train Accuracy: 22.04 %, Test Accuracy: 21.94 %
Epoch 16, Train Accuracy: 22.84 %, Test Accuracy: 21.88 %
Epoch 17, Train Accuracy: 23.02 %, Test Accuracy: 23.17 %
Epoch 18, Train Accuracy: 23.99 %, Test Accuracy: 24.34 %
Epoch 19, Train Accuracy: 24.41 %, Test Accuracy: 24.41 %
Epoch 20, Train Accuracy: 25.12 %, Test Accuracy: 24.96 %
Epoch 21, Train Accuracy: 26.18 %, Test Accuracy: 26.74 %
Epoch 22, Train Accuracy: 26.51 %, Test Accuracy: 26.61 %
Epoch 23, Train Accuracy: 26.58 %, Test Accuracy: 26.05 %
Epoch 24, Train Accuracy: 27.39 %, Test Accuracy: 26.25 %
Epoch 25, Train Accuracy: 27.61 %, Test Accuracy: 27.63 %
Epoch 26, Train Accuracy: 28.36 %, Test Accuracy: 28.34 %
Epoch 27, Train Accuracy: 28.96 %, Test Accuracy: 28.70 %
Epoch 28, Train Accuracy: 29.12 %, Test Accuracy: 28.37 %
Epoch 29, Train Accuracy: 29.44 %, Test Accuracy: 29.30 %
Epoch 30, Train Accuracy: 29.64 %, Test Accuracy: 28.58 %
Epoch 31, Train Accuracy: 30.22 %, Test Accuracy: 30.07 %
Epoch 32, Train Accuracy: 30.54 %, Test Accuracy: 29.69 %
Epoch 33, Train Accuracy: 30.98 %, Test Accuracy: 30.34 %
Epoch 34, Train Accuracy: 31.36 %, Test Accuracy: 30.60 %
Epoch 35, Train Accuracy: 31.69 %, Test Accuracy: 31.39 %
Epoch 36, Train Accuracy: 32.00 %, Test Accuracy: 30.86 %
Epoch 37, Train Accuracy: 32.40 %, Test Accuracy: 32.22 %
Epoch 38, Train Accuracy: 32.47 %, Test Accuracy: 31.22 %
Epoch 39, Train Accuracy: 32.66 %, Test Accuracy: 32.07 %
Epoch 40, Train Accuracy: 32.93 %, Test Accuracy: 31.56 %
Epoch 41, Train Accuracy: 33.44 %, Test Accuracy: 31.89 %
Epoch 42, Train Accuracy: 33.43 %, Test Accuracy: 32.09 %
Epoch 43, Train Accuracy: 33.76 %, Test Accuracy: 32.39 %
Epoch 44, Train Accuracy: 33.92 %, Test Accuracy: 33.03 %
Epoch 45, Train Accuracy: 34.24 %, Test Accuracy: 32.83 %
Epoch 46, Train Accuracy: 34.68 %, Test Accuracy: 32.50 %
Epoch 47, Train Accuracy: 34.85 %, Test Accuracy: 33.44 %
Epoch 48, Train Accuracy: 34.88 %, Test Accuracy: 33.54 %
Epoch 49, Train Accuracy: 35.11 %, Test Accuracy: 33.20 %
Epoch 50, Train Accuracy: 35.27 %, Test Accuracy: 34.22 %
Epoch 51, Train Accuracy: 35.64 %, Test Accuracy: 33.80 %
Epoch 52, Train Accuracy: 35.79 %, Test Accuracy: 33.84 %
Epoch 53, Train Accuracy: 35.98 %, Test Accuracy: 33.77 %
Epoch 54, Train Accuracy: 36.06 %, Test Accuracy: 33.90 %
Epoch 55, Train Accuracy: 36.17 %, Test Accuracy: 34.30 %
Epoch 56, Train Accuracy: 36.38 %, Test Accuracy: 34.53 %
Epoch 57, Train Accuracy: 36.58 %, Test Accuracy: 34.79 %
Epoch 58, Train Accuracy: 36.80 %, Test Accuracy: 34.57 %
Epoch 59, Train Accuracy: 37.01 %, Test Accuracy: 34.85 %
Epoch 60, Train Accuracy: 37.13 %, Test Accuracy: 34.90 %
Epoch 61, Train Accuracy: 37.01 %, Test Accuracy: 34.60 %
Epoch 62, Train Accuracy: 37.11 %, Test Accuracy: 34.95 %
Epoch 63, Train Accuracy: 37.37 %, Test Accuracy: 34.83 %
Epoch 64, Train Accuracy: 37.25 %, Test Accuracy: 35.44 %
Epoch 65, Train Accuracy: 37.60 %, Test Accuracy: 35.18 %
Epoch 66, Train Accuracy: 37.44 %, Test Accuracy: 34.77 %
Epoch 67, Train Accuracy: 37.65 %, Test Accuracy: 35.24 %
Epoch 68, Train Accuracy: 37.99 %, Test Accuracy: 35.43 %
Epoch 69, Train Accuracy: 37.91 %, Test Accuracy: 35.37 %
Epoch 70, Train Accuracy: 38.05 %, Test Accuracy: 35.48 %
Epoch 71, Train Accuracy: 38.31 %, Test Accuracy: 35.39 %
Epoch 72, Train Accuracy: 38.21 %, Test Accuracy: 34.85 %
