NODE=[HOST_e8d809bd94] | JOB=cru1-sc-m1e-4-a1e-3-s17 4920488 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 17 --save-directory cluster/Account2/metaopt/runs/cru1 --run-name cru1-sc-m1e-4-a1e-3-s17
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cru1/probe_cru1-sc-m1e-4-a1e-3-s17 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.15 %, Test Accuracy: 6.02 %
Epoch 1, Train Accuracy: 6.92 %, Test Accuracy: 8.42 %
Epoch 2, Train Accuracy: 9.22 %, Test Accuracy: 10.27 %
Epoch 3, Train Accuracy: 10.67 %, Test Accuracy: 11.53 %
Epoch 4, Train Accuracy: 11.83 %, Test Accuracy: 12.76 %
Epoch 5, Train Accuracy: 12.88 %, Test Accuracy: 13.56 %
Epoch 6, Train Accuracy: 13.71 %, Test Accuracy: 14.10 %
Epoch 7, Train Accuracy: 14.48 %, Test Accuracy: 15.33 %
Epoch 8, Train Accuracy: 15.23 %, Test Accuracy: 16.10 %
Epoch 9, Train Accuracy: 15.99 %, Test Accuracy: 16.97 %
Epoch 10, Train Accuracy: 16.94 %, Test Accuracy: 17.84 %
Epoch 11, Train Accuracy: 17.58 %, Test Accuracy: 17.69 %
Epoch 12, Train Accuracy: 18.70 %, Test Accuracy: 18.97 %
Epoch 13, Train Accuracy: 19.60 %, Test Accuracy: 20.25 %
Epoch 14, Train Accuracy: 20.58 %, Test Accuracy: 21.57 %
Epoch 15, Train Accuracy: 21.60 %, Test Accuracy: 22.78 %
Epoch 16, Train Accuracy: 22.06 %, Test Accuracy: 22.64 %
Epoch 17, Train Accuracy: 23.01 %, Test Accuracy: 23.54 %
Epoch 18, Train Accuracy: 23.55 %, Test Accuracy: 23.96 %
Epoch 19, Train Accuracy: 24.41 %, Test Accuracy: 25.21 %
Epoch 20, Train Accuracy: 24.75 %, Test Accuracy: 24.21 %
Epoch 21, Train Accuracy: 25.38 %, Test Accuracy: 25.65 %
Epoch 22, Train Accuracy: 26.01 %, Test Accuracy: 25.80 %
Epoch 23, Train Accuracy: 26.45 %, Test Accuracy: 27.53 %
Epoch 24, Train Accuracy: 27.04 %, Test Accuracy: 27.08 %
Epoch 25, Train Accuracy: 27.69 %, Test Accuracy: 27.39 %
Epoch 26, Train Accuracy: 27.96 %, Test Accuracy: 28.20 %
Epoch 27, Train Accuracy: 28.58 %, Test Accuracy: 28.12 %
Epoch 28, Train Accuracy: 28.77 %, Test Accuracy: 28.95 %
Epoch 29, Train Accuracy: 29.19 %, Test Accuracy: 28.85 %
Epoch 30, Train Accuracy: 29.67 %, Test Accuracy: 29.31 %
Epoch 31, Train Accuracy: 30.15 %, Test Accuracy: 28.55 %
Epoch 32, Train Accuracy: 30.11 %, Test Accuracy: 29.85 %
Epoch 33, Train Accuracy: 30.73 %, Test Accuracy: 30.57 %
Epoch 34, Train Accuracy: 31.12 %, Test Accuracy: 30.11 %
Epoch 35, Train Accuracy: 30.93 %, Test Accuracy: 31.12 %
Epoch 36, Train Accuracy: 31.64 %, Test Accuracy: 30.73 %
Epoch 37, Train Accuracy: 31.95 %, Test Accuracy: 31.35 %
Epoch 38, Train Accuracy: 32.13 %, Test Accuracy: 31.25 %
Epoch 39, Train Accuracy: 32.53 %, Test Accuracy: 31.65 %
Epoch 40, Train Accuracy: 32.62 %, Test Accuracy: 31.45 %
Epoch 41, Train Accuracy: 32.91 %, Test Accuracy: 31.50 %
Epoch 42, Train Accuracy: 33.19 %, Test Accuracy: 31.53 %
Epoch 43, Train Accuracy: 33.40 %, Test Accuracy: 32.43 %
Epoch 44, Train Accuracy: 33.63 %, Test Accuracy: 32.21 %
Epoch 45, Train Accuracy: 34.02 %, Test Accuracy: 32.42 %
Epoch 46, Train Accuracy: 34.04 %, Test Accuracy: 32.59 %
Epoch 47, Train Accuracy: 34.26 %, Test Accuracy: 33.02 %
Epoch 48, Train Accuracy: 34.61 %, Test Accuracy: 32.56 %
Epoch 49, Train Accuracy: 34.70 %, Test Accuracy: 32.86 %
Epoch 50, Train Accuracy: 35.05 %, Test Accuracy: 33.24 %
Epoch 51, Train Accuracy: 35.07 %, Test Accuracy: 33.58 %
Epoch 52, Train Accuracy: 35.36 %, Test Accuracy: 33.56 %
Epoch 53, Train Accuracy: 35.44 %, Test Accuracy: 33.90 %
Epoch 54, Train Accuracy: 35.58 %, Test Accuracy: 33.54 %
