NODE=[HOST_2f2f29d9e1] | JOB=cru1-sc-m3e-3-a1e-6-s15 4920462 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 15 --save-directory cluster/Account2/metaopt/runs/cru1 --run-name cru1-sc-m3e-3-a1e-6-s15
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cru1/probe_cru1-sc-m3e-3-a1e-6-s15 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.29 %, Test Accuracy: 1.30 %
Epoch 1, Train Accuracy: 1.25 %, Test Accuracy: 1.30 %
Epoch 2, Train Accuracy: 1.28 %, Test Accuracy: 1.39 %
Epoch 3, Train Accuracy: 1.89 %, Test Accuracy: 2.86 %
Epoch 4, Train Accuracy: 4.24 %, Test Accuracy: 6.47 %
Epoch 5, Train Accuracy: 8.47 %, Test Accuracy: 10.71 %
Epoch 6, Train Accuracy: 12.33 %, Test Accuracy: 14.67 %
Epoch 7, Train Accuracy: 15.40 %, Test Accuracy: 16.13 %
Epoch 8, Train Accuracy: 16.56 %, Test Accuracy: 16.66 %
Epoch 9, Train Accuracy: 17.23 %, Test Accuracy: 17.14 %
Epoch 10, Train Accuracy: 17.29 %, Test Accuracy: 17.27 %
Epoch 11, Train Accuracy: 17.28 %, Test Accuracy: 16.97 %
Epoch 12, Train Accuracy: 17.36 %, Test Accuracy: 17.07 %
Epoch 13, Train Accuracy: 17.10 %, Test Accuracy: 16.95 %
Epoch 14, Train Accuracy: 17.27 %, Test Accuracy: 16.93 %
Epoch 15, Train Accuracy: 17.28 %, Test Accuracy: 17.04 %
Epoch 16, Train Accuracy: 17.28 %, Test Accuracy: 17.23 %
Epoch 17, Train Accuracy: 17.39 %, Test Accuracy: 17.13 %
Epoch 18, Train Accuracy: 17.32 %, Test Accuracy: 17.24 %
Epoch 19, Train Accuracy: 17.30 %, Test Accuracy: 17.08 %
Epoch 20, Train Accuracy: 17.19 %, Test Accuracy: 17.19 %
Epoch 21, Train Accuracy: 17.35 %, Test Accuracy: 16.85 %
Epoch 22, Train Accuracy: 17.33 %, Test Accuracy: 17.06 %
Epoch 23, Train Accuracy: 17.37 %, Test Accuracy: 16.96 %
Epoch 24, Train Accuracy: 17.29 %, Test Accuracy: 17.19 %
Epoch 25, Train Accuracy: 17.35 %, Test Accuracy: 17.24 %
Epoch 26, Train Accuracy: 17.35 %, Test Accuracy: 17.00 %
Epoch 27, Train Accuracy: 17.26 %, Test Accuracy: 17.01 %
Epoch 28, Train Accuracy: 17.60 %, Test Accuracy: 17.10 %
Epoch 29, Train Accuracy: 17.36 %, Test Accuracy: 17.01 %
Epoch 30, Train Accuracy: 17.32 %, Test Accuracy: 17.10 %
Epoch 31, Train Accuracy: 17.27 %, Test Accuracy: 17.08 %
Epoch 32, Train Accuracy: 17.29 %, Test Accuracy: 16.84 %
Epoch 33, Train Accuracy: 17.36 %, Test Accuracy: 17.29 %
Epoch 34, Train Accuracy: 17.48 %, Test Accuracy: 17.12 %
Epoch 35, Train Accuracy: 17.37 %, Test Accuracy: 17.06 %
Epoch 36, Train Accuracy: 17.54 %, Test Accuracy: 16.92 %
Epoch 37, Train Accuracy: 17.31 %, Test Accuracy: 16.98 %
Epoch 38, Train Accuracy: 17.37 %, Test Accuracy: 17.08 %
Epoch 39, Train Accuracy: 17.41 %, Test Accuracy: 17.17 %
Epoch 40, Train Accuracy: 17.34 %, Test Accuracy: 16.99 %
Epoch 41, Train Accuracy: 17.46 %, Test Accuracy: 16.86 %
Epoch 42, Train Accuracy: 17.35 %, Test Accuracy: 17.10 %
Epoch 43, Train Accuracy: 17.40 %, Test Accuracy: 17.34 %
Epoch 44, Train Accuracy: 17.46 %, Test Accuracy: 17.11 %
Epoch 45, Train Accuracy: 17.16 %, Test Accuracy: 17.06 %
Epoch 46, Train Accuracy: 17.37 %, Test Accuracy: 17.22 %
Epoch 47, Train Accuracy: 17.55 %, Test Accuracy: 16.98 %
Epoch 48, Train Accuracy: 17.36 %, Test Accuracy: 17.13 %
Epoch 49, Train Accuracy: 17.33 %, Test Accuracy: 17.21 %
Epoch 50, Train Accuracy: 17.31 %, Test Accuracy: 17.19 %
Epoch 51, Train Accuracy: 17.28 %, Test Accuracy: 17.12 %
Epoch 52, Train Accuracy: 17.40 %, Test Accuracy: 17.05 %
Epoch 53, Train Accuracy: 17.34 %, Test Accuracy: 17.14 %
Epoch 54, Train Accuracy: 17.29 %, Test Accuracy: 17.08 %
Epoch 55, Train Accuracy: 17.38 %, Test Accuracy: 17.17 %
