NODE=[HOST_e223b82d71] | JOB=cru1-sc-m3e-4-a1e-3-s16 4920470 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 16 --save-directory cluster/Account2/metaopt/runs/cru1 --run-name cru1-sc-m3e-4-a1e-3-s16
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cru1/probe_cru1-sc-m3e-4-a1e-3-s16 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.88 %, Test Accuracy: 5.14 %
Epoch 1, Train Accuracy: 6.39 %, Test Accuracy: 8.23 %
Epoch 2, Train Accuracy: 8.96 %, Test Accuracy: 10.92 %
Epoch 3, Train Accuracy: 11.19 %, Test Accuracy: 12.53 %
Epoch 4, Train Accuracy: 12.74 %, Test Accuracy: 13.08 %
Epoch 5, Train Accuracy: 13.95 %, Test Accuracy: 14.51 %
Epoch 6, Train Accuracy: 15.14 %, Test Accuracy: 15.51 %
Epoch 7, Train Accuracy: 16.36 %, Test Accuracy: 16.59 %
Epoch 8, Train Accuracy: 17.47 %, Test Accuracy: 16.69 %
Epoch 9, Train Accuracy: 18.55 %, Test Accuracy: 19.32 %
Epoch 10, Train Accuracy: 19.81 %, Test Accuracy: 20.27 %
Epoch 11, Train Accuracy: 20.79 %, Test Accuracy: 21.37 %
Epoch 12, Train Accuracy: 21.61 %, Test Accuracy: 21.93 %
Epoch 13, Train Accuracy: 22.50 %, Test Accuracy: 23.43 %
Epoch 14, Train Accuracy: 23.58 %, Test Accuracy: 23.78 %
Epoch 15, Train Accuracy: 24.47 %, Test Accuracy: 24.44 %
Epoch 16, Train Accuracy: 25.20 %, Test Accuracy: 24.94 %
Epoch 17, Train Accuracy: 25.73 %, Test Accuracy: 25.32 %
Epoch 18, Train Accuracy: 26.31 %, Test Accuracy: 26.25 %
Epoch 19, Train Accuracy: 26.86 %, Test Accuracy: 26.27 %
Epoch 20, Train Accuracy: 27.07 %, Test Accuracy: 27.02 %
Epoch 21, Train Accuracy: 27.76 %, Test Accuracy: 27.54 %
Epoch 22, Train Accuracy: 28.24 %, Test Accuracy: 27.97 %
Epoch 23, Train Accuracy: 28.37 %, Test Accuracy: 27.61 %
Epoch 24, Train Accuracy: 28.86 %, Test Accuracy: 28.28 %
Epoch 25, Train Accuracy: 29.23 %, Test Accuracy: 28.55 %
Epoch 26, Train Accuracy: 29.13 %, Test Accuracy: 28.57 %
Epoch 27, Train Accuracy: 29.63 %, Test Accuracy: 28.91 %
Epoch 28, Train Accuracy: 29.75 %, Test Accuracy: 28.82 %
Epoch 29, Train Accuracy: 29.86 %, Test Accuracy: 29.10 %
Epoch 30, Train Accuracy: 30.31 %, Test Accuracy: 29.29 %
Epoch 31, Train Accuracy: 30.15 %, Test Accuracy: 29.63 %
Epoch 32, Train Accuracy: 30.47 %, Test Accuracy: 29.58 %
Epoch 33, Train Accuracy: 30.48 %, Test Accuracy: 29.75 %
Epoch 34, Train Accuracy: 30.52 %, Test Accuracy: 29.22 %
Epoch 35, Train Accuracy: 30.53 %, Test Accuracy: 29.42 %
Epoch 36, Train Accuracy: 30.70 %, Test Accuracy: 29.75 %
Epoch 37, Train Accuracy: 30.60 %, Test Accuracy: 29.79 %
Epoch 38, Train Accuracy: 30.96 %, Test Accuracy: 29.81 %
Epoch 39, Train Accuracy: 30.71 %, Test Accuracy: 29.67 %
Epoch 40, Train Accuracy: 30.92 %, Test Accuracy: 29.65 %
Epoch 41, Train Accuracy: 30.84 %, Test Accuracy: 29.78 %
Epoch 42, Train Accuracy: 30.95 %, Test Accuracy: 29.60 %
Epoch 43, Train Accuracy: 30.66 %, Test Accuracy: 30.01 %
Epoch 44, Train Accuracy: 31.00 %, Test Accuracy: 29.67 %
Epoch 45, Train Accuracy: 31.00 %, Test Accuracy: 29.63 %
Epoch 46, Train Accuracy: 30.88 %, Test Accuracy: 29.59 %
Epoch 47, Train Accuracy: 30.90 %, Test Accuracy: 29.88 %
Epoch 48, Train Accuracy: 31.04 %, Test Accuracy: 29.60 %
Epoch 49, Train Accuracy: 31.11 %, Test Accuracy: 29.96 %
Epoch 50, Train Accuracy: 31.01 %, Test Accuracy: 29.73 %
Epoch 51, Train Accuracy: 31.04 %, Test Accuracy: 29.82 %
Epoch 52, Train Accuracy: 30.96 %, Test Accuracy: 29.89 %
