NODE=[HOST_bcfd0fc19c] | JOB=cs-r10-layer-s0 4683767
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet10_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/cs100 --run-name cs-r10-layer-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.84 %, Test Accuracy: 5.49 %
Epoch 1, Train Accuracy: 6.75 %, Test Accuracy: 8.35 %
Epoch 2, Train Accuracy: 9.45 %, Test Accuracy: 10.55 %
Epoch 3, Train Accuracy: 11.77 %, Test Accuracy: 11.90 %
Epoch 4, Train Accuracy: 13.54 %, Test Accuracy: 14.95 %
Epoch 5, Train Accuracy: 16.53 %, Test Accuracy: 17.91 %
Epoch 6, Train Accuracy: 20.67 %, Test Accuracy: 22.94 %
Epoch 7, Train Accuracy: 25.43 %, Test Accuracy: 27.30 %
Epoch 8, Train Accuracy: 30.15 %, Test Accuracy: 32.01 %
Epoch 9, Train Accuracy: 33.94 %, Test Accuracy: 35.90 %
Epoch 10, Train Accuracy: 37.40 %, Test Accuracy: 38.67 %
Epoch 11, Train Accuracy: 40.20 %, Test Accuracy: 40.87 %
Epoch 12, Train Accuracy: 42.85 %, Test Accuracy: 43.68 %
Epoch 13, Train Accuracy: 45.50 %, Test Accuracy: 46.15 %
Epoch 14, Train Accuracy: 47.81 %, Test Accuracy: 46.62 %
Epoch 15, Train Accuracy: 49.68 %, Test Accuracy: 48.58 %
Epoch 16, Train Accuracy: 51.74 %, Test Accuracy: 51.04 %
Epoch 17, Train Accuracy: 53.39 %, Test Accuracy: 52.47 %
Epoch 18, Train Accuracy: 55.47 %, Test Accuracy: 53.19 %
Epoch 19, Train Accuracy: 56.76 %, Test Accuracy: 54.59 %
Epoch 20, Train Accuracy: 58.25 %, Test Accuracy: 54.52 %
Epoch 21, Train Accuracy: 59.45 %, Test Accuracy: 56.55 %
Epoch 22, Train Accuracy: 60.86 %, Test Accuracy: 57.31 %
Epoch 23, Train Accuracy: 62.14 %, Test Accuracy: 58.55 %
Epoch 24, Train Accuracy: 63.30 %, Test Accuracy: 58.93 %
Epoch 25, Train Accuracy: 63.89 %, Test Accuracy: 59.47 %
Epoch 26, Train Accuracy: 65.22 %, Test Accuracy: 60.28 %
