NODE=[HOST_bcfd0fc19c] | JOB=cs-r34-add-s0 4683717
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet34_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/cs100 --run-name cs-r34-add-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.41 %, Test Accuracy: 4.51 %
Epoch 1, Train Accuracy: 6.46 %, Test Accuracy: 9.23 %
Epoch 2, Train Accuracy: 10.00 %, Test Accuracy: 11.83 %
Epoch 3, Train Accuracy: 13.02 %, Test Accuracy: 14.59 %
Epoch 4, Train Accuracy: 15.98 %, Test Accuracy: 17.86 %
Epoch 5, Train Accuracy: 18.83 %, Test Accuracy: 19.56 %
Epoch 6, Train Accuracy: 21.29 %, Test Accuracy: 21.95 %
Epoch 7, Train Accuracy: 24.45 %, Test Accuracy: 24.79 %
Epoch 8, Train Accuracy: 27.21 %, Test Accuracy: 25.83 %
Epoch 9, Train Accuracy: 29.73 %, Test Accuracy: 30.96 %
Epoch 10, Train Accuracy: 32.34 %, Test Accuracy: 32.37 %
Epoch 11, Train Accuracy: 34.75 %, Test Accuracy: 33.77 %
Epoch 12, Train Accuracy: 36.78 %, Test Accuracy: 35.14 %
Epoch 13, Train Accuracy: 38.03 %, Test Accuracy: 37.46 %
Epoch 14, Train Accuracy: 39.31 %, Test Accuracy: 36.61 %
Epoch 15, Train Accuracy: 40.57 %, Test Accuracy: 39.30 %
Epoch 16, Train Accuracy: 41.27 %, Test Accuracy: 40.06 %
Epoch 17, Train Accuracy: 42.49 %, Test Accuracy: 41.66 %
Epoch 18, Train Accuracy: 43.55 %, Test Accuracy: 42.59 %
Epoch 19, Train Accuracy: 44.67 %, Test Accuracy: 43.33 %
Epoch 20, Train Accuracy: 46.19 %, Test Accuracy: 45.85 %
Epoch 21, Train Accuracy: 48.24 %, Test Accuracy: 46.53 %
Epoch 22, Train Accuracy: 50.16 %, Test Accuracy: 48.51 %
Epoch 23, Train Accuracy: 51.97 %, Test Accuracy: 49.61 %
Epoch 24, Train Accuracy: 53.48 %, Test Accuracy: 51.14 %
Epoch 25, Train Accuracy: 54.42 %, Test Accuracy: 50.94 %
Epoch 26, Train Accuracy: 55.18 %, Test Accuracy: 51.67 %
Epoch 27, Train Accuracy: 56.04 %, Test Accuracy: 51.50 %
Epoch 28, Train Accuracy: 56.65 %, Test Accuracy: 52.46 %
Epoch 29, Train Accuracy: 56.88 %, Test Accuracy: 52.68 %
Epoch 30, Train Accuracy: 57.52 %, Test Accuracy: 52.50 %
Epoch 31, Train Accuracy: 57.95 %, Test Accuracy: 52.49 %
Epoch 32, Train Accuracy: 58.08 %, Test Accuracy: 52.72 %
Epoch 33, Train Accuracy: 58.33 %, Test Accuracy: 53.27 %
Epoch 34, Train Accuracy: 59.02 %, Test Accuracy: 53.24 %
Epoch 35, Train Accuracy: 59.17 %, Test Accuracy: 53.49 %
Epoch 36, Train Accuracy: 59.51 %, Test Accuracy: 53.71 %
Epoch 37, Train Accuracy: 59.92 %, Test Accuracy: 53.48 %
Epoch 38, Train Accuracy: 59.85 %, Test Accuracy: 53.52 %
Epoch 39, Train Accuracy: 60.56 %, Test Accuracy: 54.23 %
Epoch 40, Train Accuracy: 60.69 %, Test Accuracy: 54.11 %
Epoch 41, Train Accuracy: 61.04 %, Test Accuracy: 54.23 %
Epoch 42, Train Accuracy: 61.10 %, Test Accuracy: 53.97 %
Epoch 43, Train Accuracy: 61.38 %, Test Accuracy: 54.23 %
Epoch 44, Train Accuracy: 61.84 %, Test Accuracy: 54.47 %
Epoch 45, Train Accuracy: 61.86 %, Test Accuracy: 54.20 %
Epoch 46, Train Accuracy: 62.15 %, Test Accuracy: 54.73 %
Epoch 47, Train Accuracy: 62.38 %, Test Accuracy: 54.48 %
Epoch 48, Train Accuracy: 62.57 %, Test Accuracy: 54.43 %
Epoch 49, Train Accuracy: 62.68 %, Test Accuracy: 54.86 %
Epoch 50, Train Accuracy: 62.73 %, Test Accuracy: 54.89 %
Epoch 51, Train Accuracy: 63.19 %, Test Accuracy: 55.22 %
Epoch 52, Train Accuracy: 63.42 %, Test Accuracy: 54.80 %
Epoch 53, Train Accuracy: 63.87 %, Test Accuracy: 55.36 %
Epoch 54, Train Accuracy: 63.53 %, Test Accuracy: 55.05 %
Epoch 55, Train Accuracy: 64.13 %, Test Accuracy: 54.97 %
Epoch 56, Train Accuracy: 64.50 %, Test Accuracy: 54.92 %
Epoch 57, Train Accuracy: 64.23 %, Test Accuracy: 55.34 %
Epoch 58, Train Accuracy: 64.33 %, Test Accuracy: 55.23 %
Epoch 59, Train Accuracy: 64.91 %, Test Accuracy: 55.25 %
Epoch 60, Train Accuracy: 65.07 %, Test Accuracy: 55.26 %
Epoch 61, Train Accuracy: 65.38 %, Test Accuracy: 55.12 %
Epoch 62, Train Accuracy: 65.48 %, Test Accuracy: 55.92 %
Epoch 63, Train Accuracy: 65.49 %, Test Accuracy: 55.32 %
Epoch 64, Train Accuracy: 65.80 %, Test Accuracy: 55.75 %
