NODE=[HOST_e8d809bd94] | JOB=cs-r34-layer-s2 4683777
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet34_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/cs100 --run-name cs-r34-layer-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.84 %, Test Accuracy: 4.80 %
Epoch 1, Train Accuracy: 7.06 %, Test Accuracy: 9.41 %
Epoch 2, Train Accuracy: 11.45 %, Test Accuracy: 14.05 %
Epoch 3, Train Accuracy: 15.56 %, Test Accuracy: 18.76 %
Epoch 4, Train Accuracy: 20.81 %, Test Accuracy: 24.22 %
Epoch 5, Train Accuracy: 26.07 %, Test Accuracy: 29.73 %
Epoch 6, Train Accuracy: 31.87 %, Test Accuracy: 35.83 %
Epoch 7, Train Accuracy: 37.25 %, Test Accuracy: 39.23 %
Epoch 8, Train Accuracy: 41.22 %, Test Accuracy: 41.58 %
Epoch 9, Train Accuracy: 44.46 %, Test Accuracy: 45.81 %
Epoch 10, Train Accuracy: 48.06 %, Test Accuracy: 47.41 %
Epoch 11, Train Accuracy: 51.14 %, Test Accuracy: 48.51 %
Epoch 12, Train Accuracy: 53.97 %, Test Accuracy: 51.95 %
Epoch 13, Train Accuracy: 56.38 %, Test Accuracy: 52.91 %
Epoch 14, Train Accuracy: 58.97 %, Test Accuracy: 54.24 %
Epoch 15, Train Accuracy: 61.38 %, Test Accuracy: 55.79 %
Epoch 16, Train Accuracy: 63.47 %, Test Accuracy: 56.67 %
