NODE=[HOST_b0a55dfb8c] | JOB=csh1-GML-s181 5080654 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 5e-4 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 0.999685 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 181 --save-directory cluster/Account2/metaopt/runs/csh1 --run-name csh1-GML-s181
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/csh1/probe_csh1-GML-s181 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/csh1/probe_csh1-GML-s181
Epoch 0, Train Accuracy: 1.05 %, Test Accuracy: 1.01 %
Epoch 1, Train Accuracy: 1.14 %, Test Accuracy: 1.02 %
Epoch 2, Train Accuracy: 1.10 %, Test Accuracy: 1.03 %
Epoch 3, Train Accuracy: 1.10 %, Test Accuracy: 1.02 %
Epoch 4, Train Accuracy: 1.18 %, Test Accuracy: 1.05 %
Epoch 5, Train Accuracy: 1.17 %, Test Accuracy: 1.06 %
Epoch 6, Train Accuracy: 1.22 %, Test Accuracy: 1.21 %
Epoch 7, Train Accuracy: 1.60 %, Test Accuracy: 1.61 %
Epoch 8, Train Accuracy: 2.09 %, Test Accuracy: 2.41 %
Epoch 9, Train Accuracy: 2.67 %, Test Accuracy: 3.24 %
Epoch 10, Train Accuracy: 3.68 %, Test Accuracy: 4.63 %
Epoch 11, Train Accuracy: 5.04 %, Test Accuracy: 5.87 %
Epoch 12, Train Accuracy: 6.61 %, Test Accuracy: 7.81 %
Epoch 13, Train Accuracy: 8.59 %, Test Accuracy: 9.70 %
Epoch 14, Train Accuracy: 10.57 %, Test Accuracy: 12.18 %
Epoch 15, Train Accuracy: 13.08 %, Test Accuracy: 14.28 %
Epoch 16, Train Accuracy: 15.42 %, Test Accuracy: 16.68 %
Epoch 17, Train Accuracy: 18.43 %, Test Accuracy: 20.39 %
Epoch 18, Train Accuracy: 23.08 %, Test Accuracy: 24.43 %
Epoch 19, Train Accuracy: 26.90 %, Test Accuracy: 28.86 %
Epoch 20, Train Accuracy: 31.89 %, Test Accuracy: 33.83 %
Epoch 21, Train Accuracy: 37.04 %, Test Accuracy: 39.37 %
Epoch 22, Train Accuracy: 40.34 %, Test Accuracy: 41.13 %
Epoch 23, Train Accuracy: 44.68 %, Test Accuracy: 45.67 %
Epoch 24, Train Accuracy: 47.44 %, Test Accuracy: 45.85 %
Epoch 25, Train Accuracy: 51.14 %, Test Accuracy: 49.09 %
Epoch 26, Train Accuracy: 53.63 %, Test Accuracy: 51.37 %
Epoch 27, Train Accuracy: 55.73 %, Test Accuracy: 52.60 %
Epoch 28, Train Accuracy: 57.92 %, Test Accuracy: 53.94 %
Epoch 29, Train Accuracy: 59.85 %, Test Accuracy: 54.89 %
Epoch 30, Train Accuracy: 62.02 %, Test Accuracy: 55.64 %
Epoch 31, Train Accuracy: 63.55 %, Test Accuracy: 56.57 %
Epoch 32, Train Accuracy: 64.74 %, Test Accuracy: 57.40 %
Epoch 33, Train Accuracy: 66.52 %, Test Accuracy: 57.20 %
Epoch 34, Train Accuracy: 67.65 %, Test Accuracy: 57.86 %
Epoch 35, Train Accuracy: 68.98 %, Test Accuracy: 58.23 %
Epoch 36, Train Accuracy: 70.31 %, Test Accuracy: 58.81 %
Epoch 37, Train Accuracy: 71.34 %, Test Accuracy: 59.19 %
Epoch 38, Train Accuracy: 72.45 %, Test Accuracy: 59.11 %
Epoch 39, Train Accuracy: 73.28 %, Test Accuracy: 59.65 %
Epoch 40, Train Accuracy: 74.37 %, Test Accuracy: 59.66 %
Epoch 41, Train Accuracy: 75.36 %, Test Accuracy: 59.99 %
Epoch 42, Train Accuracy: 76.18 %, Test Accuracy: 60.07 %
Epoch 43, Train Accuracy: 77.20 %, Test Accuracy: 60.55 %
Epoch 44, Train Accuracy: 77.75 %, Test Accuracy: 60.84 %
Epoch 45, Train Accuracy: 78.65 %, Test Accuracy: 60.49 %
Epoch 46, Train Accuracy: 79.59 %, Test Accuracy: 60.76 %
Epoch 47, Train Accuracy: 79.98 %, Test Accuracy: 61.03 %
Epoch 48, Train Accuracy: 80.72 %, Test Accuracy: 60.95 %
Epoch 49, Train Accuracy: 81.71 %, Test Accuracy: 61.01 %
Epoch 50, Train Accuracy: 81.98 %, Test Accuracy: 61.05 %
Epoch 51, Train Accuracy: 82.88 %, Test Accuracy: 61.00 %
Epoch 52, Train Accuracy: 83.10 %, Test Accuracy: 60.59 %
Epoch 53, Train Accuracy: 83.93 %, Test Accuracy: 61.17 %
Epoch 54, Train Accuracy: 84.59 %, Test Accuracy: 61.00 %
Epoch 55, Train Accuracy: 84.85 %, Test Accuracy: 61.36 %
Epoch 56, Train Accuracy: 85.24 %, Test Accuracy: 61.07 %
Epoch 57, Train Accuracy: 86.01 %, Test Accuracy: 60.84 %
Epoch 58, Train Accuracy: 86.32 %, Test Accuracy: 61.05 %
Epoch 59, Train Accuracy: 86.60 %, Test Accuracy: 61.01 %
Epoch 60, Train Accuracy: 86.99 %, Test Accuracy: 61.18 %
Epoch 61, Train Accuracy: 87.56 %, Test Accuracy: 61.35 %
Epoch 62, Train Accuracy: 87.69 %, Test Accuracy: 61.16 %
Epoch 63, Train Accuracy: 88.28 %, Test Accuracy: 61.16 %
Epoch 64, Train Accuracy: 88.36 %, Test Accuracy: 61.46 %
Epoch 65, Train Accuracy: 88.99 %, Test Accuracy: 61.18 %
Epoch 66, Train Accuracy: 89.15 %, Test Accuracy: 61.17 %
Epoch 67, Train Accuracy: 89.10 %, Test Accuracy: 61.54 %
Epoch 68, Train Accuracy: 89.41 %, Test Accuracy: 60.90 %
Epoch 69, Train Accuracy: 89.91 %, Test Accuracy: 61.37 %
Epoch 70, Train Accuracy: 90.10 %, Test Accuracy: 61.63 %
Epoch 71, Train Accuracy: 90.31 %, Test Accuracy: 61.23 %
Epoch 72, Train Accuracy: 90.69 %, Test Accuracy: 61.28 %
