NODE=[HOST_220cfa1024] | JOB=cst1-CTL-s114 5026069 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-46,49-55,57-62/layer4.0.bn1.weight,layer4.0.bn1.bias,layer4.1.bn1.weight --seed 114 --save-directory cluster/Account2/metaopt/runs/cst1 --run-name cst1-CTL-s114
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cst1/probe_cst1-CTL-s114 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cst1/probe_cst1-CTL-s114
Epoch 0, Train Accuracy: 1.06 %, Test Accuracy: 1.13 %
Epoch 1, Train Accuracy: 1.11 %, Test Accuracy: 1.05 %
Epoch 2, Train Accuracy: 1.10 %, Test Accuracy: 1.08 %
Epoch 3, Train Accuracy: 1.21 %, Test Accuracy: 1.08 %
Epoch 4, Train Accuracy: 1.10 %, Test Accuracy: 1.10 %
Epoch 5, Train Accuracy: 1.09 %, Test Accuracy: 1.10 %
Epoch 6, Train Accuracy: 1.13 %, Test Accuracy: 1.09 %
Epoch 7, Train Accuracy: 1.11 %, Test Accuracy: 1.08 %
Epoch 8, Train Accuracy: 1.08 %, Test Accuracy: 1.10 %
Epoch 9, Train Accuracy: 1.15 %, Test Accuracy: 1.10 %
Epoch 10, Train Accuracy: 1.11 %, Test Accuracy: 1.09 %
Epoch 11, Train Accuracy: 1.10 %, Test Accuracy: 1.08 %
Epoch 12, Train Accuracy: 1.21 %, Test Accuracy: 1.11 %
Epoch 13, Train Accuracy: 1.21 %, Test Accuracy: 1.14 %
Epoch 14, Train Accuracy: 1.15 %, Test Accuracy: 1.15 %
Epoch 15, Train Accuracy: 1.23 %, Test Accuracy: 1.19 %
Epoch 16, Train Accuracy: 1.29 %, Test Accuracy: 1.22 %
Epoch 17, Train Accuracy: 1.40 %, Test Accuracy: 1.21 %
Epoch 18, Train Accuracy: 1.40 %, Test Accuracy: 1.38 %
Epoch 19, Train Accuracy: 1.49 %, Test Accuracy: 1.47 %
Epoch 20, Train Accuracy: 1.67 %, Test Accuracy: 1.57 %
Epoch 21, Train Accuracy: 1.72 %, Test Accuracy: 1.78 %
Epoch 22, Train Accuracy: 1.92 %, Test Accuracy: 2.13 %
Epoch 23, Train Accuracy: 2.28 %, Test Accuracy: 2.40 %
Epoch 24, Train Accuracy: 2.60 %, Test Accuracy: 2.80 %
Epoch 25, Train Accuracy: 2.86 %, Test Accuracy: 3.16 %
Epoch 26, Train Accuracy: 3.01 %, Test Accuracy: 3.33 %
Epoch 27, Train Accuracy: 3.19 %, Test Accuracy: 3.55 %
Epoch 28, Train Accuracy: 3.50 %, Test Accuracy: 3.80 %
Epoch 29, Train Accuracy: 3.75 %, Test Accuracy: 4.35 %
Epoch 30, Train Accuracy: 4.25 %, Test Accuracy: 4.84 %
Epoch 31, Train Accuracy: 4.69 %, Test Accuracy: 5.50 %
Epoch 32, Train Accuracy: 5.32 %, Test Accuracy: 5.91 %
Epoch 33, Train Accuracy: 5.93 %, Test Accuracy: 6.68 %
Epoch 34, Train Accuracy: 6.61 %, Test Accuracy: 7.24 %
Epoch 35, Train Accuracy: 7.17 %, Test Accuracy: 7.82 %
Epoch 36, Train Accuracy: 7.78 %, Test Accuracy: 8.31 %
Epoch 37, Train Accuracy: 8.31 %, Test Accuracy: 8.97 %
Epoch 38, Train Accuracy: 9.04 %, Test Accuracy: 9.52 %
Epoch 39, Train Accuracy: 9.69 %, Test Accuracy: 10.02 %
Epoch 40, Train Accuracy: 10.01 %, Test Accuracy: 10.60 %
Epoch 41, Train Accuracy: 10.64 %, Test Accuracy: 11.22 %
Epoch 42, Train Accuracy: 11.30 %, Test Accuracy: 11.71 %
Epoch 43, Train Accuracy: 11.97 %, Test Accuracy: 12.78 %
Epoch 44, Train Accuracy: 12.68 %, Test Accuracy: 13.27 %
Epoch 45, Train Accuracy: 13.49 %, Test Accuracy: 14.08 %
Epoch 46, Train Accuracy: 14.17 %, Test Accuracy: 14.72 %
Epoch 47, Train Accuracy: 15.04 %, Test Accuracy: 15.56 %
Epoch 48, Train Accuracy: 15.62 %, Test Accuracy: 16.22 %
Epoch 49, Train Accuracy: 16.21 %, Test Accuracy: 17.34 %
Epoch 50, Train Accuracy: 17.25 %, Test Accuracy: 17.78 %
Epoch 51, Train Accuracy: 18.44 %, Test Accuracy: 18.44 %
Epoch 52, Train Accuracy: 19.40 %, Test Accuracy: 20.08 %
Epoch 53, Train Accuracy: 20.39 %, Test Accuracy: 20.86 %
Epoch 54, Train Accuracy: 21.50 %, Test Accuracy: 21.51 %
Epoch 55, Train Accuracy: 22.30 %, Test Accuracy: 22.49 %
Epoch 56, Train Accuracy: 22.92 %, Test Accuracy: 23.09 %
Epoch 57, Train Accuracy: 23.52 %, Test Accuracy: 23.77 %
Epoch 58, Train Accuracy: 24.34 %, Test Accuracy: 24.29 %
Epoch 59, Train Accuracy: 24.92 %, Test Accuracy: 24.30 %
Epoch 60, Train Accuracy: 25.31 %, Test Accuracy: 24.87 %
Epoch 61, Train Accuracy: 25.97 %, Test Accuracy: 26.07 %
Epoch 62, Train Accuracy: 26.30 %, Test Accuracy: 26.12 %
Epoch 63, Train Accuracy: 26.69 %, Test Accuracy: 26.49 %
Epoch 64, Train Accuracy: 27.10 %, Test Accuracy: 27.18 %
Epoch 65, Train Accuracy: 27.40 %, Test Accuracy: 27.27 %
Epoch 66, Train Accuracy: 27.72 %, Test Accuracy: 27.27 %
Epoch 67, Train Accuracy: 27.96 %, Test Accuracy: 27.67 %
Epoch 68, Train Accuracy: 28.11 %, Test Accuracy: 27.87 %
Epoch 69, Train Accuracy: 28.49 %, Test Accuracy: 27.97 %
Epoch 70, Train Accuracy: 28.43 %, Test Accuracy: 28.24 %
Epoch 71, Train Accuracy: 28.64 %, Test Accuracy: 28.44 %
Epoch 72, Train Accuracy: 28.88 %, Test Accuracy: 28.85 %
Epoch 73, Train Accuracy: 28.95 %, Test Accuracy: 28.72 %
Epoch 74, Train Accuracy: 29.02 %, Test Accuracy: 28.87 %
Epoch 75, Train Accuracy: 29.05 %, Test Accuracy: 28.93 %
Epoch 76, Train Accuracy: 29.37 %, Test Accuracy: 28.50 %
Epoch 77, Train Accuracy: 29.22 %, Test Accuracy: 28.89 %
Epoch 78, Train Accuracy: 29.30 %, Test Accuracy: 28.85 %
Epoch 79, Train Accuracy: 29.29 %, Test Accuracy: 28.86 %
Epoch 80, Train Accuracy: 29.39 %, Test Accuracy: 29.06 %
Epoch 81, Train Accuracy: 29.44 %, Test Accuracy: 29.09 %
Epoch 82, Train Accuracy: 29.32 %, Test Accuracy: 29.19 %
Epoch 83, Train Accuracy: 29.61 %, Test Accuracy: 29.25 %
Epoch 84, Train Accuracy: 29.39 %, Test Accuracy: 29.01 %
Epoch 85, Train Accuracy: 29.41 %, Test Accuracy: 29.19 %
Epoch 86, Train Accuracy: 29.51 %, Test Accuracy: 29.14 %
Epoch 87, Train Accuracy: 29.67 %, Test Accuracy: 29.29 %
Epoch 88, Train Accuracy: 29.57 %, Test Accuracy: 29.10 %
Epoch 89, Train Accuracy: 29.62 %, Test Accuracy: 29.20 %
Epoch 90, Train Accuracy: 29.61 %, Test Accuracy: 29.19 %
Epoch 91, Train Accuracy: 29.64 %, Test Accuracy: 29.05 %
Epoch 92, Train Accuracy: 29.78 %, Test Accuracy: 29.03 %
Epoch 93, Train Accuracy: 29.71 %, Test Accuracy: 29.38 %
Epoch 94, Train Accuracy: 29.69 %, Test Accuracy: 29.28 %
Epoch 95, Train Accuracy: 29.61 %, Test Accuracy: 29.21 %
Epoch 96, Train Accuracy: 29.70 %, Test Accuracy: 29.02 %
Epoch 97, Train Accuracy: 29.76 %, Test Accuracy: 29.26 %
Epoch 98, Train Accuracy: 29.70 %, Test Accuracy: 29.05 %
Epoch 99, Train Accuracy: 29.53 %, Test Accuracy: 29.12 %
43  minutes
RUN_DONE
