NODE=[HOST_6dc36997e3] | JOB=cst1-ISO-s113 5026065 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-52,54-58,60-62/layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight --seed 113 --save-directory cluster/Account2/metaopt/runs/cst1 --run-name cst1-ISO-s113
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cst1/probe_cst1-ISO-s113 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cst1/probe_cst1-ISO-s113
Epoch 0, Train Accuracy: 1.18 %, Test Accuracy: 1.20 %
Epoch 1, Train Accuracy: 1.24 %, Test Accuracy: 1.21 %
Epoch 2, Train Accuracy: 1.21 %, Test Accuracy: 1.18 %
Epoch 3, Train Accuracy: 1.17 %, Test Accuracy: 1.29 %
Epoch 4, Train Accuracy: 1.28 %, Test Accuracy: 1.26 %
Epoch 5, Train Accuracy: 1.23 %, Test Accuracy: 1.30 %
Epoch 6, Train Accuracy: 1.23 %, Test Accuracy: 1.40 %
Epoch 7, Train Accuracy: 1.28 %, Test Accuracy: 1.40 %
Epoch 8, Train Accuracy: 1.34 %, Test Accuracy: 1.48 %
Epoch 9, Train Accuracy: 1.36 %, Test Accuracy: 1.40 %
Epoch 10, Train Accuracy: 1.40 %, Test Accuracy: 1.53 %
Epoch 11, Train Accuracy: 1.40 %, Test Accuracy: 1.60 %
Epoch 12, Train Accuracy: 1.47 %, Test Accuracy: 1.63 %
Epoch 13, Train Accuracy: 1.46 %, Test Accuracy: 1.63 %
Epoch 14, Train Accuracy: 1.55 %, Test Accuracy: 1.70 %
Epoch 15, Train Accuracy: 1.61 %, Test Accuracy: 1.76 %
Epoch 16, Train Accuracy: 1.52 %, Test Accuracy: 1.78 %
Epoch 17, Train Accuracy: 1.62 %, Test Accuracy: 1.79 %
Epoch 18, Train Accuracy: 1.74 %, Test Accuracy: 1.91 %
Epoch 19, Train Accuracy: 1.70 %, Test Accuracy: 2.07 %
Epoch 20, Train Accuracy: 1.92 %, Test Accuracy: 2.31 %
Epoch 21, Train Accuracy: 2.15 %, Test Accuracy: 2.65 %
Epoch 22, Train Accuracy: 2.40 %, Test Accuracy: 3.03 %
Epoch 23, Train Accuracy: 2.78 %, Test Accuracy: 3.47 %
Epoch 24, Train Accuracy: 2.95 %, Test Accuracy: 3.67 %
Epoch 25, Train Accuracy: 3.33 %, Test Accuracy: 3.99 %
Epoch 26, Train Accuracy: 3.64 %, Test Accuracy: 4.56 %
Epoch 27, Train Accuracy: 4.08 %, Test Accuracy: 4.67 %
Epoch 28, Train Accuracy: 4.32 %, Test Accuracy: 4.97 %
Epoch 29, Train Accuracy: 4.54 %, Test Accuracy: 5.04 %
Epoch 30, Train Accuracy: 4.89 %, Test Accuracy: 5.47 %
Epoch 31, Train Accuracy: 5.17 %, Test Accuracy: 5.89 %
Epoch 32, Train Accuracy: 5.65 %, Test Accuracy: 6.30 %
Epoch 33, Train Accuracy: 6.08 %, Test Accuracy: 6.64 %
Epoch 34, Train Accuracy: 6.65 %, Test Accuracy: 7.18 %
Epoch 35, Train Accuracy: 7.05 %, Test Accuracy: 7.65 %
Epoch 36, Train Accuracy: 7.83 %, Test Accuracy: 8.35 %
Epoch 37, Train Accuracy: 8.55 %, Test Accuracy: 9.06 %
Epoch 38, Train Accuracy: 9.04 %, Test Accuracy: 9.64 %
Epoch 39, Train Accuracy: 9.61 %, Test Accuracy: 10.64 %
Epoch 40, Train Accuracy: 10.37 %, Test Accuracy: 11.21 %
Epoch 41, Train Accuracy: 11.38 %, Test Accuracy: 12.00 %
Epoch 42, Train Accuracy: 12.00 %, Test Accuracy: 12.60 %
Epoch 43, Train Accuracy: 12.83 %, Test Accuracy: 13.96 %
Epoch 44, Train Accuracy: 14.03 %, Test Accuracy: 14.44 %
Epoch 45, Train Accuracy: 14.70 %, Test Accuracy: 15.62 %
Epoch 46, Train Accuracy: 15.91 %, Test Accuracy: 16.52 %
Epoch 47, Train Accuracy: 16.83 %, Test Accuracy: 17.89 %
Epoch 48, Train Accuracy: 18.00 %, Test Accuracy: 19.42 %
Epoch 49, Train Accuracy: 19.83 %, Test Accuracy: 20.92 %
Epoch 50, Train Accuracy: 21.58 %, Test Accuracy: 22.94 %
Epoch 51, Train Accuracy: 24.08 %, Test Accuracy: 25.38 %
Epoch 52, Train Accuracy: 26.37 %, Test Accuracy: 27.63 %
Epoch 53, Train Accuracy: 29.07 %, Test Accuracy: 29.11 %
Epoch 54, Train Accuracy: 31.53 %, Test Accuracy: 31.74 %
Epoch 55, Train Accuracy: 35.43 %, Test Accuracy: 35.63 %
Epoch 56, Train Accuracy: 38.77 %, Test Accuracy: 38.30 %
Epoch 57, Train Accuracy: 42.11 %, Test Accuracy: 42.61 %
Epoch 58, Train Accuracy: 45.74 %, Test Accuracy: 46.89 %
Epoch 59, Train Accuracy: 48.37 %, Test Accuracy: 49.50 %
Epoch 60, Train Accuracy: 51.07 %, Test Accuracy: 50.33 %
Epoch 61, Train Accuracy: 53.32 %, Test Accuracy: 50.53 %
Epoch 62, Train Accuracy: 55.50 %, Test Accuracy: 53.90 %
Epoch 63, Train Accuracy: 57.92 %, Test Accuracy: 56.34 %
Epoch 64, Train Accuracy: 59.78 %, Test Accuracy: 57.04 %
Epoch 65, Train Accuracy: 61.88 %, Test Accuracy: 57.56 %
Epoch 66, Train Accuracy: 63.64 %, Test Accuracy: 59.05 %
Epoch 67, Train Accuracy: 64.74 %, Test Accuracy: 59.03 %
Epoch 68, Train Accuracy: 66.58 %, Test Accuracy: 60.71 %
Epoch 69, Train Accuracy: 67.99 %, Test Accuracy: 61.13 %
Epoch 70, Train Accuracy: 69.15 %, Test Accuracy: 61.77 %
Epoch 71, Train Accuracy: 70.40 %, Test Accuracy: 62.50 %
Epoch 72, Train Accuracy: 71.87 %, Test Accuracy: 64.37 %
Epoch 73, Train Accuracy: 72.86 %, Test Accuracy: 64.57 %
Epoch 74, Train Accuracy: 74.22 %, Test Accuracy: 64.97 %
Epoch 75, Train Accuracy: 75.09 %, Test Accuracy: 65.89 %
Epoch 76, Train Accuracy: 76.45 %, Test Accuracy: 66.21 %
Epoch 77, Train Accuracy: 77.71 %, Test Accuracy: 66.60 %
Epoch 78, Train Accuracy: 78.78 %, Test Accuracy: 66.86 %
Epoch 79, Train Accuracy: 79.27 %, Test Accuracy: 67.11 %
Epoch 80, Train Accuracy: 80.30 %, Test Accuracy: 67.41 %
Epoch 81, Train Accuracy: 81.31 %, Test Accuracy: 67.76 %
Epoch 82, Train Accuracy: 82.42 %, Test Accuracy: 68.27 %
Epoch 83, Train Accuracy: 83.21 %, Test Accuracy: 68.27 %
Epoch 84, Train Accuracy: 84.04 %, Test Accuracy: 68.32 %
Epoch 85, Train Accuracy: 84.87 %, Test Accuracy: 68.05 %
Epoch 86, Train Accuracy: 85.43 %, Test Accuracy: 68.86 %
Epoch 87, Train Accuracy: 86.05 %, Test Accuracy: 69.33 %
Epoch 88, Train Accuracy: 86.95 %, Test Accuracy: 69.39 %
Epoch 89, Train Accuracy: 87.45 %, Test Accuracy: 69.08 %
Epoch 90, Train Accuracy: 88.20 %, Test Accuracy: 69.30 %
Epoch 91, Train Accuracy: 88.72 %, Test Accuracy: 69.50 %
Epoch 92, Train Accuracy: 89.33 %, Test Accuracy: 69.32 %
Epoch 93, Train Accuracy: 89.89 %, Test Accuracy: 69.64 %
Epoch 94, Train Accuracy: 90.47 %, Test Accuracy: 69.78 %
Epoch 95, Train Accuracy: 90.94 %, Test Accuracy: 70.20 %
Epoch 96, Train Accuracy: 91.26 %, Test Accuracy: 70.13 %
Epoch 97, Train Accuracy: 91.64 %, Test Accuracy: 70.04 %
Epoch 98, Train Accuracy: 92.01 %, Test Accuracy: 70.14 %
Epoch 99, Train Accuracy: 92.26 %, Test Accuracy: 69.91 %
47  minutes
RUN_DONE
