NODE=[HOST_b0a55dfb8c] | JOB=csv1-NAIVELOW-s137 5045367 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 137 --save-directory cluster/Account2/metaopt/runs/csv1 --run-name csv1-NAIVELOW-s137
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/csv1/probe_csv1-NAIVELOW-s137 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
COMP_HOLD: off
WINDOW_HOLD: off
SHADOW_VOTE: on type=scalar base=SGDm vote=natural applied=floor floor=-15.0 items=50:layer4.1.bn2.weight:numel=512
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/csv1/probe_csv1-NAIVELOW-s137
Epoch 0, Train Accuracy: 1.04 %, Test Accuracy: 1.19 %
Epoch 1, Train Accuracy: 1.04 %, Test Accuracy: 1.14 %
Epoch 2, Train Accuracy: 1.05 %, Test Accuracy: 1.11 %
Epoch 3, Train Accuracy: 1.04 %, Test Accuracy: 1.15 %
Epoch 4, Train Accuracy: 1.02 %, Test Accuracy: 1.13 %
Epoch 5, Train Accuracy: 1.03 %, Test Accuracy: 1.19 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.18 %
Epoch 7, Train Accuracy: 1.07 %, Test Accuracy: 1.23 %
Epoch 8, Train Accuracy: 1.12 %, Test Accuracy: 1.37 %
Epoch 9, Train Accuracy: 1.47 %, Test Accuracy: 2.02 %
Epoch 10, Train Accuracy: 2.00 %, Test Accuracy: 2.45 %
Epoch 11, Train Accuracy: 2.52 %, Test Accuracy: 3.18 %
Epoch 12, Train Accuracy: 3.23 %, Test Accuracy: 3.67 %
Epoch 13, Train Accuracy: 4.13 %, Test Accuracy: 4.71 %
Epoch 14, Train Accuracy: 4.84 %, Test Accuracy: 5.50 %
Epoch 15, Train Accuracy: 6.47 %, Test Accuracy: 8.07 %
Epoch 16, Train Accuracy: 8.84 %, Test Accuracy: 9.79 %
Epoch 17, Train Accuracy: 11.58 %, Test Accuracy: 11.95 %
Epoch 18, Train Accuracy: 14.17 %, Test Accuracy: 16.68 %
Epoch 19, Train Accuracy: 17.99 %, Test Accuracy: 20.68 %
Epoch 20, Train Accuracy: 21.93 %, Test Accuracy: 23.65 %
Epoch 21, Train Accuracy: 25.14 %, Test Accuracy: 25.99 %
Epoch 22, Train Accuracy: 28.71 %, Test Accuracy: 29.88 %
Epoch 23, Train Accuracy: 31.06 %, Test Accuracy: 33.13 %
Epoch 24, Train Accuracy: 35.00 %, Test Accuracy: 35.57 %
Epoch 25, Train Accuracy: 37.45 %, Test Accuracy: 37.95 %
