NODE=[HOST_e8d809bd94] | JOB=ctd1-lay-s18 4924920 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 18 --save-directory cluster/Account2/metaopt/runs/ctd1 --run-name ctd1-lay-s18
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/ctd1/probe_ctd1-lay-s18 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/ctd1/probe_ctd1-lay-s18
Epoch 0, Train Accuracy: 0.82 %, Test Accuracy: 0.78 %
Epoch 1, Train Accuracy: 0.80 %, Test Accuracy: 0.73 %
Epoch 2, Train Accuracy: 0.81 %, Test Accuracy: 0.78 %
Epoch 3, Train Accuracy: 0.77 %, Test Accuracy: 0.77 %
Epoch 4, Train Accuracy: 0.87 %, Test Accuracy: 0.88 %
Epoch 5, Train Accuracy: 0.96 %, Test Accuracy: 0.97 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.25 %
Epoch 7, Train Accuracy: 1.32 %, Test Accuracy: 1.66 %
Epoch 8, Train Accuracy: 1.69 %, Test Accuracy: 2.25 %
Epoch 9, Train Accuracy: 2.21 %, Test Accuracy: 3.09 %
Epoch 10, Train Accuracy: 2.99 %, Test Accuracy: 3.74 %
Epoch 11, Train Accuracy: 4.03 %, Test Accuracy: 4.96 %
Epoch 12, Train Accuracy: 5.58 %, Test Accuracy: 7.05 %
Epoch 13, Train Accuracy: 7.89 %, Test Accuracy: 9.37 %
Epoch 14, Train Accuracy: 10.08 %, Test Accuracy: 11.42 %
Epoch 15, Train Accuracy: 12.52 %, Test Accuracy: 14.02 %
Epoch 16, Train Accuracy: 15.27 %, Test Accuracy: 16.83 %
Epoch 17, Train Accuracy: 18.61 %, Test Accuracy: 19.79 %
Epoch 18, Train Accuracy: 22.66 %, Test Accuracy: 25.23 %
Epoch 19, Train Accuracy: 27.51 %, Test Accuracy: 30.33 %
Epoch 20, Train Accuracy: 32.01 %, Test Accuracy: 34.25 %
Epoch 21, Train Accuracy: 36.78 %, Test Accuracy: 37.97 %
Epoch 22, Train Accuracy: 40.34 %, Test Accuracy: 41.32 %
Epoch 23, Train Accuracy: 43.80 %, Test Accuracy: 42.23 %
Epoch 24, Train Accuracy: 46.12 %, Test Accuracy: 46.54 %
Epoch 25, Train Accuracy: 48.89 %, Test Accuracy: 47.81 %
Epoch 26, Train Accuracy: 51.52 %, Test Accuracy: 50.45 %
Epoch 27, Train Accuracy: 53.27 %, Test Accuracy: 51.46 %
Epoch 28, Train Accuracy: 55.68 %, Test Accuracy: 53.37 %
Epoch 29, Train Accuracy: 57.56 %, Test Accuracy: 53.40 %
Epoch 30, Train Accuracy: 59.52 %, Test Accuracy: 54.97 %
Epoch 31, Train Accuracy: 61.22 %, Test Accuracy: 56.84 %
Epoch 32, Train Accuracy: 62.27 %, Test Accuracy: 56.36 %
Epoch 33, Train Accuracy: 64.06 %, Test Accuracy: 58.30 %
Epoch 34, Train Accuracy: 65.77 %, Test Accuracy: 59.73 %
Epoch 35, Train Accuracy: 67.21 %, Test Accuracy: 59.34 %
Epoch 36, Train Accuracy: 68.40 %, Test Accuracy: 60.39 %
Epoch 37, Train Accuracy: 69.40 %, Test Accuracy: 61.56 %
Epoch 38, Train Accuracy: 70.98 %, Test Accuracy: 61.88 %
Epoch 39, Train Accuracy: 72.14 %, Test Accuracy: 61.66 %
Epoch 40, Train Accuracy: 73.28 %, Test Accuracy: 63.47 %
Epoch 41, Train Accuracy: 74.62 %, Test Accuracy: 63.23 %
Epoch 42, Train Accuracy: 75.25 %, Test Accuracy: 63.85 %
Epoch 43, Train Accuracy: 76.74 %, Test Accuracy: 63.81 %
Epoch 44, Train Accuracy: 77.58 %, Test Accuracy: 64.36 %
Epoch 45, Train Accuracy: 78.84 %, Test Accuracy: 65.24 %
Epoch 46, Train Accuracy: 79.49 %, Test Accuracy: 64.98 %
Epoch 47, Train Accuracy: 80.37 %, Test Accuracy: 65.29 %
Epoch 48, Train Accuracy: 81.33 %, Test Accuracy: 65.39 %
Epoch 49, Train Accuracy: 81.88 %, Test Accuracy: 65.40 %
Epoch 50, Train Accuracy: 82.81 %, Test Accuracy: 65.70 %
Epoch 51, Train Accuracy: 83.89 %, Test Accuracy: 66.72 %
Epoch 52, Train Accuracy: 84.78 %, Test Accuracy: 66.54 %
Epoch 53, Train Accuracy: 85.44 %, Test Accuracy: 66.34 %
Epoch 54, Train Accuracy: 86.51 %, Test Accuracy: 66.89 %
Epoch 55, Train Accuracy: 87.12 %, Test Accuracy: 67.30 %
Epoch 56, Train Accuracy: 87.63 %, Test Accuracy: 67.49 %
Epoch 57, Train Accuracy: 88.46 %, Test Accuracy: 66.47 %
Epoch 58, Train Accuracy: 89.30 %, Test Accuracy: 67.40 %
Epoch 59, Train Accuracy: 89.40 %, Test Accuracy: 67.42 %
Epoch 60, Train Accuracy: 90.33 %, Test Accuracy: 66.77 %
Epoch 61, Train Accuracy: 90.83 %, Test Accuracy: 67.55 %
Epoch 62, Train Accuracy: 91.38 %, Test Accuracy: 67.26 %
Epoch 63, Train Accuracy: 91.87 %, Test Accuracy: 67.41 %
Epoch 64, Train Accuracy: 92.33 %, Test Accuracy: 66.65 %
Epoch 65, Train Accuracy: 92.71 %, Test Accuracy: 67.39 %
Epoch 66, Train Accuracy: 92.88 %, Test Accuracy: 67.51 %
Epoch 67, Train Accuracy: 93.75 %, Test Accuracy: 67.75 %
Epoch 68, Train Accuracy: 93.72 %, Test Accuracy: 67.33 %
Epoch 69, Train Accuracy: 94.07 %, Test Accuracy: 67.70 %
Epoch 70, Train Accuracy: 94.69 %, Test Accuracy: 68.81 %
Epoch 71, Train Accuracy: 95.10 %, Test Accuracy: 67.82 %
Epoch 72, Train Accuracy: 94.75 %, Test Accuracy: 67.82 %
Epoch 73, Train Accuracy: 95.43 %, Test Accuracy: 68.02 %
Epoch 74, Train Accuracy: 95.70 %, Test Accuracy: 68.60 %
Epoch 75, Train Accuracy: 95.89 %, Test Accuracy: 68.23 %
Epoch 76, Train Accuracy: 96.22 %, Test Accuracy: 68.76 %
Epoch 77, Train Accuracy: 96.41 %, Test Accuracy: 68.59 %
Epoch 78, Train Accuracy: 96.57 %, Test Accuracy: 68.34 %
Epoch 79, Train Accuracy: 96.50 %, Test Accuracy: 68.49 %
Epoch 80, Train Accuracy: 96.85 %, Test Accuracy: 69.04 %
Epoch 81, Train Accuracy: 97.09 %, Test Accuracy: 68.47 %
Epoch 82, Train Accuracy: 97.26 %, Test Accuracy: 69.14 %
Epoch 83, Train Accuracy: 97.47 %, Test Accuracy: 68.96 %
Epoch 84, Train Accuracy: 97.58 %, Test Accuracy: 68.77 %
Epoch 85, Train Accuracy: 97.50 %, Test Accuracy: 68.99 %
Epoch 86, Train Accuracy: 98.05 %, Test Accuracy: 69.00 %
Epoch 87, Train Accuracy: 97.84 %, Test Accuracy: 68.23 %
Epoch 88, Train Accuracy: 98.23 %, Test Accuracy: 68.76 %
Epoch 89, Train Accuracy: 98.31 %, Test Accuracy: 68.93 %
Epoch 90, Train Accuracy: 98.04 %, Test Accuracy: 69.14 %
Epoch 91, Train Accuracy: 98.48 %, Test Accuracy: 68.84 %
Epoch 92, Train Accuracy: 98.36 %, Test Accuracy: 68.96 %
Epoch 93, Train Accuracy: 98.41 %, Test Accuracy: 69.03 %
Epoch 94, Train Accuracy: 98.66 %, Test Accuracy: 69.76 %
Epoch 95, Train Accuracy: 98.64 %, Test Accuracy: 68.69 %
Epoch 96, Train Accuracy: 98.61 %, Test Accuracy: 68.72 %
Epoch 97, Train Accuracy: 98.83 %, Test Accuracy: 69.04 %
Epoch 98, Train Accuracy: 98.79 %, Test Accuracy: 68.94 %
Epoch 99, Train Accuracy: 98.72 %, Test Accuracy: 68.89 %
41  minutes
RUN_DONE
