NODE=[HOST_2f2f29d9e1] | JOB=cts2-k49-R-s0 4912584 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups [49,13] --seed 0 --save-directory cluster/Account2/metaopt/runs/cts2 --run-name cts2-k49-R-s0
ENV: AUGMENT=1 BETA_CLIP=-80:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.05 %, Test Accuracy: 1.10 %
Epoch 1, Train Accuracy: 1.08 %, Test Accuracy: 1.15 %
Epoch 2, Train Accuracy: 1.05 %, Test Accuracy: 1.14 %
Epoch 3, Train Accuracy: 1.06 %, Test Accuracy: 1.10 %
Epoch 4, Train Accuracy: 1.10 %, Test Accuracy: 1.28 %
Epoch 5, Train Accuracy: 1.07 %, Test Accuracy: 1.25 %
Epoch 6, Train Accuracy: 1.16 %, Test Accuracy: 1.42 %
Epoch 7, Train Accuracy: 1.47 %, Test Accuracy: 1.98 %
Epoch 8, Train Accuracy: 2.31 %, Test Accuracy: 3.02 %
Epoch 9, Train Accuracy: 3.04 %, Test Accuracy: 3.95 %
Epoch 10, Train Accuracy: 3.69 %, Test Accuracy: 4.53 %
Epoch 11, Train Accuracy: 4.44 %, Test Accuracy: 5.45 %
Epoch 12, Train Accuracy: 5.91 %, Test Accuracy: 7.09 %
Epoch 13, Train Accuracy: 7.86 %, Test Accuracy: 9.00 %
Epoch 14, Train Accuracy: 9.54 %, Test Accuracy: 10.34 %
Epoch 15, Train Accuracy: 11.12 %, Test Accuracy: 11.87 %
Epoch 16, Train Accuracy: 12.80 %, Test Accuracy: 13.56 %
Epoch 17, Train Accuracy: 14.48 %, Test Accuracy: 14.71 %
Epoch 18, Train Accuracy: 16.52 %, Test Accuracy: 17.57 %
Epoch 19, Train Accuracy: 20.04 %, Test Accuracy: 21.14 %
Epoch 20, Train Accuracy: 22.85 %, Test Accuracy: 24.62 %
Epoch 21, Train Accuracy: 25.48 %, Test Accuracy: 26.25 %
Epoch 22, Train Accuracy: 28.12 %, Test Accuracy: 28.47 %
Epoch 23, Train Accuracy: 30.26 %, Test Accuracy: 31.06 %
Epoch 24, Train Accuracy: 32.34 %, Test Accuracy: 33.82 %
Epoch 25, Train Accuracy: 34.69 %, Test Accuracy: 35.96 %
Epoch 26, Train Accuracy: 36.58 %, Test Accuracy: 36.91 %
Epoch 27, Train Accuracy: 38.70 %, Test Accuracy: 37.59 %
Epoch 28, Train Accuracy: 40.74 %, Test Accuracy: 40.61 %
Epoch 29, Train Accuracy: 42.41 %, Test Accuracy: 41.47 %
Epoch 30, Train Accuracy: 44.09 %, Test Accuracy: 43.45 %
Epoch 31, Train Accuracy: 45.62 %, Test Accuracy: 44.44 %
Epoch 32, Train Accuracy: 47.22 %, Test Accuracy: 46.22 %
Epoch 33, Train Accuracy: 48.31 %, Test Accuracy: 47.57 %
Epoch 34, Train Accuracy: 50.14 %, Test Accuracy: 48.26 %
Epoch 35, Train Accuracy: 51.31 %, Test Accuracy: 49.09 %
Epoch 36, Train Accuracy: 52.39 %, Test Accuracy: 49.82 %
Epoch 37, Train Accuracy: 53.62 %, Test Accuracy: 51.31 %
Epoch 38, Train Accuracy: 54.67 %, Test Accuracy: 51.16 %
Epoch 39, Train Accuracy: 55.80 %, Test Accuracy: 52.32 %
Epoch 40, Train Accuracy: 56.50 %, Test Accuracy: 52.86 %
Epoch 41, Train Accuracy: 57.52 %, Test Accuracy: 52.82 %
Epoch 42, Train Accuracy: 58.01 %, Test Accuracy: 53.49 %
Epoch 43, Train Accuracy: 58.61 %, Test Accuracy: 53.93 %
Epoch 44, Train Accuracy: 59.36 %, Test Accuracy: 54.22 %
Epoch 45, Train Accuracy: 59.40 %, Test Accuracy: 54.11 %
Epoch 46, Train Accuracy: 59.77 %, Test Accuracy: 54.39 %
Epoch 47, Train Accuracy: 60.33 %, Test Accuracy: 54.31 %
Epoch 48, Train Accuracy: 60.48 %, Test Accuracy: 54.64 %
Epoch 49, Train Accuracy: 60.83 %, Test Accuracy: 54.74 %
Epoch 50, Train Accuracy: 61.00 %, Test Accuracy: 55.04 %
Epoch 51, Train Accuracy: 61.05 %, Test Accuracy: 55.04 %
Epoch 52, Train Accuracy: 61.27 %, Test Accuracy: 55.07 %
Epoch 53, Train Accuracy: 61.37 %, Test Accuracy: 55.10 %
Epoch 54, Train Accuracy: 61.35 %, Test Accuracy: 55.29 %
Epoch 55, Train Accuracy: 61.60 %, Test Accuracy: 55.28 %
Epoch 56, Train Accuracy: 61.78 %, Test Accuracy: 55.59 %
Epoch 57, Train Accuracy: 61.98 %, Test Accuracy: 55.15 %
Epoch 58, Train Accuracy: 61.78 %, Test Accuracy: 55.76 %
Epoch 59, Train Accuracy: 62.00 %, Test Accuracy: 55.54 %
Epoch 60, Train Accuracy: 62.07 %, Test Accuracy: 55.57 %
Epoch 61, Train Accuracy: 61.96 %, Test Accuracy: 55.43 %
Epoch 62, Train Accuracy: 62.17 %, Test Accuracy: 55.59 %
Epoch 63, Train Accuracy: 62.19 %, Test Accuracy: 55.75 %
Epoch 64, Train Accuracy: 62.20 %, Test Accuracy: 55.50 %
Epoch 65, Train Accuracy: 62.36 %, Test Accuracy: 55.67 %
Epoch 66, Train Accuracy: 62.35 %, Test Accuracy: 55.81 %
Epoch 67, Train Accuracy: 62.16 %, Test Accuracy: 55.62 %
Epoch 68, Train Accuracy: 62.27 %, Test Accuracy: 55.62 %
Epoch 69, Train Accuracy: 62.50 %, Test Accuracy: 55.73 %
Epoch 70, Train Accuracy: 62.53 %, Test Accuracy: 55.55 %
Epoch 71, Train Accuracy: 62.59 %, Test Accuracy: 55.35 %
Epoch 72, Train Accuracy: 62.40 %, Test Accuracy: 55.54 %
Epoch 73, Train Accuracy: 62.58 %, Test Accuracy: 55.82 %
Epoch 74, Train Accuracy: 62.45 %, Test Accuracy: 55.59 %
Epoch 75, Train Accuracy: 62.43 %, Test Accuracy: 55.53 %
Epoch 76, Train Accuracy: 62.38 %, Test Accuracy: 55.71 %
Epoch 77, Train Accuracy: 62.48 %, Test Accuracy: 55.67 %
Epoch 78, Train Accuracy: 62.49 %, Test Accuracy: 55.66 %
Epoch 79, Train Accuracy: 62.50 %, Test Accuracy: 55.72 %
Epoch 80, Train Accuracy: 62.47 %, Test Accuracy: 55.69 %
Epoch 81, Train Accuracy: 62.66 %, Test Accuracy: 55.76 %
Epoch 82, Train Accuracy: 62.52 %, Test Accuracy: 55.67 %
Epoch 83, Train Accuracy: 62.61 %, Test Accuracy: 55.56 %
Epoch 84, Train Accuracy: 62.34 %, Test Accuracy: 55.71 %
Epoch 85, Train Accuracy: 62.42 %, Test Accuracy: 55.65 %
Epoch 86, Train Accuracy: 62.65 %, Test Accuracy: 55.74 %
Epoch 87, Train Accuracy: 62.53 %, Test Accuracy: 55.68 %
Epoch 88, Train Accuracy: 62.68 %, Test Accuracy: 55.70 %
Epoch 89, Train Accuracy: 62.53 %, Test Accuracy: 55.38 %
Epoch 90, Train Accuracy: 62.54 %, Test Accuracy: 55.62 %
Epoch 91, Train Accuracy: 62.58 %, Test Accuracy: 55.67 %
Epoch 92, Train Accuracy: 62.56 %, Test Accuracy: 55.54 %
Epoch 93, Train Accuracy: 62.66 %, Test Accuracy: 55.67 %
Epoch 94, Train Accuracy: 62.35 %, Test Accuracy: 55.81 %
Epoch 95, Train Accuracy: 62.54 %, Test Accuracy: 55.53 %
Epoch 96, Train Accuracy: 62.70 %, Test Accuracy: 55.56 %
Epoch 97, Train Accuracy: 62.60 %, Test Accuracy: 55.69 %
Epoch 98, Train Accuracy: 62.71 %, Test Accuracy: 55.62 %
Epoch 99, Train Accuracy: 62.45 %, Test Accuracy: 55.60 %
42  minutes
RUN_DONE
