NODE=[HOST_e223b82d71] | JOB=cuc1-lr005-s67 5014678 | AUGMENT=0
ARGS: --optimizer SGD --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --num-epochs 100 --alpha0 0.05 --seed 67 --save-directory cluster/Account2/metaopt/runs/cuc1 --run-name cuc1-lr005-s67
ENV: AUGMENT=0 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=1000 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 13.88 %, Test Accuracy: 20.44 %
Epoch 1, Train Accuracy: 30.02 %, Test Accuracy: 31.06 %
Epoch 2, Train Accuracy: 43.37 %, Test Accuracy: 40.93 %
Epoch 3, Train Accuracy: 53.38 %, Test Accuracy: 45.20 %
Epoch 4, Train Accuracy: 60.47 %, Test Accuracy: 49.15 %
Epoch 5, Train Accuracy: 66.07 %, Test Accuracy: 51.55 %
Epoch 6, Train Accuracy: 71.97 %, Test Accuracy: 51.78 %
Epoch 7, Train Accuracy: 76.65 %, Test Accuracy: 50.83 %
Epoch 8, Train Accuracy: 80.60 %, Test Accuracy: 52.69 %
Epoch 9, Train Accuracy: 83.73 %, Test Accuracy: 49.95 %
Epoch 10, Train Accuracy: 86.01 %, Test Accuracy: 50.69 %
Epoch 11, Train Accuracy: 87.57 %, Test Accuracy: 51.15 %
Epoch 12, Train Accuracy: 89.00 %, Test Accuracy: 48.15 %
Epoch 13, Train Accuracy: 90.57 %, Test Accuracy: 49.70 %
Epoch 14, Train Accuracy: 90.15 %, Test Accuracy: 51.19 %
Epoch 15, Train Accuracy: 91.34 %, Test Accuracy: 50.72 %
Epoch 16, Train Accuracy: 92.09 %, Test Accuracy: 50.34 %
Epoch 17, Train Accuracy: 92.57 %, Test Accuracy: 50.48 %
Epoch 18, Train Accuracy: 92.42 %, Test Accuracy: 46.17 %
Epoch 19, Train Accuracy: 91.64 %, Test Accuracy: 49.54 %
Epoch 20, Train Accuracy: 92.73 %, Test Accuracy: 48.41 %
Epoch 21, Train Accuracy: 94.01 %, Test Accuracy: 50.72 %
Epoch 22, Train Accuracy: 94.17 %, Test Accuracy: 50.09 %
Epoch 23, Train Accuracy: 93.25 %, Test Accuracy: 48.84 %
Epoch 24, Train Accuracy: 93.40 %, Test Accuracy: 47.95 %
Epoch 25, Train Accuracy: 93.97 %, Test Accuracy: 48.98 %
Epoch 26, Train Accuracy: 94.55 %, Test Accuracy: 46.32 %
Epoch 27, Train Accuracy: 94.57 %, Test Accuracy: 46.20 %
