NODE=[HOST_e8d809bd94] | JOB=cuc1-lr01-s67 5014679 | AUGMENT=0
ARGS: --optimizer SGD --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --num-epochs 100 --alpha0 0.1 --seed 67 --save-directory cluster/Account2/metaopt/runs/cuc1 --run-name cuc1-lr01-s67
ENV: AUGMENT=0 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=1000 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 13.26 %, Test Accuracy: 16.38 %
Epoch 1, Train Accuracy: 28.18 %, Test Accuracy: 31.24 %
Epoch 2, Train Accuracy: 41.17 %, Test Accuracy: 41.48 %
Epoch 3, Train Accuracy: 49.86 %, Test Accuracy: 42.57 %
Epoch 4, Train Accuracy: 56.07 %, Test Accuracy: 46.89 %
Epoch 5, Train Accuracy: 59.68 %, Test Accuracy: 46.89 %
Epoch 6, Train Accuracy: 63.28 %, Test Accuracy: 50.69 %
Epoch 7, Train Accuracy: 66.15 %, Test Accuracy: 47.72 %
Epoch 8, Train Accuracy: 68.41 %, Test Accuracy: 48.89 %
Epoch 9, Train Accuracy: 70.93 %, Test Accuracy: 48.29 %
Epoch 10, Train Accuracy: 72.75 %, Test Accuracy: 50.28 %
Epoch 11, Train Accuracy: 74.23 %, Test Accuracy: 51.70 %
Epoch 12, Train Accuracy: 75.70 %, Test Accuracy: 51.23 %
Epoch 13, Train Accuracy: 77.31 %, Test Accuracy: 47.73 %
Epoch 14, Train Accuracy: 77.76 %, Test Accuracy: 49.54 %
Epoch 15, Train Accuracy: 78.77 %, Test Accuracy: 47.52 %
Epoch 16, Train Accuracy: 79.72 %, Test Accuracy: 46.21 %
Epoch 17, Train Accuracy: 80.58 %, Test Accuracy: 48.76 %
Epoch 18, Train Accuracy: 80.95 %, Test Accuracy: 47.11 %
Epoch 19, Train Accuracy: 81.24 %, Test Accuracy: 49.21 %
Epoch 20, Train Accuracy: 81.48 %, Test Accuracy: 49.06 %
Epoch 21, Train Accuracy: 82.13 %, Test Accuracy: 48.18 %
Epoch 22, Train Accuracy: 83.32 %, Test Accuracy: 49.04 %
Epoch 23, Train Accuracy: 83.00 %, Test Accuracy: 48.87 %
Epoch 24, Train Accuracy: 83.68 %, Test Accuracy: 48.69 %
Epoch 25, Train Accuracy: 83.42 %, Test Accuracy: 51.61 %
Epoch 26, Train Accuracy: 85.16 %, Test Accuracy: 50.19 %
Epoch 27, Train Accuracy: 84.76 %, Test Accuracy: 49.02 %
Epoch 28, Train Accuracy: 85.28 %, Test Accuracy: 48.55 %
Epoch 29, Train Accuracy: 85.75 %, Test Accuracy: 50.94 %
Epoch 30, Train Accuracy: 86.03 %, Test Accuracy: 48.00 %
Epoch 31, Train Accuracy: 86.56 %, Test Accuracy: 50.87 %
Epoch 32, Train Accuracy: 87.34 %, Test Accuracy: 48.11 %
Epoch 33, Train Accuracy: 87.28 %, Test Accuracy: 47.56 %
Epoch 34, Train Accuracy: 88.01 %, Test Accuracy: 46.14 %
Epoch 35, Train Accuracy: 88.30 %, Test Accuracy: 49.05 %
Epoch 36, Train Accuracy: 88.63 %, Test Accuracy: 48.19 %
Epoch 37, Train Accuracy: 89.06 %, Test Accuracy: 49.09 %
Epoch 38, Train Accuracy: 89.21 %, Test Accuracy: 48.97 %
Epoch 39, Train Accuracy: 90.23 %, Test Accuracy: 46.76 %
Epoch 40, Train Accuracy: 90.18 %, Test Accuracy: 51.81 %
Epoch 41, Train Accuracy: 91.07 %, Test Accuracy: 48.45 %
Epoch 42, Train Accuracy: 90.63 %, Test Accuracy: 50.49 %
Epoch 43, Train Accuracy: 91.99 %, Test Accuracy: 49.32 %
Epoch 44, Train Accuracy: 92.73 %, Test Accuracy: 49.21 %
Epoch 45, Train Accuracy: 92.60 %, Test Accuracy: 49.15 %
Epoch 46, Train Accuracy: 92.24 %, Test Accuracy: 50.61 %
Epoch 47, Train Accuracy: 92.85 %, Test Accuracy: 51.38 %
Epoch 48, Train Accuracy: 94.43 %, Test Accuracy: 51.79 %
Epoch 49, Train Accuracy: 94.74 %, Test Accuracy: 51.02 %
Epoch 50, Train Accuracy: 94.15 %, Test Accuracy: 51.36 %
Epoch 51, Train Accuracy: 94.65 %, Test Accuracy: 51.30 %
Epoch 52, Train Accuracy: 95.10 %, Test Accuracy: 50.73 %
Epoch 53, Train Accuracy: 96.46 %, Test Accuracy: 52.19 %
Epoch 54, Train Accuracy: 97.85 %, Test Accuracy: 54.20 %
Epoch 55, Train Accuracy: 98.53 %, Test Accuracy: 55.78 %
Epoch 56, Train Accuracy: 98.70 %, Test Accuracy: 53.93 %
Epoch 57, Train Accuracy: 98.12 %, Test Accuracy: 50.73 %
Epoch 58, Train Accuracy: 91.63 %, Test Accuracy: 46.99 %
Epoch 59, Train Accuracy: 90.73 %, Test Accuracy: 51.90 %
Epoch 60, Train Accuracy: 97.49 %, Test Accuracy: 56.57 %
Epoch 61, Train Accuracy: 99.57 %, Test Accuracy: 61.08 %
Epoch 62, Train Accuracy: 99.93 %, Test Accuracy: 62.29 %
Epoch 63, Train Accuracy: 99.95 %, Test Accuracy: 63.02 %
Epoch 64, Train Accuracy: 99.95 %, Test Accuracy: 62.80 %
Epoch 65, Train Accuracy: 99.95 %, Test Accuracy: 62.88 %
Epoch 66, Train Accuracy: 99.96 %, Test Accuracy: 63.23 %
Epoch 67, Train Accuracy: 99.97 %, Test Accuracy: 63.18 %
Epoch 68, Train Accuracy: 99.95 %, Test Accuracy: 63.06 %
Epoch 69, Train Accuracy: 99.96 %, Test Accuracy: 63.20 %
Epoch 70, Train Accuracy: 99.97 %, Test Accuracy: 63.16 %
Epoch 71, Train Accuracy: 99.96 %, Test Accuracy: 63.49 %
Epoch 72, Train Accuracy: 99.96 %, Test Accuracy: 63.16 %
Epoch 73, Train Accuracy: 99.96 %, Test Accuracy: 63.23 %
Epoch 74, Train Accuracy: 99.97 %, Test Accuracy: 63.09 %
Epoch 75, Train Accuracy: 99.97 %, Test Accuracy: 63.12 %
Epoch 76, Train Accuracy: 99.97 %, Test Accuracy: 63.28 %
Epoch 77, Train Accuracy: 99.97 %, Test Accuracy: 63.27 %
Epoch 78, Train Accuracy: 99.96 %, Test Accuracy: 63.28 %
Epoch 79, Train Accuracy: 99.98 %, Test Accuracy: 63.21 %
Epoch 80, Train Accuracy: 99.98 %, Test Accuracy: 63.25 %
Epoch 81, Train Accuracy: 99.98 %, Test Accuracy: 63.09 %
Epoch 82, Train Accuracy: 99.98 %, Test Accuracy: 62.83 %
