NODE=[HOST_3c1b003035] | JOB=cuc1-lr04-s67 5014681 | AUGMENT=0
ARGS: --optimizer SGD --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --num-epochs 100 --alpha0 0.4 --seed 67 --save-directory cluster/Account2/metaopt/runs/cuc1 --run-name cuc1-lr04-s67
ENV: AUGMENT=0 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=1000 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 11.84 %, Test Accuracy: 16.69 %
Epoch 1, Train Accuracy: 24.08 %, Test Accuracy: 23.43 %
Epoch 2, Train Accuracy: 32.74 %, Test Accuracy: 26.87 %
Epoch 3, Train Accuracy: 37.78 %, Test Accuracy: 26.07 %
Epoch 4, Train Accuracy: 40.99 %, Test Accuracy: 31.54 %
Epoch 5, Train Accuracy: 42.31 %, Test Accuracy: 31.47 %
Epoch 6, Train Accuracy: 43.49 %, Test Accuracy: 32.12 %
Epoch 7, Train Accuracy: 44.73 %, Test Accuracy: 25.14 %
Epoch 8, Train Accuracy: 44.99 %, Test Accuracy: 33.34 %
Epoch 9, Train Accuracy: 45.45 %, Test Accuracy: 32.95 %
Epoch 10, Train Accuracy: 46.16 %, Test Accuracy: 33.23 %
Epoch 11, Train Accuracy: 46.25 %, Test Accuracy: 31.62 %
Epoch 12, Train Accuracy: 46.68 %, Test Accuracy: 38.84 %
Epoch 13, Train Accuracy: 46.94 %, Test Accuracy: 32.42 %
Epoch 14, Train Accuracy: 47.41 %, Test Accuracy: 38.00 %
Epoch 15, Train Accuracy: 47.47 %, Test Accuracy: 37.76 %
Epoch 16, Train Accuracy: 47.39 %, Test Accuracy: 27.70 %
Epoch 17, Train Accuracy: 47.82 %, Test Accuracy: 33.84 %
Epoch 18, Train Accuracy: 48.12 %, Test Accuracy: 36.00 %
