NODE=[HOST_3c1b003035] | JOB=cuc1-m1e3a1e3-s68 5014695 | AUGMENT=0
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk771 --seed 68 --save-directory cluster/Account2/metaopt/runs/cuc1 --run-name cuc1-m1e3a1e3-s68
ENV: AUGMENT=0 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cuc1/probe_cuc1-m1e3a1e3-s68 EB_RHO=na EB_LOG=0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.19 %, Test Accuracy: 6.09 %
Epoch 1, Train Accuracy: 8.64 %, Test Accuracy: 11.09 %
Epoch 2, Train Accuracy: 12.21 %, Test Accuracy: 13.65 %
Epoch 3, Train Accuracy: 15.70 %, Test Accuracy: 17.23 %
Epoch 4, Train Accuracy: 20.03 %, Test Accuracy: 22.28 %
Epoch 5, Train Accuracy: 25.13 %, Test Accuracy: 27.00 %
Epoch 6, Train Accuracy: 29.85 %, Test Accuracy: 30.56 %
Epoch 7, Train Accuracy: 35.66 %, Test Accuracy: 34.63 %
Epoch 8, Train Accuracy: 41.48 %, Test Accuracy: 40.14 %
Epoch 9, Train Accuracy: 48.08 %, Test Accuracy: 41.63 %
Epoch 10, Train Accuracy: 53.59 %, Test Accuracy: 45.02 %
Epoch 11, Train Accuracy: 59.73 %, Test Accuracy: 48.97 %
Epoch 12, Train Accuracy: 66.31 %, Test Accuracy: 49.63 %
Epoch 13, Train Accuracy: 73.00 %, Test Accuracy: 49.08 %
Epoch 14, Train Accuracy: 79.12 %, Test Accuracy: 50.37 %
Epoch 15, Train Accuracy: 86.80 %, Test Accuracy: 51.23 %
Epoch 16, Train Accuracy: 92.94 %, Test Accuracy: 52.00 %
Epoch 17, Train Accuracy: 96.65 %, Test Accuracy: 50.89 %
Epoch 18, Train Accuracy: 98.78 %, Test Accuracy: 52.40 %
Epoch 19, Train Accuracy: 99.65 %, Test Accuracy: 53.17 %
Epoch 20, Train Accuracy: 99.82 %, Test Accuracy: 53.44 %
