NODE=[HOST_2f2f29d9e1] | JOB=cuc1-m1e4a1e3-s67 5014683 | AUGMENT=0
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk771 --seed 67 --save-directory cluster/Account2/metaopt/runs/cuc1 --run-name cuc1-m1e4a1e3-s67
ENV: AUGMENT=0 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cuc1/probe_cuc1-m1e4a1e3-s67 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.27 %, Test Accuracy: 5.83 %
Epoch 1, Train Accuracy: 7.91 %, Test Accuracy: 9.21 %
Epoch 2, Train Accuracy: 10.34 %, Test Accuracy: 11.67 %
Epoch 3, Train Accuracy: 12.56 %, Test Accuracy: 13.20 %
Epoch 4, Train Accuracy: 14.19 %, Test Accuracy: 14.39 %
Epoch 5, Train Accuracy: 15.72 %, Test Accuracy: 16.00 %
Epoch 6, Train Accuracy: 16.92 %, Test Accuracy: 17.49 %
Epoch 7, Train Accuracy: 18.20 %, Test Accuracy: 19.07 %
Epoch 8, Train Accuracy: 19.59 %, Test Accuracy: 19.99 %
Epoch 9, Train Accuracy: 20.94 %, Test Accuracy: 21.53 %
Epoch 10, Train Accuracy: 22.76 %, Test Accuracy: 22.19 %
Epoch 11, Train Accuracy: 24.57 %, Test Accuracy: 23.82 %
Epoch 12, Train Accuracy: 26.66 %, Test Accuracy: 26.66 %
Epoch 13, Train Accuracy: 28.41 %, Test Accuracy: 28.05 %
Epoch 14, Train Accuracy: 30.41 %, Test Accuracy: 28.84 %
Epoch 15, Train Accuracy: 32.82 %, Test Accuracy: 28.87 %
Epoch 16, Train Accuracy: 34.43 %, Test Accuracy: 32.41 %
Epoch 17, Train Accuracy: 37.06 %, Test Accuracy: 33.88 %
Epoch 18, Train Accuracy: 39.91 %, Test Accuracy: 35.34 %
Epoch 19, Train Accuracy: 42.27 %, Test Accuracy: 37.19 %
