NODE=[HOST_e223b82d71] | JOB=cuc1-m3e4a1e2-s67 5014687 | AUGMENT=0
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-2 --num-epochs 100 --stepsize-groups chunk771 --seed 67 --save-directory cluster/Account2/metaopt/runs/cuc1 --run-name cuc1-m3e4a1e2-s67
ENV: AUGMENT=0 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cuc1/probe_cuc1-m3e4a1e2-s67 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 7.31 %, Test Accuracy: 11.49 %
Epoch 1, Train Accuracy: 13.87 %, Test Accuracy: 15.18 %
Epoch 2, Train Accuracy: 15.99 %, Test Accuracy: 16.98 %
Epoch 3, Train Accuracy: 17.47 %, Test Accuracy: 17.39 %
Epoch 4, Train Accuracy: 19.22 %, Test Accuracy: 19.71 %
Epoch 5, Train Accuracy: 20.22 %, Test Accuracy: 19.95 %
Epoch 6, Train Accuracy: 20.76 %, Test Accuracy: 19.85 %
Epoch 7, Train Accuracy: 20.33 %, Test Accuracy: 20.48 %
Epoch 8, Train Accuracy: 19.84 %, Test Accuracy: 19.05 %
Epoch 9, Train Accuracy: 19.27 %, Test Accuracy: 19.10 %
Epoch 10, Train Accuracy: 19.06 %, Test Accuracy: 18.92 %
Epoch 11, Train Accuracy: 18.51 %, Test Accuracy: 17.90 %
Epoch 12, Train Accuracy: 18.02 %, Test Accuracy: 18.12 %
Epoch 13, Train Accuracy: 17.50 %, Test Accuracy: 17.07 %
Epoch 14, Train Accuracy: 17.23 %, Test Accuracy: 17.06 %
Epoch 15, Train Accuracy: 16.79 %, Test Accuracy: 17.43 %
Epoch 16, Train Accuracy: 17.02 %, Test Accuracy: 16.63 %
Epoch 17, Train Accuracy: 16.44 %, Test Accuracy: 16.33 %
Epoch 18, Train Accuracy: 16.65 %, Test Accuracy: 16.39 %
Epoch 19, Train Accuracy: 16.57 %, Test Accuracy: 16.00 %
Epoch 20, Train Accuracy: 16.44 %, Test Accuracy: 16.08 %
Epoch 21, Train Accuracy: 16.50 %, Test Accuracy: 15.80 %
Epoch 22, Train Accuracy: 16.25 %, Test Accuracy: 15.75 %
Epoch 23, Train Accuracy: 16.30 %, Test Accuracy: 16.18 %
Epoch 24, Train Accuracy: 16.55 %, Test Accuracy: 15.80 %
Epoch 25, Train Accuracy: 16.25 %, Test Accuracy: 15.65 %
Epoch 26, Train Accuracy: 16.44 %, Test Accuracy: 16.39 %
Epoch 27, Train Accuracy: 16.59 %, Test Accuracy: 15.67 %
Epoch 28, Train Accuracy: 16.35 %, Test Accuracy: 15.90 %
Epoch 29, Train Accuracy: 16.46 %, Test Accuracy: 15.88 %
Epoch 30, Train Accuracy: 16.22 %, Test Accuracy: 15.71 %
Epoch 31, Train Accuracy: 16.31 %, Test Accuracy: 16.37 %
Epoch 32, Train Accuracy: 16.65 %, Test Accuracy: 16.05 %
Epoch 33, Train Accuracy: 16.60 %, Test Accuracy: 15.88 %
Epoch 34, Train Accuracy: 16.40 %, Test Accuracy: 15.95 %
Epoch 35, Train Accuracy: 16.41 %, Test Accuracy: 15.78 %
Epoch 36, Train Accuracy: 16.47 %, Test Accuracy: 16.02 %
Epoch 37, Train Accuracy: 16.32 %, Test Accuracy: 15.59 %
Epoch 38, Train Accuracy: 16.40 %, Test Accuracy: 15.44 %
Epoch 39, Train Accuracy: 16.45 %, Test Accuracy: 15.85 %
Epoch 40, Train Accuracy: 16.47 %, Test Accuracy: 15.88 %
Epoch 41, Train Accuracy: 16.68 %, Test Accuracy: 15.18 %
Epoch 42, Train Accuracy: 16.21 %, Test Accuracy: 15.70 %
Epoch 43, Train Accuracy: 16.45 %, Test Accuracy: 15.20 %
Epoch 44, Train Accuracy: 16.42 %, Test Accuracy: 15.85 %
Epoch 45, Train Accuracy: 16.11 %, Test Accuracy: 14.64 %
Epoch 46, Train Accuracy: 16.04 %, Test Accuracy: 14.82 %
Epoch 47, Train Accuracy: 15.96 %, Test Accuracy: 15.19 %
Epoch 48, Train Accuracy: 16.39 %, Test Accuracy: 15.02 %
Epoch 49, Train Accuracy: 16.22 %, Test Accuracy: 15.37 %
Epoch 50, Train Accuracy: 16.32 %, Test Accuracy: 14.82 %
Epoch 51, Train Accuracy: 15.89 %, Test Accuracy: 14.98 %
Epoch 52, Train Accuracy: 15.90 %, Test Accuracy: 15.04 %
Epoch 53, Train Accuracy: 15.99 %, Test Accuracy: 14.84 %
Epoch 54, Train Accuracy: 16.04 %, Test Accuracy: 14.75 %
Epoch 55, Train Accuracy: 15.96 %, Test Accuracy: 14.68 %
Epoch 56, Train Accuracy: 15.86 %, Test Accuracy: 14.89 %
Epoch 57, Train Accuracy: 15.99 %, Test Accuracy: 14.80 %
Epoch 58, Train Accuracy: 15.88 %, Test Accuracy: 14.75 %
Epoch 59, Train Accuracy: 16.10 %, Test Accuracy: 14.87 %
Epoch 60, Train Accuracy: 15.98 %, Test Accuracy: 14.59 %
Epoch 61, Train Accuracy: 15.82 %, Test Accuracy: 14.54 %
Epoch 62, Train Accuracy: 16.06 %, Test Accuracy: 14.80 %
Epoch 63, Train Accuracy: 15.83 %, Test Accuracy: 14.50 %
Epoch 64, Train Accuracy: 15.90 %, Test Accuracy: 14.28 %
Epoch 65, Train Accuracy: 15.78 %, Test Accuracy: 14.30 %
Epoch 66, Train Accuracy: 15.90 %, Test Accuracy: 14.47 %
Epoch 67, Train Accuracy: 15.89 %, Test Accuracy: 14.64 %
Epoch 68, Train Accuracy: 16.06 %, Test Accuracy: 13.97 %
Epoch 69, Train Accuracy: 15.89 %, Test Accuracy: 14.50 %
Epoch 70, Train Accuracy: 15.73 %, Test Accuracy: 14.70 %
Epoch 71, Train Accuracy: 15.91 %, Test Accuracy: 14.29 %
Epoch 72, Train Accuracy: 15.81 %, Test Accuracy: 14.52 %
Epoch 73, Train Accuracy: 16.01 %, Test Accuracy: 14.24 %
Epoch 74, Train Accuracy: 15.88 %, Test Accuracy: 14.81 %
Epoch 75, Train Accuracy: 16.06 %, Test Accuracy: 14.42 %
Epoch 76, Train Accuracy: 16.04 %, Test Accuracy: 14.49 %
Epoch 77, Train Accuracy: 15.85 %, Test Accuracy: 14.73 %
Epoch 78, Train Accuracy: 16.17 %, Test Accuracy: 14.32 %
Epoch 79, Train Accuracy: 15.80 %, Test Accuracy: 14.42 %
Epoch 80, Train Accuracy: 16.05 %, Test Accuracy: 14.05 %
Epoch 81, Train Accuracy: 15.89 %, Test Accuracy: 14.17 %
Epoch 82, Train Accuracy: 15.94 %, Test Accuracy: 14.00 %
Epoch 83, Train Accuracy: 15.92 %, Test Accuracy: 14.41 %
Epoch 84, Train Accuracy: 15.97 %, Test Accuracy: 14.64 %
Epoch 85, Train Accuracy: 15.78 %, Test Accuracy: 14.44 %
Epoch 86, Train Accuracy: 16.01 %, Test Accuracy: 14.16 %
Epoch 87, Train Accuracy: 15.81 %, Test Accuracy: 14.13 %
Epoch 88, Train Accuracy: 15.97 %, Test Accuracy: 14.08 %
Epoch 89, Train Accuracy: 15.75 %, Test Accuracy: 14.40 %
Epoch 90, Train Accuracy: 15.92 %, Test Accuracy: 14.67 %
Epoch 91, Train Accuracy: 16.22 %, Test Accuracy: 14.34 %
Epoch 92, Train Accuracy: 15.90 %, Test Accuracy: 14.10 %
Epoch 93, Train Accuracy: 15.84 %, Test Accuracy: 14.36 %
Epoch 94, Train Accuracy: 16.13 %, Test Accuracy: 14.24 %
Epoch 95, Train Accuracy: 16.17 %, Test Accuracy: 14.98 %
Epoch 96, Train Accuracy: 15.86 %, Test Accuracy: 13.85 %
Epoch 97, Train Accuracy: 15.93 %, Test Accuracy: 13.89 %
Epoch 98, Train Accuracy: 16.05 %, Test Accuracy: 14.35 %
Epoch 99, Train Accuracy: 16.00 %, Test Accuracy: 14.57 %
47  minutes
RUN_DONE
