NODE=[HOST_e8d809bd94] | JOB=cuc1-m3e4a1e3-s68 5014694 | AUGMENT=0
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk771 --seed 68 --save-directory cluster/Account2/metaopt/runs/cuc1 --run-name cuc1-m3e4a1e3-s68
ENV: AUGMENT=0 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cuc1/probe_cuc1-m3e4a1e3-s68 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.07 %, Test Accuracy: 5.66 %
Epoch 1, Train Accuracy: 8.01 %, Test Accuracy: 10.12 %
Epoch 2, Train Accuracy: 11.00 %, Test Accuracy: 12.13 %
Epoch 3, Train Accuracy: 12.70 %, Test Accuracy: 13.61 %
Epoch 4, Train Accuracy: 14.70 %, Test Accuracy: 15.55 %
Epoch 5, Train Accuracy: 16.67 %, Test Accuracy: 17.97 %
Epoch 6, Train Accuracy: 18.99 %, Test Accuracy: 20.10 %
Epoch 7, Train Accuracy: 21.61 %, Test Accuracy: 22.79 %
Epoch 8, Train Accuracy: 24.72 %, Test Accuracy: 25.43 %
Epoch 9, Train Accuracy: 27.70 %, Test Accuracy: 27.70 %
Epoch 10, Train Accuracy: 30.81 %, Test Accuracy: 31.43 %
Epoch 11, Train Accuracy: 34.22 %, Test Accuracy: 32.03 %
Epoch 12, Train Accuracy: 37.84 %, Test Accuracy: 36.76 %
Epoch 13, Train Accuracy: 41.62 %, Test Accuracy: 39.80 %
Epoch 14, Train Accuracy: 45.84 %, Test Accuracy: 42.11 %
Epoch 15, Train Accuracy: 49.89 %, Test Accuracy: 41.73 %
Epoch 16, Train Accuracy: 53.22 %, Test Accuracy: 44.96 %
Epoch 17, Train Accuracy: 57.08 %, Test Accuracy: 46.50 %
Epoch 18, Train Accuracy: 60.82 %, Test Accuracy: 48.42 %
Epoch 19, Train Accuracy: 65.19 %, Test Accuracy: 49.33 %
Epoch 20, Train Accuracy: 68.36 %, Test Accuracy: 49.03 %
Epoch 21, Train Accuracy: 72.25 %, Test Accuracy: 48.54 %
Epoch 22, Train Accuracy: 75.94 %, Test Accuracy: 48.77 %
Epoch 23, Train Accuracy: 80.45 %, Test Accuracy: 50.69 %
Epoch 24, Train Accuracy: 83.88 %, Test Accuracy: 49.92 %
Epoch 25, Train Accuracy: 87.77 %, Test Accuracy: 49.88 %
Epoch 26, Train Accuracy: 91.34 %, Test Accuracy: 52.20 %
Epoch 27, Train Accuracy: 94.55 %, Test Accuracy: 52.58 %
Epoch 28, Train Accuracy: 96.26 %, Test Accuracy: 50.41 %
Epoch 29, Train Accuracy: 97.65 %, Test Accuracy: 53.34 %
Epoch 30, Train Accuracy: 98.96 %, Test Accuracy: 53.00 %
Epoch 31, Train Accuracy: 99.43 %, Test Accuracy: 54.60 %
Epoch 32, Train Accuracy: 99.74 %, Test Accuracy: 54.65 %
Epoch 33, Train Accuracy: 99.84 %, Test Accuracy: 55.19 %
Epoch 34, Train Accuracy: 99.93 %, Test Accuracy: 55.57 %
Epoch 35, Train Accuracy: 99.87 %, Test Accuracy: 54.47 %
Epoch 36, Train Accuracy: 99.93 %, Test Accuracy: 53.61 %
Epoch 37, Train Accuracy: 99.95 %, Test Accuracy: 54.68 %
Epoch 38, Train Accuracy: 99.92 %, Test Accuracy: 53.21 %
Epoch 39, Train Accuracy: 99.95 %, Test Accuracy: 53.06 %
Epoch 40, Train Accuracy: 99.94 %, Test Accuracy: 53.44 %
Epoch 41, Train Accuracy: 99.86 %, Test Accuracy: 52.65 %
Epoch 42, Train Accuracy: 99.64 %, Test Accuracy: 49.66 %
Epoch 43, Train Accuracy: 97.56 %, Test Accuracy: 45.54 %
Epoch 44, Train Accuracy: 87.92 %, Test Accuracy: 47.39 %
Epoch 45, Train Accuracy: 89.22 %, Test Accuracy: 47.57 %
Epoch 46, Train Accuracy: 95.75 %, Test Accuracy: 51.64 %
Epoch 47, Train Accuracy: 99.19 %, Test Accuracy: 55.11 %
Epoch 48, Train Accuracy: 99.90 %, Test Accuracy: 56.52 %
Epoch 49, Train Accuracy: 99.96 %, Test Accuracy: 56.32 %
Epoch 50, Train Accuracy: 99.98 %, Test Accuracy: 56.41 %
Epoch 51, Train Accuracy: 99.97 %, Test Accuracy: 56.66 %
Epoch 52, Train Accuracy: 99.97 %, Test Accuracy: 56.25 %
Epoch 53, Train Accuracy: 99.98 %, Test Accuracy: 56.28 %
Epoch 54, Train Accuracy: 99.97 %, Test Accuracy: 55.95 %
Epoch 55, Train Accuracy: 99.98 %, Test Accuracy: 55.72 %
Epoch 56, Train Accuracy: 99.97 %, Test Accuracy: 55.54 %
Epoch 57, Train Accuracy: 99.97 %, Test Accuracy: 55.14 %
Epoch 58, Train Accuracy: 99.98 %, Test Accuracy: 55.10 %
Epoch 59, Train Accuracy: 99.98 %, Test Accuracy: 54.91 %
Epoch 60, Train Accuracy: 99.97 %, Test Accuracy: 54.76 %
Epoch 61, Train Accuracy: 99.98 %, Test Accuracy: 54.79 %
Epoch 62, Train Accuracy: 99.98 %, Test Accuracy: 54.90 %
Epoch 63, Train Accuracy: 99.98 %, Test Accuracy: 54.69 %
Epoch 64, Train Accuracy: 99.98 %, Test Accuracy: 54.23 %
Epoch 65, Train Accuracy: 99.98 %, Test Accuracy: 54.47 %
Epoch 66, Train Accuracy: 99.97 %, Test Accuracy: 54.19 %
Epoch 67, Train Accuracy: 99.97 %, Test Accuracy: 54.28 %
Epoch 68, Train Accuracy: 99.97 %, Test Accuracy: 54.22 %
Epoch 69, Train Accuracy: 99.97 %, Test Accuracy: 53.95 %
Epoch 70, Train Accuracy: 99.97 %, Test Accuracy: 53.86 %
Epoch 71, Train Accuracy: 99.98 %, Test Accuracy: 54.02 %
Epoch 72, Train Accuracy: 99.98 %, Test Accuracy: 53.54 %
Epoch 73, Train Accuracy: 99.98 %, Test Accuracy: 53.79 %
Epoch 74, Train Accuracy: 99.98 %, Test Accuracy: 53.60 %
Epoch 75, Train Accuracy: 99.97 %, Test Accuracy: 53.77 %
Epoch 76, Train Accuracy: 99.97 %, Test Accuracy: 53.32 %
Epoch 77, Train Accuracy: 99.98 %, Test Accuracy: 53.82 %
Epoch 78, Train Accuracy: 99.97 %, Test Accuracy: 53.54 %
Epoch 79, Train Accuracy: 99.97 %, Test Accuracy: 53.18 %
Epoch 80, Train Accuracy: 99.97 %, Test Accuracy: 53.30 %
Epoch 81, Train Accuracy: 99.98 %, Test Accuracy: 53.45 %
Epoch 82, Train Accuracy: 99.98 %, Test Accuracy: 53.32 %
Epoch 83, Train Accuracy: 99.98 %, Test Accuracy: 53.25 %
Epoch 84, Train Accuracy: 99.97 %, Test Accuracy: 53.41 %
Epoch 85, Train Accuracy: 99.97 %, Test Accuracy: 53.20 %
Epoch 86, Train Accuracy: 99.98 %, Test Accuracy: 53.00 %
Epoch 87, Train Accuracy: 99.97 %, Test Accuracy: 53.01 %
Epoch 88, Train Accuracy: 99.97 %, Test Accuracy: 53.10 %
Epoch 89, Train Accuracy: 99.98 %, Test Accuracy: 52.94 %
Epoch 90, Train Accuracy: 99.97 %, Test Accuracy: 52.95 %
Epoch 91, Train Accuracy: 99.97 %, Test Accuracy: 53.08 %
Epoch 92, Train Accuracy: 99.98 %, Test Accuracy: 53.08 %
Epoch 93, Train Accuracy: 99.98 %, Test Accuracy: 52.75 %
Epoch 94, Train Accuracy: 99.97 %, Test Accuracy: 52.88 %
Epoch 95, Train Accuracy: 99.97 %, Test Accuracy: 52.73 %
Epoch 96, Train Accuracy: 99.98 %, Test Accuracy: 52.63 %
Epoch 97, Train Accuracy: 99.98 %, Test Accuracy: 53.01 %
Epoch 98, Train Accuracy: 99.98 %, Test Accuracy: 52.85 %
Epoch 99, Train Accuracy: 99.97 %, Test Accuracy: 52.84 %
46  minutes
RUN_DONE
