NODE=[HOST_668d417035] | JOB=cvi1-CTL-s42 4936675 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name VGG11_bn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-19,21-26/bn7.weight --seed 42 --save-directory cluster/Account2/metaopt/runs/cvi1 --run-name cvi1-CTL-s42
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvi1/probe_cvi1-CTL-s42 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=26 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvi1/probe_cvi1-CTL-s42
Epoch 0, Train Accuracy: 0.94 %, Test Accuracy: 1.00 %
Epoch 1, Train Accuracy: 0.94 %, Test Accuracy: 1.07 %
Epoch 2, Train Accuracy: 0.91 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 0.94 %, Test Accuracy: 1.06 %
Epoch 4, Train Accuracy: 0.98 %, Test Accuracy: 1.22 %
Epoch 5, Train Accuracy: 1.16 %, Test Accuracy: 1.57 %
Epoch 6, Train Accuracy: 1.70 %, Test Accuracy: 2.38 %
Epoch 7, Train Accuracy: 2.58 %, Test Accuracy: 3.84 %
Epoch 8, Train Accuracy: 4.43 %, Test Accuracy: 5.72 %
Epoch 9, Train Accuracy: 6.40 %, Test Accuracy: 8.03 %
Epoch 10, Train Accuracy: 8.78 %, Test Accuracy: 10.54 %
Epoch 11, Train Accuracy: 11.22 %, Test Accuracy: 12.89 %
Epoch 12, Train Accuracy: 13.63 %, Test Accuracy: 15.66 %
Epoch 13, Train Accuracy: 16.38 %, Test Accuracy: 18.36 %
Epoch 14, Train Accuracy: 19.14 %, Test Accuracy: 21.94 %
Epoch 15, Train Accuracy: 22.27 %, Test Accuracy: 24.99 %
Epoch 16, Train Accuracy: 25.33 %, Test Accuracy: 27.41 %
Epoch 17, Train Accuracy: 28.56 %, Test Accuracy: 30.91 %
Epoch 18, Train Accuracy: 31.00 %, Test Accuracy: 32.26 %
Epoch 19, Train Accuracy: 32.78 %, Test Accuracy: 33.42 %
Epoch 20, Train Accuracy: 33.91 %, Test Accuracy: 34.26 %
Epoch 21, Train Accuracy: 34.43 %, Test Accuracy: 34.69 %
Epoch 22, Train Accuracy: 34.70 %, Test Accuracy: 34.66 %
