NODE=[HOST_af5f3a3791] | JOB=cvi1-kL-s41 4936669 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name VGG11_bn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 41 --save-directory cluster/Account2/metaopt/runs/cvi1 --run-name cvi1-kL-s41
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvi1/probe_cvi1-kL-s41 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=26 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvi1/probe_cvi1-kL-s41
Epoch 0, Train Accuracy: 1.15 %, Test Accuracy: 1.13 %
Epoch 1, Train Accuracy: 1.18 %, Test Accuracy: 1.16 %
Epoch 2, Train Accuracy: 1.22 %, Test Accuracy: 1.25 %
Epoch 3, Train Accuracy: 1.25 %, Test Accuracy: 1.25 %
Epoch 4, Train Accuracy: 1.37 %, Test Accuracy: 1.38 %
Epoch 5, Train Accuracy: 1.42 %, Test Accuracy: 1.71 %
Epoch 6, Train Accuracy: 2.00 %, Test Accuracy: 2.28 %
Epoch 7, Train Accuracy: 2.88 %, Test Accuracy: 3.39 %
Epoch 8, Train Accuracy: 4.33 %, Test Accuracy: 5.00 %
Epoch 9, Train Accuracy: 6.22 %, Test Accuracy: 7.14 %
Epoch 10, Train Accuracy: 8.22 %, Test Accuracy: 10.04 %
Epoch 11, Train Accuracy: 11.08 %, Test Accuracy: 12.41 %
Epoch 12, Train Accuracy: 13.61 %, Test Accuracy: 15.84 %
Epoch 13, Train Accuracy: 16.32 %, Test Accuracy: 18.91 %
Epoch 14, Train Accuracy: 19.66 %, Test Accuracy: 22.86 %
Epoch 15, Train Accuracy: 23.37 %, Test Accuracy: 26.63 %
Epoch 16, Train Accuracy: 27.48 %, Test Accuracy: 30.01 %
Epoch 17, Train Accuracy: 31.91 %, Test Accuracy: 34.54 %
Epoch 18, Train Accuracy: 36.94 %, Test Accuracy: 39.29 %
Epoch 19, Train Accuracy: 41.85 %, Test Accuracy: 43.82 %
Epoch 20, Train Accuracy: 45.92 %, Test Accuracy: 46.47 %
Epoch 21, Train Accuracy: 49.73 %, Test Accuracy: 49.60 %
Epoch 22, Train Accuracy: 52.25 %, Test Accuracy: 49.90 %
Epoch 23, Train Accuracy: 54.53 %, Test Accuracy: 51.90 %
Epoch 24, Train Accuracy: 56.97 %, Test Accuracy: 53.89 %
Epoch 25, Train Accuracy: 59.32 %, Test Accuracy: 55.63 %
Epoch 26, Train Accuracy: 62.00 %, Test Accuracy: 56.67 %
Epoch 27, Train Accuracy: 64.47 %, Test Accuracy: 57.13 %
Epoch 28, Train Accuracy: 66.88 %, Test Accuracy: 59.10 %
Epoch 29, Train Accuracy: 69.01 %, Test Accuracy: 59.52 %
Epoch 30, Train Accuracy: 70.77 %, Test Accuracy: 61.33 %
Epoch 31, Train Accuracy: 72.49 %, Test Accuracy: 60.60 %
Epoch 32, Train Accuracy: 74.27 %, Test Accuracy: 61.52 %
Epoch 33, Train Accuracy: 75.94 %, Test Accuracy: 61.78 %
Epoch 34, Train Accuracy: 77.79 %, Test Accuracy: 62.35 %
Epoch 35, Train Accuracy: 78.96 %, Test Accuracy: 62.99 %
Epoch 36, Train Accuracy: 80.49 %, Test Accuracy: 62.94 %
Epoch 37, Train Accuracy: 81.50 %, Test Accuracy: 63.34 %
Epoch 38, Train Accuracy: 82.71 %, Test Accuracy: 63.03 %
Epoch 39, Train Accuracy: 83.79 %, Test Accuracy: 63.23 %
Epoch 40, Train Accuracy: 84.89 %, Test Accuracy: 62.95 %
Epoch 41, Train Accuracy: 85.76 %, Test Accuracy: 63.65 %
Epoch 42, Train Accuracy: 86.63 %, Test Accuracy: 64.38 %
Epoch 43, Train Accuracy: 87.70 %, Test Accuracy: 64.19 %
Epoch 44, Train Accuracy: 88.33 %, Test Accuracy: 63.56 %
Epoch 45, Train Accuracy: 89.22 %, Test Accuracy: 64.01 %
Epoch 46, Train Accuracy: 90.07 %, Test Accuracy: 64.34 %
Epoch 47, Train Accuracy: 90.48 %, Test Accuracy: 64.45 %
Epoch 48, Train Accuracy: 91.16 %, Test Accuracy: 64.50 %
Epoch 49, Train Accuracy: 92.16 %, Test Accuracy: 64.41 %
Epoch 50, Train Accuracy: 92.18 %, Test Accuracy: 64.40 %
Epoch 51, Train Accuracy: 93.08 %, Test Accuracy: 64.63 %
Epoch 52, Train Accuracy: 93.30 %, Test Accuracy: 64.46 %
Epoch 53, Train Accuracy: 93.99 %, Test Accuracy: 64.95 %
Epoch 54, Train Accuracy: 94.17 %, Test Accuracy: 65.22 %
Epoch 55, Train Accuracy: 94.59 %, Test Accuracy: 64.71 %
Epoch 56, Train Accuracy: 94.95 %, Test Accuracy: 64.88 %
Epoch 57, Train Accuracy: 95.45 %, Test Accuracy: 64.92 %
Epoch 58, Train Accuracy: 95.75 %, Test Accuracy: 64.98 %
Epoch 59, Train Accuracy: 96.01 %, Test Accuracy: 65.08 %
Epoch 60, Train Accuracy: 96.35 %, Test Accuracy: 64.91 %
