NODE=[HOST_89e2c8be67] | JOB=cvi1-kL-s42 4936673 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name VGG11_bn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 42 --save-directory cluster/Account2/metaopt/runs/cvi1 --run-name cvi1-kL-s42
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvi1/probe_cvi1-kL-s42 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=26 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvi1/probe_cvi1-kL-s42
Epoch 0, Train Accuracy: 0.94 %, Test Accuracy: 1.00 %
Epoch 1, Train Accuracy: 0.95 %, Test Accuracy: 1.07 %
Epoch 2, Train Accuracy: 0.91 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 0.93 %, Test Accuracy: 1.06 %
Epoch 4, Train Accuracy: 0.98 %, Test Accuracy: 1.22 %
Epoch 5, Train Accuracy: 1.16 %, Test Accuracy: 1.58 %
Epoch 6, Train Accuracy: 1.69 %, Test Accuracy: 2.37 %
Epoch 7, Train Accuracy: 2.56 %, Test Accuracy: 3.83 %
Epoch 8, Train Accuracy: 4.41 %, Test Accuracy: 5.74 %
Epoch 9, Train Accuracy: 6.38 %, Test Accuracy: 8.02 %
Epoch 10, Train Accuracy: 8.76 %, Test Accuracy: 10.52 %
Epoch 11, Train Accuracy: 11.22 %, Test Accuracy: 12.96 %
Epoch 12, Train Accuracy: 13.74 %, Test Accuracy: 16.01 %
Epoch 13, Train Accuracy: 16.69 %, Test Accuracy: 19.01 %
Epoch 14, Train Accuracy: 19.88 %, Test Accuracy: 23.08 %
Epoch 15, Train Accuracy: 23.68 %, Test Accuracy: 27.01 %
Epoch 16, Train Accuracy: 27.53 %, Test Accuracy: 30.21 %
Epoch 17, Train Accuracy: 32.07 %, Test Accuracy: 35.11 %
Epoch 18, Train Accuracy: 36.90 %, Test Accuracy: 39.36 %
Epoch 19, Train Accuracy: 42.08 %, Test Accuracy: 43.71 %
Epoch 20, Train Accuracy: 46.38 %, Test Accuracy: 46.17 %
Epoch 21, Train Accuracy: 49.38 %, Test Accuracy: 49.53 %
Epoch 22, Train Accuracy: 52.32 %, Test Accuracy: 49.68 %
Epoch 23, Train Accuracy: 53.99 %, Test Accuracy: 51.74 %
Epoch 24, Train Accuracy: 57.04 %, Test Accuracy: 54.47 %
Epoch 25, Train Accuracy: 59.58 %, Test Accuracy: 55.24 %
Epoch 26, Train Accuracy: 62.35 %, Test Accuracy: 56.25 %
Epoch 27, Train Accuracy: 64.27 %, Test Accuracy: 57.02 %
Epoch 28, Train Accuracy: 66.31 %, Test Accuracy: 58.34 %
Epoch 29, Train Accuracy: 68.81 %, Test Accuracy: 58.95 %
Epoch 30, Train Accuracy: 70.34 %, Test Accuracy: 60.32 %
Epoch 31, Train Accuracy: 72.77 %, Test Accuracy: 60.12 %
Epoch 32, Train Accuracy: 74.03 %, Test Accuracy: 61.77 %
Epoch 33, Train Accuracy: 75.96 %, Test Accuracy: 61.69 %
Epoch 34, Train Accuracy: 77.24 %, Test Accuracy: 62.18 %
Epoch 35, Train Accuracy: 78.53 %, Test Accuracy: 62.69 %
Epoch 36, Train Accuracy: 80.07 %, Test Accuracy: 62.65 %
Epoch 37, Train Accuracy: 81.56 %, Test Accuracy: 62.94 %
