NODE=[HOST_8d6ba568b8] | JOB=cvk1-k13-s55 5004254 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name VGG11_bn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups [13,13] --seed 55 --save-directory cluster/Account2/metaopt/runs/cvk1 --run-name cvk1-k13-s55
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.87 %, Test Accuracy: 0.85 %
Epoch 1, Train Accuracy: 0.92 %, Test Accuracy: 0.95 %
Epoch 2, Train Accuracy: 0.88 %, Test Accuracy: 0.91 %
Epoch 3, Train Accuracy: 1.00 %, Test Accuracy: 0.97 %
Epoch 4, Train Accuracy: 1.11 %, Test Accuracy: 1.13 %
Epoch 5, Train Accuracy: 1.26 %, Test Accuracy: 1.29 %
Epoch 6, Train Accuracy: 1.84 %, Test Accuracy: 2.20 %
Epoch 7, Train Accuracy: 2.92 %, Test Accuracy: 3.80 %
Epoch 8, Train Accuracy: 4.56 %, Test Accuracy: 5.54 %
Epoch 9, Train Accuracy: 6.67 %, Test Accuracy: 7.84 %
Epoch 10, Train Accuracy: 9.00 %, Test Accuracy: 10.04 %
Epoch 11, Train Accuracy: 11.21 %, Test Accuracy: 12.71 %
Epoch 12, Train Accuracy: 13.57 %, Test Accuracy: 15.62 %
Epoch 13, Train Accuracy: 16.24 %, Test Accuracy: 18.66 %
Epoch 14, Train Accuracy: 19.21 %, Test Accuracy: 21.75 %
Epoch 15, Train Accuracy: 22.41 %, Test Accuracy: 25.41 %
Epoch 16, Train Accuracy: 25.41 %, Test Accuracy: 27.56 %
Epoch 17, Train Accuracy: 27.87 %, Test Accuracy: 30.31 %
Epoch 18, Train Accuracy: 30.91 %, Test Accuracy: 32.07 %
Epoch 19, Train Accuracy: 32.37 %, Test Accuracy: 33.55 %
Epoch 20, Train Accuracy: 34.04 %, Test Accuracy: 35.27 %
Epoch 21, Train Accuracy: 35.51 %, Test Accuracy: 36.33 %
Epoch 22, Train Accuracy: 36.62 %, Test Accuracy: 36.86 %
Epoch 23, Train Accuracy: 37.65 %, Test Accuracy: 38.06 %
Epoch 24, Train Accuracy: 38.85 %, Test Accuracy: 38.31 %
Epoch 25, Train Accuracy: 39.50 %, Test Accuracy: 39.68 %
Epoch 26, Train Accuracy: 40.46 %, Test Accuracy: 40.06 %
Epoch 27, Train Accuracy: 41.23 %, Test Accuracy: 41.26 %
Epoch 28, Train Accuracy: 41.81 %, Test Accuracy: 41.70 %
Epoch 29, Train Accuracy: 42.88 %, Test Accuracy: 42.68 %
Epoch 30, Train Accuracy: 43.55 %, Test Accuracy: 42.59 %
Epoch 31, Train Accuracy: 44.04 %, Test Accuracy: 43.64 %
Epoch 32, Train Accuracy: 44.59 %, Test Accuracy: 45.15 %
Epoch 33, Train Accuracy: 45.55 %, Test Accuracy: 43.41 %
Epoch 34, Train Accuracy: 45.80 %, Test Accuracy: 44.17 %
Epoch 35, Train Accuracy: 46.51 %, Test Accuracy: 45.75 %
Epoch 36, Train Accuracy: 46.94 %, Test Accuracy: 45.88 %
Epoch 37, Train Accuracy: 47.75 %, Test Accuracy: 46.85 %
Epoch 38, Train Accuracy: 47.99 %, Test Accuracy: 47.55 %
Epoch 39, Train Accuracy: 49.16 %, Test Accuracy: 46.64 %
Epoch 40, Train Accuracy: 49.00 %, Test Accuracy: 47.85 %
Epoch 41, Train Accuracy: 49.71 %, Test Accuracy: 48.12 %
Epoch 42, Train Accuracy: 49.62 %, Test Accuracy: 47.93 %
Epoch 43, Train Accuracy: 49.98 %, Test Accuracy: 47.88 %
Epoch 44, Train Accuracy: 50.31 %, Test Accuracy: 47.05 %
Epoch 45, Train Accuracy: 48.56 %, Test Accuracy: 47.90 %
Epoch 46, Train Accuracy: 48.50 %, Test Accuracy: 43.85 %
Epoch 47, Train Accuracy: 49.28 %, Test Accuracy: 49.21 %
Epoch 48, Train Accuracy: 53.23 %, Test Accuracy: 52.33 %
Epoch 49, Train Accuracy: 55.78 %, Test Accuracy: 53.62 %
Epoch 50, Train Accuracy: 57.66 %, Test Accuracy: 55.03 %
Epoch 51, Train Accuracy: 59.29 %, Test Accuracy: 54.46 %
Epoch 52, Train Accuracy: 60.04 %, Test Accuracy: 55.57 %
Epoch 53, Train Accuracy: 60.72 %, Test Accuracy: 55.89 %
Epoch 54, Train Accuracy: 61.44 %, Test Accuracy: 55.90 %
Epoch 55, Train Accuracy: 62.10 %, Test Accuracy: 56.16 %
Epoch 56, Train Accuracy: 62.60 %, Test Accuracy: 56.55 %
Epoch 57, Train Accuracy: 63.11 %, Test Accuracy: 56.30 %
Epoch 58, Train Accuracy: 63.49 %, Test Accuracy: 57.14 %
Epoch 59, Train Accuracy: 63.78 %, Test Accuracy: 57.03 %
Epoch 60, Train Accuracy: 64.49 %, Test Accuracy: 57.57 %
Epoch 61, Train Accuracy: 64.88 %, Test Accuracy: 57.29 %
Epoch 62, Train Accuracy: 65.19 %, Test Accuracy: 57.83 %
Epoch 63, Train Accuracy: 65.68 %, Test Accuracy: 57.44 %
Epoch 64, Train Accuracy: 66.24 %, Test Accuracy: 58.07 %
Epoch 65, Train Accuracy: 66.76 %, Test Accuracy: 58.15 %
Epoch 66, Train Accuracy: 67.12 %, Test Accuracy: 58.82 %
Epoch 67, Train Accuracy: 67.60 %, Test Accuracy: 59.06 %
Epoch 68, Train Accuracy: 68.19 %, Test Accuracy: 58.39 %
Epoch 69, Train Accuracy: 68.59 %, Test Accuracy: 58.74 %
Epoch 70, Train Accuracy: 68.93 %, Test Accuracy: 59.45 %
Epoch 71, Train Accuracy: 69.52 %, Test Accuracy: 59.21 %
Epoch 72, Train Accuracy: 69.72 %, Test Accuracy: 59.36 %
Epoch 73, Train Accuracy: 70.30 %, Test Accuracy: 59.44 %
Epoch 74, Train Accuracy: 70.78 %, Test Accuracy: 59.62 %
Epoch 75, Train Accuracy: 71.16 %, Test Accuracy: 60.16 %
Epoch 76, Train Accuracy: 71.36 %, Test Accuracy: 60.60 %
