NODE=[HOST_06f76743f2] | JOB=cvk1-k16-s57 5004273 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name VGG11_bn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups [16,10] --seed 57 --save-directory cluster/Account2/metaopt/runs/cvk1 --run-name cvk1-k16-s57
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.21 %, Test Accuracy: 1.30 %
Epoch 1, Train Accuracy: 1.19 %, Test Accuracy: 1.28 %
Epoch 2, Train Accuracy: 1.26 %, Test Accuracy: 1.32 %
Epoch 3, Train Accuracy: 1.27 %, Test Accuracy: 1.41 %
Epoch 4, Train Accuracy: 1.32 %, Test Accuracy: 1.45 %
Epoch 5, Train Accuracy: 1.38 %, Test Accuracy: 1.60 %
Epoch 6, Train Accuracy: 1.67 %, Test Accuracy: 1.90 %
Epoch 7, Train Accuracy: 2.26 %, Test Accuracy: 2.75 %
Epoch 8, Train Accuracy: 3.76 %, Test Accuracy: 5.23 %
Epoch 9, Train Accuracy: 6.10 %, Test Accuracy: 7.32 %
Epoch 10, Train Accuracy: 8.21 %, Test Accuracy: 9.58 %
Epoch 11, Train Accuracy: 10.76 %, Test Accuracy: 11.83 %
Epoch 12, Train Accuracy: 13.03 %, Test Accuracy: 14.23 %
Epoch 13, Train Accuracy: 15.55 %, Test Accuracy: 17.65 %
Epoch 14, Train Accuracy: 18.61 %, Test Accuracy: 21.60 %
Epoch 15, Train Accuracy: 22.03 %, Test Accuracy: 25.37 %
Epoch 16, Train Accuracy: 25.47 %, Test Accuracy: 25.34 %
Epoch 17, Train Accuracy: 27.63 %, Test Accuracy: 29.73 %
Epoch 18, Train Accuracy: 30.60 %, Test Accuracy: 31.93 %
Epoch 19, Train Accuracy: 32.66 %, Test Accuracy: 34.65 %
Epoch 20, Train Accuracy: 35.30 %, Test Accuracy: 36.70 %
Epoch 21, Train Accuracy: 36.65 %, Test Accuracy: 37.90 %
Epoch 22, Train Accuracy: 39.17 %, Test Accuracy: 39.45 %
Epoch 23, Train Accuracy: 40.67 %, Test Accuracy: 40.71 %
Epoch 24, Train Accuracy: 41.94 %, Test Accuracy: 41.54 %
Epoch 25, Train Accuracy: 43.89 %, Test Accuracy: 43.42 %
Epoch 26, Train Accuracy: 45.27 %, Test Accuracy: 44.16 %
Epoch 27, Train Accuracy: 46.71 %, Test Accuracy: 46.54 %
Epoch 28, Train Accuracy: 47.85 %, Test Accuracy: 47.13 %
Epoch 29, Train Accuracy: 49.24 %, Test Accuracy: 47.62 %
Epoch 30, Train Accuracy: 50.29 %, Test Accuracy: 49.10 %
Epoch 31, Train Accuracy: 51.56 %, Test Accuracy: 50.37 %
Epoch 32, Train Accuracy: 52.60 %, Test Accuracy: 51.66 %
Epoch 33, Train Accuracy: 53.52 %, Test Accuracy: 50.51 %
Epoch 34, Train Accuracy: 54.43 %, Test Accuracy: 52.71 %
Epoch 35, Train Accuracy: 55.22 %, Test Accuracy: 52.79 %
Epoch 36, Train Accuracy: 55.89 %, Test Accuracy: 51.59 %
Epoch 37, Train Accuracy: 55.67 %, Test Accuracy: 52.87 %
Epoch 38, Train Accuracy: 54.06 %, Test Accuracy: 51.60 %
Epoch 39, Train Accuracy: 52.21 %, Test Accuracy: 48.12 %
Epoch 40, Train Accuracy: 53.67 %, Test Accuracy: 54.58 %
Epoch 41, Train Accuracy: 59.92 %, Test Accuracy: 58.28 %
Epoch 42, Train Accuracy: 65.24 %, Test Accuracy: 61.33 %
Epoch 43, Train Accuracy: 68.25 %, Test Accuracy: 62.51 %
Epoch 44, Train Accuracy: 70.76 %, Test Accuracy: 64.23 %
Epoch 45, Train Accuracy: 72.62 %, Test Accuracy: 64.88 %
Epoch 46, Train Accuracy: 74.15 %, Test Accuracy: 65.02 %
Epoch 47, Train Accuracy: 75.29 %, Test Accuracy: 65.79 %
Epoch 48, Train Accuracy: 76.58 %, Test Accuracy: 66.01 %
Epoch 49, Train Accuracy: 77.46 %, Test Accuracy: 66.41 %
Epoch 50, Train Accuracy: 78.42 %, Test Accuracy: 66.53 %
Epoch 51, Train Accuracy: 78.99 %, Test Accuracy: 66.49 %
Epoch 52, Train Accuracy: 79.77 %, Test Accuracy: 66.77 %
Epoch 53, Train Accuracy: 80.34 %, Test Accuracy: 66.99 %
Epoch 54, Train Accuracy: 81.14 %, Test Accuracy: 66.87 %
Epoch 55, Train Accuracy: 81.53 %, Test Accuracy: 66.78 %
Epoch 56, Train Accuracy: 82.01 %, Test Accuracy: 67.45 %
Epoch 57, Train Accuracy: 82.49 %, Test Accuracy: 67.22 %
Epoch 58, Train Accuracy: 83.00 %, Test Accuracy: 67.32 %
Epoch 59, Train Accuracy: 83.33 %, Test Accuracy: 67.68 %
Epoch 60, Train Accuracy: 84.06 %, Test Accuracy: 67.40 %
Epoch 61, Train Accuracy: 84.11 %, Test Accuracy: 67.56 %
Epoch 62, Train Accuracy: 84.55 %, Test Accuracy: 67.26 %
Epoch 63, Train Accuracy: 84.91 %, Test Accuracy: 67.62 %
Epoch 64, Train Accuracy: 85.31 %, Test Accuracy: 67.49 %
Epoch 65, Train Accuracy: 85.62 %, Test Accuracy: 67.76 %
Epoch 66, Train Accuracy: 85.77 %, Test Accuracy: 67.76 %
Epoch 67, Train Accuracy: 86.07 %, Test Accuracy: 67.73 %
Epoch 68, Train Accuracy: 86.31 %, Test Accuracy: 67.53 %
Epoch 69, Train Accuracy: 86.60 %, Test Accuracy: 67.93 %
Epoch 70, Train Accuracy: 86.86 %, Test Accuracy: 67.66 %
Epoch 71, Train Accuracy: 86.99 %, Test Accuracy: 67.76 %
Epoch 72, Train Accuracy: 87.45 %, Test Accuracy: 68.00 %
Epoch 73, Train Accuracy: 87.53 %, Test Accuracy: 67.97 %
Epoch 74, Train Accuracy: 87.72 %, Test Accuracy: 67.73 %
Epoch 75, Train Accuracy: 88.10 %, Test Accuracy: 68.09 %
Epoch 76, Train Accuracy: 88.19 %, Test Accuracy: 67.77 %
Epoch 77, Train Accuracy: 88.19 %, Test Accuracy: 67.99 %
Epoch 78, Train Accuracy: 88.42 %, Test Accuracy: 68.05 %
Epoch 79, Train Accuracy: 88.60 %, Test Accuracy: 68.02 %
Epoch 80, Train Accuracy: 88.58 %, Test Accuracy: 68.34 %
Epoch 81, Train Accuracy: 88.61 %, Test Accuracy: 68.19 %
Epoch 82, Train Accuracy: 88.79 %, Test Accuracy: 68.33 %
Epoch 83, Train Accuracy: 88.83 %, Test Accuracy: 68.18 %
Epoch 84, Train Accuracy: 89.03 %, Test Accuracy: 67.92 %
Epoch 85, Train Accuracy: 89.15 %, Test Accuracy: 68.29 %
Epoch 86, Train Accuracy: 89.17 %, Test Accuracy: 68.23 %
Epoch 87, Train Accuracy: 89.24 %, Test Accuracy: 68.27 %
Epoch 88, Train Accuracy: 89.48 %, Test Accuracy: 68.24 %
Epoch 89, Train Accuracy: 89.59 %, Test Accuracy: 68.28 %
Epoch 90, Train Accuracy: 89.49 %, Test Accuracy: 68.30 %
Epoch 91, Train Accuracy: 89.73 %, Test Accuracy: 67.99 %
Epoch 92, Train Accuracy: 89.71 %, Test Accuracy: 68.18 %
Epoch 93, Train Accuracy: 89.72 %, Test Accuracy: 68.18 %
Epoch 94, Train Accuracy: 89.86 %, Test Accuracy: 68.11 %
Epoch 95, Train Accuracy: 89.90 %, Test Accuracy: 68.29 %
Epoch 96, Train Accuracy: 89.77 %, Test Accuracy: 68.11 %
Epoch 97, Train Accuracy: 89.91 %, Test Accuracy: 68.25 %
Epoch 98, Train Accuracy: 89.90 %, Test Accuracy: 68.33 %
Epoch 99, Train Accuracy: 90.05 %, Test Accuracy: 68.20 %
28  minutes
RUN_DONE
