NODE=[HOST_8d6ba568b8] | JOB=cvk1-kL-s55 5004253 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name VGG11_bn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 55 --save-directory cluster/Account2/metaopt/runs/cvk1 --run-name cvk1-kL-s55
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.87 %, Test Accuracy: 0.85 %
Epoch 1, Train Accuracy: 0.92 %, Test Accuracy: 0.95 %
Epoch 2, Train Accuracy: 0.88 %, Test Accuracy: 0.91 %
Epoch 3, Train Accuracy: 1.00 %, Test Accuracy: 0.97 %
Epoch 4, Train Accuracy: 1.11 %, Test Accuracy: 1.14 %
Epoch 5, Train Accuracy: 1.26 %, Test Accuracy: 1.28 %
Epoch 6, Train Accuracy: 1.84 %, Test Accuracy: 2.21 %
Epoch 7, Train Accuracy: 2.92 %, Test Accuracy: 3.78 %
Epoch 8, Train Accuracy: 4.57 %, Test Accuracy: 5.51 %
Epoch 9, Train Accuracy: 6.70 %, Test Accuracy: 7.84 %
Epoch 10, Train Accuracy: 8.99 %, Test Accuracy: 10.06 %
Epoch 11, Train Accuracy: 11.26 %, Test Accuracy: 12.68 %
Epoch 12, Train Accuracy: 13.69 %, Test Accuracy: 15.74 %
Epoch 13, Train Accuracy: 16.62 %, Test Accuracy: 18.85 %
Epoch 14, Train Accuracy: 19.84 %, Test Accuracy: 23.03 %
Epoch 15, Train Accuracy: 23.69 %, Test Accuracy: 27.38 %
Epoch 16, Train Accuracy: 27.53 %, Test Accuracy: 30.25 %
Epoch 17, Train Accuracy: 31.66 %, Test Accuracy: 34.94 %
Epoch 18, Train Accuracy: 36.73 %, Test Accuracy: 40.08 %
Epoch 19, Train Accuracy: 41.21 %, Test Accuracy: 43.71 %
Epoch 20, Train Accuracy: 45.92 %, Test Accuracy: 46.06 %
Epoch 21, Train Accuracy: 49.65 %, Test Accuracy: 49.58 %
Epoch 22, Train Accuracy: 52.13 %, Test Accuracy: 51.28 %
Epoch 23, Train Accuracy: 54.74 %, Test Accuracy: 53.33 %
Epoch 24, Train Accuracy: 57.12 %, Test Accuracy: 54.16 %
Epoch 25, Train Accuracy: 59.86 %, Test Accuracy: 56.55 %
Epoch 26, Train Accuracy: 61.98 %, Test Accuracy: 57.11 %
Epoch 27, Train Accuracy: 64.85 %, Test Accuracy: 58.69 %
Epoch 28, Train Accuracy: 66.71 %, Test Accuracy: 59.44 %
Epoch 29, Train Accuracy: 68.79 %, Test Accuracy: 59.63 %
Epoch 30, Train Accuracy: 70.84 %, Test Accuracy: 60.53 %
Epoch 31, Train Accuracy: 72.69 %, Test Accuracy: 61.81 %
Epoch 32, Train Accuracy: 74.28 %, Test Accuracy: 61.23 %
Epoch 33, Train Accuracy: 75.73 %, Test Accuracy: 61.75 %
Epoch 34, Train Accuracy: 77.61 %, Test Accuracy: 62.39 %
Epoch 35, Train Accuracy: 78.80 %, Test Accuracy: 63.39 %
Epoch 36, Train Accuracy: 80.15 %, Test Accuracy: 63.12 %
Epoch 37, Train Accuracy: 81.58 %, Test Accuracy: 63.34 %
Epoch 38, Train Accuracy: 82.64 %, Test Accuracy: 63.17 %
Epoch 39, Train Accuracy: 83.54 %, Test Accuracy: 63.72 %
Epoch 40, Train Accuracy: 84.91 %, Test Accuracy: 63.65 %
Epoch 41, Train Accuracy: 85.75 %, Test Accuracy: 64.16 %
Epoch 42, Train Accuracy: 86.94 %, Test Accuracy: 63.61 %
Epoch 43, Train Accuracy: 87.40 %, Test Accuracy: 63.99 %
Epoch 44, Train Accuracy: 88.50 %, Test Accuracy: 64.29 %
Epoch 45, Train Accuracy: 89.38 %, Test Accuracy: 64.56 %
Epoch 46, Train Accuracy: 90.29 %, Test Accuracy: 64.28 %
Epoch 47, Train Accuracy: 90.57 %, Test Accuracy: 64.87 %
Epoch 48, Train Accuracy: 91.10 %, Test Accuracy: 64.05 %
Epoch 49, Train Accuracy: 91.76 %, Test Accuracy: 64.60 %
Epoch 50, Train Accuracy: 92.36 %, Test Accuracy: 64.54 %
Epoch 51, Train Accuracy: 93.30 %, Test Accuracy: 65.45 %
Epoch 52, Train Accuracy: 93.75 %, Test Accuracy: 65.18 %
Epoch 53, Train Accuracy: 94.00 %, Test Accuracy: 65.19 %
Epoch 54, Train Accuracy: 94.41 %, Test Accuracy: 64.99 %
Epoch 55, Train Accuracy: 94.49 %, Test Accuracy: 64.91 %
Epoch 56, Train Accuracy: 95.16 %, Test Accuracy: 65.27 %
Epoch 57, Train Accuracy: 95.46 %, Test Accuracy: 65.09 %
Epoch 58, Train Accuracy: 95.77 %, Test Accuracy: 65.05 %
Epoch 59, Train Accuracy: 95.91 %, Test Accuracy: 65.01 %
Epoch 60, Train Accuracy: 96.23 %, Test Accuracy: 65.11 %
Epoch 61, Train Accuracy: 96.59 %, Test Accuracy: 65.13 %
Epoch 62, Train Accuracy: 96.66 %, Test Accuracy: 65.58 %
Epoch 63, Train Accuracy: 96.89 %, Test Accuracy: 65.71 %
Epoch 64, Train Accuracy: 97.22 %, Test Accuracy: 65.32 %
Epoch 65, Train Accuracy: 97.16 %, Test Accuracy: 65.33 %
Epoch 66, Train Accuracy: 97.52 %, Test Accuracy: 65.88 %
Epoch 67, Train Accuracy: 97.55 %, Test Accuracy: 65.44 %
Epoch 68, Train Accuracy: 97.63 %, Test Accuracy: 65.37 %
Epoch 69, Train Accuracy: 97.94 %, Test Accuracy: 65.41 %
Epoch 70, Train Accuracy: 97.95 %, Test Accuracy: 65.88 %
Epoch 71, Train Accuracy: 98.01 %, Test Accuracy: 65.93 %
Epoch 72, Train Accuracy: 98.18 %, Test Accuracy: 66.02 %
Epoch 73, Train Accuracy: 98.34 %, Test Accuracy: 66.16 %
Epoch 74, Train Accuracy: 98.32 %, Test Accuracy: 65.87 %
Epoch 75, Train Accuracy: 98.34 %, Test Accuracy: 65.80 %
Epoch 76, Train Accuracy: 98.57 %, Test Accuracy: 65.89 %
