NODE=[HOST_e223b82d71] | JOB=cvk1-kL-s56 5004262 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name VGG11_bn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 56 --save-directory cluster/Account2/metaopt/runs/cvk1 --run-name cvk1-kL-s56
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.06 %, Test Accuracy: 1.11 %
Epoch 1, Train Accuracy: 1.10 %, Test Accuracy: 1.10 %
Epoch 2, Train Accuracy: 1.07 %, Test Accuracy: 1.07 %
Epoch 3, Train Accuracy: 1.08 %, Test Accuracy: 1.15 %
Epoch 4, Train Accuracy: 1.11 %, Test Accuracy: 1.11 %
Epoch 5, Train Accuracy: 1.26 %, Test Accuracy: 1.33 %
Epoch 6, Train Accuracy: 1.60 %, Test Accuracy: 1.94 %
Epoch 7, Train Accuracy: 2.39 %, Test Accuracy: 3.41 %
Epoch 8, Train Accuracy: 4.45 %, Test Accuracy: 6.10 %
Epoch 9, Train Accuracy: 6.70 %, Test Accuracy: 8.23 %
Epoch 10, Train Accuracy: 9.26 %, Test Accuracy: 10.67 %
Epoch 11, Train Accuracy: 11.63 %, Test Accuracy: 13.05 %
Epoch 12, Train Accuracy: 14.06 %, Test Accuracy: 16.29 %
Epoch 13, Train Accuracy: 16.90 %, Test Accuracy: 20.12 %
Epoch 14, Train Accuracy: 20.13 %, Test Accuracy: 23.53 %
Epoch 15, Train Accuracy: 23.98 %, Test Accuracy: 27.34 %
Epoch 16, Train Accuracy: 27.97 %, Test Accuracy: 31.60 %
Epoch 17, Train Accuracy: 32.26 %, Test Accuracy: 33.22 %
Epoch 18, Train Accuracy: 36.70 %, Test Accuracy: 38.56 %
