NODE=[HOST_e8d809bd94] | JOB=cvt1-INJECT-s80 5019118 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 80 --save-directory cluster/Account2/metaopt/runs/cvt1 --run-name cvt1-INJECT-s80
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt1/probe_cvt1-INJECT-s80 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: on type=blockwise items=47:layer4.1.bn1.weight:w=691.0:group=0:groupsize=52
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt1/probe_cvt1-INJECT-s80
Epoch 0, Train Accuracy: 0.99 %, Test Accuracy: 0.82 %
Epoch 1, Train Accuracy: 0.98 %, Test Accuracy: 0.82 %
Epoch 2, Train Accuracy: 0.98 %, Test Accuracy: 0.90 %
Epoch 3, Train Accuracy: 0.97 %, Test Accuracy: 0.97 %
Epoch 4, Train Accuracy: 1.08 %, Test Accuracy: 0.91 %
Epoch 5, Train Accuracy: 1.02 %, Test Accuracy: 0.91 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.00 %
Epoch 7, Train Accuracy: 1.08 %, Test Accuracy: 0.85 %
Epoch 8, Train Accuracy: 1.28 %, Test Accuracy: 1.57 %
Epoch 9, Train Accuracy: 1.85 %, Test Accuracy: 1.88 %
Epoch 10, Train Accuracy: 2.03 %, Test Accuracy: 2.30 %
Epoch 11, Train Accuracy: 2.51 %, Test Accuracy: 3.17 %
Epoch 12, Train Accuracy: 3.31 %, Test Accuracy: 4.04 %
Epoch 13, Train Accuracy: 4.40 %, Test Accuracy: 4.80 %
Epoch 14, Train Accuracy: 5.54 %, Test Accuracy: 6.20 %
Epoch 15, Train Accuracy: 7.00 %, Test Accuracy: 8.26 %
Epoch 16, Train Accuracy: 9.41 %, Test Accuracy: 11.56 %
Epoch 17, Train Accuracy: 12.04 %, Test Accuracy: 14.41 %
Epoch 18, Train Accuracy: 14.45 %, Test Accuracy: 16.86 %
Epoch 19, Train Accuracy: 18.03 %, Test Accuracy: 20.02 %
Epoch 20, Train Accuracy: 21.23 %, Test Accuracy: 23.13 %
Epoch 21, Train Accuracy: 24.05 %, Test Accuracy: 25.33 %
Epoch 22, Train Accuracy: 26.29 %, Test Accuracy: 27.00 %
Epoch 23, Train Accuracy: 27.60 %, Test Accuracy: 28.56 %
