NODE=[HOST_b0a55dfb8c] | JOB=cvt10-ISOSPLIT-s120 5045300 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-52,54-58,60-62/layer4.0.bn2.weight/layer4.0.shortcut.1.weight,layer4.1.bn2.weight --seed 120 --save-directory cluster/Account2/metaopt/runs/cvt10 --run-name cvt10-ISOSPLIT-s120
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ISOSPLIT-s120 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: on type=blockwise group=1 groupsize=1 names=layer4.0.bn2.weight mode=tri P=9428 b0=-13.815510749816895 ms=0.001 lo=-15.0 hi=-2.3026 peak=-4.387510749816894
REST_HOLD: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ISOSPLIT-s120
Epoch 0, Train Accuracy: 1.06 %, Test Accuracy: 0.99 %
Epoch 1, Train Accuracy: 0.98 %, Test Accuracy: 0.99 %
Epoch 2, Train Accuracy: 1.04 %, Test Accuracy: 0.95 %
Epoch 3, Train Accuracy: 1.07 %, Test Accuracy: 0.98 %
Epoch 4, Train Accuracy: 1.04 %, Test Accuracy: 0.99 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 0.97 %
Epoch 6, Train Accuracy: 1.06 %, Test Accuracy: 1.04 %
Epoch 7, Train Accuracy: 1.23 %, Test Accuracy: 1.44 %
Epoch 8, Train Accuracy: 1.74 %, Test Accuracy: 2.43 %
Epoch 9, Train Accuracy: 2.65 %, Test Accuracy: 3.46 %
Epoch 10, Train Accuracy: 3.52 %, Test Accuracy: 4.09 %
Epoch 11, Train Accuracy: 4.54 %, Test Accuracy: 5.47 %
Epoch 12, Train Accuracy: 6.03 %, Test Accuracy: 7.36 %
Epoch 13, Train Accuracy: 8.09 %, Test Accuracy: 8.76 %
Epoch 14, Train Accuracy: 9.79 %, Test Accuracy: 10.50 %
Epoch 15, Train Accuracy: 11.73 %, Test Accuracy: 12.81 %
Epoch 16, Train Accuracy: 14.01 %, Test Accuracy: 15.04 %
Epoch 17, Train Accuracy: 16.42 %, Test Accuracy: 17.28 %
Epoch 18, Train Accuracy: 19.48 %, Test Accuracy: 21.85 %
Epoch 19, Train Accuracy: 24.62 %, Test Accuracy: 25.24 %
Epoch 20, Train Accuracy: 28.56 %, Test Accuracy: 28.21 %
Epoch 21, Train Accuracy: 32.04 %, Test Accuracy: 33.34 %
Epoch 22, Train Accuracy: 35.18 %, Test Accuracy: 36.64 %
Epoch 23, Train Accuracy: 38.42 %, Test Accuracy: 39.82 %
Epoch 24, Train Accuracy: 41.98 %, Test Accuracy: 43.19 %
Epoch 25, Train Accuracy: 44.50 %, Test Accuracy: 43.36 %
Epoch 26, Train Accuracy: 47.28 %, Test Accuracy: 46.89 %
Epoch 27, Train Accuracy: 49.64 %, Test Accuracy: 48.13 %
