NODE=[HOST_03eb56b6d1] | JOB=cvt10-ONE53BIG-s121 5045309 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-52,54-62/layer4.0.shortcut.1.weight --seed 121 --save-directory cluster/Account2/metaopt/runs/cvt10 --run-name cvt10-ONE53BIG-s121
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ONE53BIG-s121 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: on type=blockwise group=1 groupsize=1 names=layer4.0.shortcut.1.weight mode=tri P=9428 b0=-13.815510749816895 ms=0.001 lo=-15.0 hi=-2.3026 peak=-4.387510749816894
REST_HOLD: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ONE53BIG-s121
Epoch 0, Train Accuracy: 0.98 %, Test Accuracy: 1.03 %
Epoch 1, Train Accuracy: 0.98 %, Test Accuracy: 0.97 %
Epoch 2, Train Accuracy: 1.00 %, Test Accuracy: 1.00 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 1.04 %
Epoch 4, Train Accuracy: 1.05 %, Test Accuracy: 1.01 %
Epoch 5, Train Accuracy: 1.00 %, Test Accuracy: 1.05 %
Epoch 6, Train Accuracy: 1.04 %, Test Accuracy: 1.11 %
Epoch 7, Train Accuracy: 1.08 %, Test Accuracy: 1.09 %
Epoch 8, Train Accuracy: 1.19 %, Test Accuracy: 1.38 %
Epoch 9, Train Accuracy: 1.91 %, Test Accuracy: 2.02 %
Epoch 10, Train Accuracy: 3.19 %, Test Accuracy: 4.12 %
Epoch 11, Train Accuracy: 4.79 %, Test Accuracy: 5.55 %
Epoch 12, Train Accuracy: 6.37 %, Test Accuracy: 7.27 %
Epoch 13, Train Accuracy: 8.06 %, Test Accuracy: 9.00 %
Epoch 14, Train Accuracy: 10.07 %, Test Accuracy: 10.92 %
Epoch 15, Train Accuracy: 11.47 %, Test Accuracy: 12.89 %
Epoch 16, Train Accuracy: 13.12 %, Test Accuracy: 14.52 %
Epoch 17, Train Accuracy: 14.65 %, Test Accuracy: 15.47 %
Epoch 18, Train Accuracy: 16.14 %, Test Accuracy: 17.42 %
Epoch 19, Train Accuracy: 17.37 %, Test Accuracy: 18.12 %
Epoch 20, Train Accuracy: 18.36 %, Test Accuracy: 19.36 %
Epoch 21, Train Accuracy: 19.33 %, Test Accuracy: 19.67 %
Epoch 22, Train Accuracy: 19.78 %, Test Accuracy: 20.06 %
Epoch 23, Train Accuracy: 20.46 %, Test Accuracy: 20.56 %
Epoch 24, Train Accuracy: 20.63 %, Test Accuracy: 21.13 %
Epoch 25, Train Accuracy: 21.02 %, Test Accuracy: 21.49 %
Epoch 26, Train Accuracy: 20.98 %, Test Accuracy: 21.47 %
Epoch 27, Train Accuracy: 21.11 %, Test Accuracy: 21.28 %
Epoch 28, Train Accuracy: 21.41 %, Test Accuracy: 21.44 %
Epoch 29, Train Accuracy: 21.47 %, Test Accuracy: 21.63 %
Epoch 30, Train Accuracy: 21.53 %, Test Accuracy: 21.41 %
Epoch 31, Train Accuracy: 21.37 %, Test Accuracy: 21.49 %
Epoch 32, Train Accuracy: 21.47 %, Test Accuracy: 21.53 %
Epoch 33, Train Accuracy: 21.30 %, Test Accuracy: 21.51 %
Epoch 34, Train Accuracy: 21.54 %, Test Accuracy: 21.42 %
