NODE=[HOST_03eb56b6d1] | JOB=cvt2-HEAD-s88 5021038 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 88 --save-directory cluster/Account2/metaopt/runs/cvt2 --run-name cvt2-HEAD-s88
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt2/probe_cvt2-HEAD-s88 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt2/probe_cvt2-HEAD-s88
Epoch 0, Train Accuracy: 1.00 %, Test Accuracy: 1.01 %
Epoch 1, Train Accuracy: 1.01 %, Test Accuracy: 0.99 %
Epoch 2, Train Accuracy: 1.00 %, Test Accuracy: 0.98 %
Epoch 3, Train Accuracy: 1.00 %, Test Accuracy: 0.99 %
Epoch 4, Train Accuracy: 1.00 %, Test Accuracy: 1.00 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 1.00 %
Epoch 6, Train Accuracy: 1.00 %, Test Accuracy: 0.99 %
Epoch 7, Train Accuracy: 1.00 %, Test Accuracy: 1.03 %
Epoch 8, Train Accuracy: 1.06 %, Test Accuracy: 1.12 %
Epoch 9, Train Accuracy: 1.26 %, Test Accuracy: 1.33 %
Epoch 10, Train Accuracy: 1.53 %, Test Accuracy: 1.60 %
Epoch 11, Train Accuracy: 1.80 %, Test Accuracy: 2.23 %
Epoch 12, Train Accuracy: 2.77 %, Test Accuracy: 3.39 %
Epoch 13, Train Accuracy: 3.88 %, Test Accuracy: 4.87 %
Epoch 14, Train Accuracy: 5.13 %, Test Accuracy: 5.97 %
Epoch 15, Train Accuracy: 6.46 %, Test Accuracy: 8.03 %
Epoch 16, Train Accuracy: 8.82 %, Test Accuracy: 10.42 %
Epoch 17, Train Accuracy: 11.31 %, Test Accuracy: 11.61 %
Epoch 18, Train Accuracy: 13.27 %, Test Accuracy: 13.58 %
Epoch 19, Train Accuracy: 16.99 %, Test Accuracy: 19.78 %
Epoch 20, Train Accuracy: 20.34 %, Test Accuracy: 21.36 %
Epoch 21, Train Accuracy: 23.62 %, Test Accuracy: 24.55 %
Epoch 22, Train Accuracy: 26.28 %, Test Accuracy: 27.98 %
Epoch 23, Train Accuracy: 29.01 %, Test Accuracy: 30.34 %
Epoch 24, Train Accuracy: 32.11 %, Test Accuracy: 33.42 %
Epoch 25, Train Accuracy: 35.09 %, Test Accuracy: 34.98 %
