NODE=[HOST_fd0c0ddbe6] | JOB=cvt2-K691-s89 5021050 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 89 --save-directory cluster/Account2/metaopt/runs/cvt2 --run-name cvt2-K691-s89
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt2/probe_cvt2-K691-s89 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: on type=blockwise items=47:layer4.1.bn1.weight:w=691.0:group=0:groupsize=52
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt2/probe_cvt2-K691-s89
Epoch 0, Train Accuracy: 1.31 %, Test Accuracy: 1.41 %
Epoch 1, Train Accuracy: 1.36 %, Test Accuracy: 1.47 %
Epoch 2, Train Accuracy: 1.41 %, Test Accuracy: 1.47 %
Epoch 3, Train Accuracy: 1.30 %, Test Accuracy: 1.43 %
Epoch 4, Train Accuracy: 1.32 %, Test Accuracy: 1.46 %
Epoch 5, Train Accuracy: 1.40 %, Test Accuracy: 1.46 %
Epoch 6, Train Accuracy: 1.35 %, Test Accuracy: 1.51 %
Epoch 7, Train Accuracy: 1.36 %, Test Accuracy: 1.51 %
Epoch 8, Train Accuracy: 1.39 %, Test Accuracy: 1.53 %
Epoch 9, Train Accuracy: 1.49 %, Test Accuracy: 1.72 %
Epoch 10, Train Accuracy: 2.04 %, Test Accuracy: 2.48 %
Epoch 11, Train Accuracy: 2.70 %, Test Accuracy: 3.59 %
Epoch 12, Train Accuracy: 3.51 %, Test Accuracy: 4.34 %
Epoch 13, Train Accuracy: 4.16 %, Test Accuracy: 4.87 %
Epoch 14, Train Accuracy: 4.97 %, Test Accuracy: 5.88 %
Epoch 15, Train Accuracy: 6.30 %, Test Accuracy: 7.45 %
Epoch 16, Train Accuracy: 8.42 %, Test Accuracy: 9.77 %
Epoch 17, Train Accuracy: 11.16 %, Test Accuracy: 12.88 %
Epoch 18, Train Accuracy: 14.33 %, Test Accuracy: 16.78 %
Epoch 19, Train Accuracy: 17.63 %, Test Accuracy: 20.59 %
Epoch 20, Train Accuracy: 20.74 %, Test Accuracy: 22.65 %
Epoch 21, Train Accuracy: 23.44 %, Test Accuracy: 25.31 %
Epoch 22, Train Accuracy: 26.02 %, Test Accuracy: 27.21 %
Epoch 23, Train Accuracy: 27.70 %, Test Accuracy: 28.71 %
Epoch 24, Train Accuracy: 29.01 %, Test Accuracy: 29.67 %
Epoch 25, Train Accuracy: 30.17 %, Test Accuracy: 29.81 %
Epoch 26, Train Accuracy: 30.66 %, Test Accuracy: 30.33 %
Epoch 27, Train Accuracy: 31.22 %, Test Accuracy: 30.42 %
Epoch 28, Train Accuracy: 31.20 %, Test Accuracy: 30.72 %
Epoch 29, Train Accuracy: 31.25 %, Test Accuracy: 30.60 %
Epoch 30, Train Accuracy: 31.46 %, Test Accuracy: 30.66 %
Epoch 31, Train Accuracy: 31.18 %, Test Accuracy: 30.92 %
Epoch 32, Train Accuracy: 31.66 %, Test Accuracy: 30.88 %
Epoch 33, Train Accuracy: 31.56 %, Test Accuracy: 31.00 %
Epoch 34, Train Accuracy: 31.51 %, Test Accuracy: 30.90 %
Epoch 35, Train Accuracy: 31.59 %, Test Accuracy: 30.83 %
Epoch 36, Train Accuracy: 31.72 %, Test Accuracy: 31.06 %
Epoch 37, Train Accuracy: 31.58 %, Test Accuracy: 31.06 %
Epoch 38, Train Accuracy: 31.69 %, Test Accuracy: 30.72 %
Epoch 39, Train Accuracy: 31.79 %, Test Accuracy: 30.77 %
Epoch 40, Train Accuracy: 31.55 %, Test Accuracy: 30.95 %
Epoch 41, Train Accuracy: 31.52 %, Test Accuracy: 30.85 %
Epoch 42, Train Accuracy: 31.35 %, Test Accuracy: 30.82 %
Epoch 43, Train Accuracy: 31.62 %, Test Accuracy: 30.87 %
Epoch 44, Train Accuracy: 31.55 %, Test Accuracy: 30.72 %
Epoch 45, Train Accuracy: 31.81 %, Test Accuracy: 30.81 %
Epoch 46, Train Accuracy: 31.50 %, Test Accuracy: 30.90 %
Epoch 47, Train Accuracy: 31.54 %, Test Accuracy: 30.81 %
Epoch 48, Train Accuracy: 31.73 %, Test Accuracy: 30.87 %
Epoch 49, Train Accuracy: 31.58 %, Test Accuracy: 30.73 %
Epoch 50, Train Accuracy: 31.58 %, Test Accuracy: 30.83 %
Epoch 51, Train Accuracy: 31.71 %, Test Accuracy: 30.98 %
Epoch 52, Train Accuracy: 31.88 %, Test Accuracy: 30.76 %
Epoch 53, Train Accuracy: 31.60 %, Test Accuracy: 30.98 %
Epoch 54, Train Accuracy: 31.42 %, Test Accuracy: 30.87 %
Epoch 55, Train Accuracy: 31.69 %, Test Accuracy: 31.00 %
Epoch 56, Train Accuracy: 31.78 %, Test Accuracy: 30.70 %
Epoch 57, Train Accuracy: 31.57 %, Test Accuracy: 31.04 %
Epoch 58, Train Accuracy: 31.79 %, Test Accuracy: 30.85 %
Epoch 59, Train Accuracy: 31.72 %, Test Accuracy: 30.86 %
Epoch 60, Train Accuracy: 31.58 %, Test Accuracy: 31.00 %
Epoch 61, Train Accuracy: 31.62 %, Test Accuracy: 30.76 %
Epoch 62, Train Accuracy: 31.63 %, Test Accuracy: 30.85 %
Epoch 63, Train Accuracy: 31.60 %, Test Accuracy: 31.03 %
Epoch 64, Train Accuracy: 31.65 %, Test Accuracy: 30.71 %
Epoch 65, Train Accuracy: 31.73 %, Test Accuracy: 30.81 %
Epoch 66, Train Accuracy: 31.63 %, Test Accuracy: 30.57 %
Epoch 67, Train Accuracy: 31.65 %, Test Accuracy: 30.81 %
Epoch 68, Train Accuracy: 31.80 %, Test Accuracy: 30.82 %
Epoch 69, Train Accuracy: 31.62 %, Test Accuracy: 30.89 %
Epoch 70, Train Accuracy: 31.67 %, Test Accuracy: 30.75 %
Epoch 71, Train Accuracy: 31.62 %, Test Accuracy: 31.08 %
Epoch 72, Train Accuracy: 31.59 %, Test Accuracy: 30.57 %
Epoch 73, Train Accuracy: 31.61 %, Test Accuracy: 30.88 %
Epoch 74, Train Accuracy: 31.80 %, Test Accuracy: 30.80 %
Epoch 75, Train Accuracy: 31.55 %, Test Accuracy: 30.65 %
Epoch 76, Train Accuracy: 31.73 %, Test Accuracy: 31.00 %
Epoch 77, Train Accuracy: 31.58 %, Test Accuracy: 30.91 %
Epoch 78, Train Accuracy: 31.75 %, Test Accuracy: 30.84 %
Epoch 79, Train Accuracy: 31.70 %, Test Accuracy: 30.85 %
Epoch 80, Train Accuracy: 31.71 %, Test Accuracy: 30.92 %
Epoch 81, Train Accuracy: 31.58 %, Test Accuracy: 31.05 %
Epoch 82, Train Accuracy: 31.85 %, Test Accuracy: 30.58 %
Epoch 83, Train Accuracy: 31.56 %, Test Accuracy: 30.87 %
Epoch 84, Train Accuracy: 31.84 %, Test Accuracy: 30.77 %
Epoch 85, Train Accuracy: 31.70 %, Test Accuracy: 30.67 %
Epoch 86, Train Accuracy: 31.60 %, Test Accuracy: 30.84 %
Epoch 87, Train Accuracy: 31.58 %, Test Accuracy: 30.86 %
Epoch 88, Train Accuracy: 31.64 %, Test Accuracy: 30.47 %
Epoch 89, Train Accuracy: 31.62 %, Test Accuracy: 30.65 %
Epoch 90, Train Accuracy: 31.82 %, Test Accuracy: 30.69 %
Epoch 91, Train Accuracy: 31.57 %, Test Accuracy: 31.02 %
Epoch 92, Train Accuracy: 31.77 %, Test Accuracy: 30.95 %
Epoch 93, Train Accuracy: 31.81 %, Test Accuracy: 30.86 %
Epoch 94, Train Accuracy: 31.64 %, Test Accuracy: 30.82 %
