NODE=[HOST_ae9488be04] | JOB=cvt5-K33-s94 5021653 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 300 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 94 --save-directory cluster/Account2/metaopt/runs/cvt5 --run-name cvt5-K33-s94
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt5/probe_cvt5-K33-s94 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: on type=blockwise items=47:layer4.1.bn1.weight:w=33.0:group=0:groupsize=52
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt5/probe_cvt5-K33-s94
Epoch 0, Train Accuracy: 0.95 %, Test Accuracy: 0.95 %
Epoch 1, Train Accuracy: 0.96 %, Test Accuracy: 0.96 %
Epoch 2, Train Accuracy: 0.94 %, Test Accuracy: 0.97 %
Epoch 3, Train Accuracy: 0.97 %, Test Accuracy: 0.96 %
Epoch 4, Train Accuracy: 0.97 %, Test Accuracy: 0.96 %
Epoch 5, Train Accuracy: 0.97 %, Test Accuracy: 0.98 %
Epoch 6, Train Accuracy: 0.97 %, Test Accuracy: 1.10 %
Epoch 7, Train Accuracy: 1.18 %, Test Accuracy: 1.53 %
Epoch 8, Train Accuracy: 1.65 %, Test Accuracy: 1.83 %
Epoch 9, Train Accuracy: 1.93 %, Test Accuracy: 2.07 %
Epoch 10, Train Accuracy: 2.24 %, Test Accuracy: 2.50 %
Epoch 11, Train Accuracy: 2.71 %, Test Accuracy: 2.88 %
Epoch 12, Train Accuracy: 3.18 %, Test Accuracy: 3.57 %
Epoch 13, Train Accuracy: 3.62 %, Test Accuracy: 4.29 %
Epoch 14, Train Accuracy: 4.51 %, Test Accuracy: 5.86 %
Epoch 15, Train Accuracy: 6.48 %, Test Accuracy: 8.05 %
Epoch 16, Train Accuracy: 8.71 %, Test Accuracy: 10.01 %
Epoch 17, Train Accuracy: 11.28 %, Test Accuracy: 12.32 %
Epoch 18, Train Accuracy: 14.02 %, Test Accuracy: 16.42 %
Epoch 19, Train Accuracy: 17.39 %, Test Accuracy: 19.12 %
Epoch 20, Train Accuracy: 21.02 %, Test Accuracy: 23.80 %
Epoch 21, Train Accuracy: 24.75 %, Test Accuracy: 26.68 %
Epoch 22, Train Accuracy: 27.84 %, Test Accuracy: 29.63 %
Epoch 23, Train Accuracy: 30.16 %, Test Accuracy: 31.11 %
Epoch 24, Train Accuracy: 32.05 %, Test Accuracy: 32.45 %
Epoch 25, Train Accuracy: 33.13 %, Test Accuracy: 33.18 %
Epoch 26, Train Accuracy: 34.20 %, Test Accuracy: 33.76 %
Epoch 27, Train Accuracy: 34.86 %, Test Accuracy: 34.35 %
Epoch 28, Train Accuracy: 35.40 %, Test Accuracy: 34.96 %
Epoch 29, Train Accuracy: 35.80 %, Test Accuracy: 35.38 %
Epoch 30, Train Accuracy: 36.33 %, Test Accuracy: 35.56 %
Epoch 31, Train Accuracy: 36.77 %, Test Accuracy: 35.54 %
Epoch 32, Train Accuracy: 37.00 %, Test Accuracy: 36.03 %
Epoch 33, Train Accuracy: 37.24 %, Test Accuracy: 36.07 %
Epoch 34, Train Accuracy: 37.54 %, Test Accuracy: 36.48 %
Epoch 35, Train Accuracy: 37.76 %, Test Accuracy: 36.69 %
Epoch 36, Train Accuracy: 37.73 %, Test Accuracy: 36.59 %
Epoch 37, Train Accuracy: 38.05 %, Test Accuracy: 36.86 %
Epoch 38, Train Accuracy: 38.24 %, Test Accuracy: 36.78 %
Epoch 39, Train Accuracy: 38.40 %, Test Accuracy: 37.07 %
Epoch 40, Train Accuracy: 38.58 %, Test Accuracy: 37.14 %
Epoch 41, Train Accuracy: 38.59 %, Test Accuracy: 36.98 %
Epoch 42, Train Accuracy: 38.49 %, Test Accuracy: 37.54 %
Epoch 43, Train Accuracy: 39.00 %, Test Accuracy: 37.30 %
Epoch 44, Train Accuracy: 38.97 %, Test Accuracy: 37.44 %
Epoch 45, Train Accuracy: 39.00 %, Test Accuracy: 37.47 %
Epoch 46, Train Accuracy: 38.72 %, Test Accuracy: 37.78 %
Epoch 47, Train Accuracy: 39.00 %, Test Accuracy: 37.88 %
Epoch 48, Train Accuracy: 38.90 %, Test Accuracy: 37.37 %
Epoch 49, Train Accuracy: 39.15 %, Test Accuracy: 37.59 %
Epoch 50, Train Accuracy: 39.15 %, Test Accuracy: 37.43 %
Epoch 51, Train Accuracy: 38.99 %, Test Accuracy: 37.61 %
Epoch 52, Train Accuracy: 39.13 %, Test Accuracy: 37.77 %
Epoch 53, Train Accuracy: 39.38 %, Test Accuracy: 37.73 %
Epoch 54, Train Accuracy: 39.29 %, Test Accuracy: 37.81 %
Epoch 55, Train Accuracy: 39.21 %, Test Accuracy: 37.72 %
Epoch 56, Train Accuracy: 39.32 %, Test Accuracy: 37.69 %
Epoch 57, Train Accuracy: 39.33 %, Test Accuracy: 38.06 %
Epoch 58, Train Accuracy: 39.28 %, Test Accuracy: 37.49 %
Epoch 59, Train Accuracy: 39.19 %, Test Accuracy: 37.73 %
Epoch 60, Train Accuracy: 39.23 %, Test Accuracy: 37.53 %
Epoch 61, Train Accuracy: 39.39 %, Test Accuracy: 37.79 %
Epoch 62, Train Accuracy: 39.38 %, Test Accuracy: 37.76 %
Epoch 63, Train Accuracy: 39.20 %, Test Accuracy: 37.87 %
Epoch 64, Train Accuracy: 39.42 %, Test Accuracy: 37.82 %
Epoch 65, Train Accuracy: 39.32 %, Test Accuracy: 37.72 %
Epoch 66, Train Accuracy: 39.34 %, Test Accuracy: 37.84 %
Epoch 67, Train Accuracy: 39.41 %, Test Accuracy: 37.77 %
Epoch 68, Train Accuracy: 39.46 %, Test Accuracy: 37.73 %
Epoch 69, Train Accuracy: 39.33 %, Test Accuracy: 38.04 %
Epoch 70, Train Accuracy: 39.30 %, Test Accuracy: 37.86 %
Epoch 71, Train Accuracy: 39.63 %, Test Accuracy: 37.96 %
Epoch 72, Train Accuracy: 39.31 %, Test Accuracy: 37.97 %
Epoch 73, Train Accuracy: 39.32 %, Test Accuracy: 37.99 %
