NODE=[HOST_03eb56b6d1] | JOB=cvt5-K33-s95 5021657 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 300 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 95 --save-directory cluster/Account2/metaopt/runs/cvt5 --run-name cvt5-K33-s95
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt5/probe_cvt5-K33-s95 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: on type=blockwise items=47:layer4.1.bn1.weight:w=33.0:group=0:groupsize=52
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt5/probe_cvt5-K33-s95
Epoch 0, Train Accuracy: 0.91 %, Test Accuracy: 0.92 %
Epoch 1, Train Accuracy: 0.97 %, Test Accuracy: 1.03 %
Epoch 2, Train Accuracy: 0.99 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 0.92 %, Test Accuracy: 0.94 %
Epoch 4, Train Accuracy: 0.99 %, Test Accuracy: 1.08 %
Epoch 5, Train Accuracy: 0.97 %, Test Accuracy: 1.09 %
Epoch 6, Train Accuracy: 1.00 %, Test Accuracy: 1.13 %
Epoch 7, Train Accuracy: 1.03 %, Test Accuracy: 1.24 %
Epoch 8, Train Accuracy: 1.35 %, Test Accuracy: 1.82 %
Epoch 9, Train Accuracy: 2.06 %, Test Accuracy: 2.42 %
Epoch 10, Train Accuracy: 2.40 %, Test Accuracy: 2.75 %
Epoch 11, Train Accuracy: 2.75 %, Test Accuracy: 3.16 %
Epoch 12, Train Accuracy: 3.29 %, Test Accuracy: 3.95 %
Epoch 13, Train Accuracy: 4.09 %, Test Accuracy: 4.67 %
Epoch 14, Train Accuracy: 4.93 %, Test Accuracy: 5.73 %
Epoch 15, Train Accuracy: 6.70 %, Test Accuracy: 7.69 %
Epoch 16, Train Accuracy: 8.95 %, Test Accuracy: 10.04 %
Epoch 17, Train Accuracy: 11.30 %, Test Accuracy: 11.70 %
Epoch 18, Train Accuracy: 14.46 %, Test Accuracy: 17.16 %
Epoch 19, Train Accuracy: 17.80 %, Test Accuracy: 20.01 %
Epoch 20, Train Accuracy: 21.86 %, Test Accuracy: 24.26 %
Epoch 21, Train Accuracy: 25.88 %, Test Accuracy: 28.19 %
Epoch 22, Train Accuracy: 29.21 %, Test Accuracy: 30.56 %
Epoch 23, Train Accuracy: 31.79 %, Test Accuracy: 32.69 %
Epoch 24, Train Accuracy: 33.80 %, Test Accuracy: 33.96 %
Epoch 25, Train Accuracy: 35.09 %, Test Accuracy: 35.09 %
Epoch 26, Train Accuracy: 36.12 %, Test Accuracy: 35.35 %
Epoch 27, Train Accuracy: 36.58 %, Test Accuracy: 35.55 %
Epoch 28, Train Accuracy: 37.06 %, Test Accuracy: 36.13 %
Epoch 29, Train Accuracy: 37.15 %, Test Accuracy: 36.38 %
Epoch 30, Train Accuracy: 37.17 %, Test Accuracy: 36.43 %
Epoch 31, Train Accuracy: 37.44 %, Test Accuracy: 36.45 %
Epoch 32, Train Accuracy: 37.43 %, Test Accuracy: 36.37 %
Epoch 33, Train Accuracy: 37.34 %, Test Accuracy: 36.71 %
Epoch 34, Train Accuracy: 37.64 %, Test Accuracy: 36.43 %
Epoch 35, Train Accuracy: 37.60 %, Test Accuracy: 36.68 %
Epoch 36, Train Accuracy: 37.48 %, Test Accuracy: 36.50 %
Epoch 37, Train Accuracy: 37.66 %, Test Accuracy: 36.51 %
Epoch 38, Train Accuracy: 37.52 %, Test Accuracy: 36.52 %
Epoch 39, Train Accuracy: 37.59 %, Test Accuracy: 36.59 %
Epoch 40, Train Accuracy: 37.69 %, Test Accuracy: 36.49 %
Epoch 41, Train Accuracy: 37.49 %, Test Accuracy: 36.62 %
Epoch 42, Train Accuracy: 37.54 %, Test Accuracy: 36.60 %
Epoch 43, Train Accuracy: 37.75 %, Test Accuracy: 36.67 %
Epoch 44, Train Accuracy: 37.55 %, Test Accuracy: 36.48 %
Epoch 45, Train Accuracy: 37.43 %, Test Accuracy: 36.51 %
Epoch 46, Train Accuracy: 37.59 %, Test Accuracy: 36.46 %
Epoch 47, Train Accuracy: 37.64 %, Test Accuracy: 36.53 %
Epoch 48, Train Accuracy: 37.50 %, Test Accuracy: 36.46 %
Epoch 49, Train Accuracy: 37.63 %, Test Accuracy: 36.63 %
Epoch 50, Train Accuracy: 37.60 %, Test Accuracy: 36.49 %
Epoch 51, Train Accuracy: 37.69 %, Test Accuracy: 36.54 %
Epoch 52, Train Accuracy: 37.43 %, Test Accuracy: 36.52 %
Epoch 53, Train Accuracy: 37.64 %, Test Accuracy: 36.57 %
Epoch 54, Train Accuracy: 37.68 %, Test Accuracy: 36.72 %
Epoch 55, Train Accuracy: 37.73 %, Test Accuracy: 36.58 %
Epoch 56, Train Accuracy: 37.65 %, Test Accuracy: 36.58 %
Epoch 57, Train Accuracy: 37.66 %, Test Accuracy: 36.26 %
Epoch 58, Train Accuracy: 37.52 %, Test Accuracy: 36.62 %
Epoch 59, Train Accuracy: 37.55 %, Test Accuracy: 36.58 %
Epoch 60, Train Accuracy: 37.59 %, Test Accuracy: 36.56 %
Epoch 61, Train Accuracy: 37.51 %, Test Accuracy: 36.51 %
Epoch 62, Train Accuracy: 37.81 %, Test Accuracy: 36.45 %
Epoch 63, Train Accuracy: 37.69 %, Test Accuracy: 36.67 %
Epoch 64, Train Accuracy: 37.75 %, Test Accuracy: 36.45 %
Epoch 65, Train Accuracy: 37.63 %, Test Accuracy: 36.40 %
Epoch 66, Train Accuracy: 37.59 %, Test Accuracy: 36.20 %
Epoch 67, Train Accuracy: 37.69 %, Test Accuracy: 36.27 %
Epoch 68, Train Accuracy: 37.64 %, Test Accuracy: 36.55 %
Epoch 69, Train Accuracy: 37.58 %, Test Accuracy: 36.58 %
Epoch 70, Train Accuracy: 37.64 %, Test Accuracy: 36.58 %
Epoch 71, Train Accuracy: 37.67 %, Test Accuracy: 36.37 %
Epoch 72, Train Accuracy: 37.75 %, Test Accuracy: 36.43 %
Epoch 73, Train Accuracy: 37.69 %, Test Accuracy: 36.63 %
Epoch 74, Train Accuracy: 37.61 %, Test Accuracy: 36.56 %
Epoch 75, Train Accuracy: 37.84 %, Test Accuracy: 36.46 %
Epoch 76, Train Accuracy: 37.76 %, Test Accuracy: 36.64 %
Epoch 77, Train Accuracy: 37.81 %, Test Accuracy: 36.57 %
Epoch 78, Train Accuracy: 37.61 %, Test Accuracy: 36.70 %
Epoch 79, Train Accuracy: 37.68 %, Test Accuracy: 36.38 %
Epoch 80, Train Accuracy: 37.66 %, Test Accuracy: 36.72 %
Epoch 81, Train Accuracy: 37.77 %, Test Accuracy: 36.59 %
Epoch 82, Train Accuracy: 37.67 %, Test Accuracy: 36.44 %
Epoch 83, Train Accuracy: 37.68 %, Test Accuracy: 36.42 %
Epoch 84, Train Accuracy: 37.43 %, Test Accuracy: 36.54 %
Epoch 85, Train Accuracy: 37.74 %, Test Accuracy: 36.25 %
Epoch 86, Train Accuracy: 37.59 %, Test Accuracy: 36.55 %
Epoch 87, Train Accuracy: 37.49 %, Test Accuracy: 36.58 %
Epoch 88, Train Accuracy: 37.53 %, Test Accuracy: 36.57 %
Epoch 89, Train Accuracy: 37.46 %, Test Accuracy: 36.61 %
Epoch 90, Train Accuracy: 37.53 %, Test Accuracy: 36.39 %
Epoch 91, Train Accuracy: 37.84 %, Test Accuracy: 36.60 %
Epoch 92, Train Accuracy: 37.73 %, Test Accuracy: 36.42 %
Epoch 93, Train Accuracy: 37.63 %, Test Accuracy: 36.35 %
Epoch 94, Train Accuracy: 37.46 %, Test Accuracy: 36.54 %
Epoch 95, Train Accuracy: 37.71 %, Test Accuracy: 36.61 %
Epoch 96, Train Accuracy: 37.80 %, Test Accuracy: 36.49 %
Epoch 97, Train Accuracy: 37.72 %, Test Accuracy: 36.74 %
Epoch 98, Train Accuracy: 37.82 %, Test Accuracy: 36.80 %
Epoch 99, Train Accuracy: 37.82 %, Test Accuracy: 36.68 %
Epoch 100, Train Accuracy: 37.53 %, Test Accuracy: 36.65 %
Epoch 101, Train Accuracy: 37.48 %, Test Accuracy: 36.42 %
Epoch 102, Train Accuracy: 37.67 %, Test Accuracy: 36.63 %
Epoch 103, Train Accuracy: 37.86 %, Test Accuracy: 36.74 %
Epoch 104, Train Accuracy: 37.71 %, Test Accuracy: 36.60 %
Epoch 105, Train Accuracy: 37.61 %, Test Accuracy: 36.57 %
Epoch 106, Train Accuracy: 37.77 %, Test Accuracy: 36.45 %
Epoch 107, Train Accuracy: 37.72 %, Test Accuracy: 36.63 %
Epoch 108, Train Accuracy: 37.66 %, Test Accuracy: 36.45 %
Epoch 109, Train Accuracy: 37.39 %, Test Accuracy: 36.60 %
Epoch 110, Train Accuracy: 37.81 %, Test Accuracy: 36.61 %
Epoch 111, Train Accuracy: 37.49 %, Test Accuracy: 36.70 %
Epoch 112, Train Accuracy: 37.56 %, Test Accuracy: 36.56 %
Epoch 113, Train Accuracy: 37.79 %, Test Accuracy: 36.55 %
Epoch 114, Train Accuracy: 37.77 %, Test Accuracy: 36.61 %
Epoch 115, Train Accuracy: 37.79 %, Test Accuracy: 36.68 %
Epoch 116, Train Accuracy: 37.87 %, Test Accuracy: 36.57 %
Epoch 117, Train Accuracy: 37.50 %, Test Accuracy: 36.49 %
Epoch 118, Train Accuracy: 37.78 %, Test Accuracy: 36.52 %
Epoch 119, Train Accuracy: 37.74 %, Test Accuracy: 36.26 %
Epoch 120, Train Accuracy: 37.75 %, Test Accuracy: 36.43 %
Epoch 121, Train Accuracy: 37.66 %, Test Accuracy: 36.86 %
Epoch 122, Train Accuracy: 37.83 %, Test Accuracy: 36.52 %
Epoch 123, Train Accuracy: 37.70 %, Test Accuracy: 36.47 %
Epoch 124, Train Accuracy: 37.71 %, Test Accuracy: 36.51 %
Epoch 125, Train Accuracy: 37.81 %, Test Accuracy: 36.52 %
Epoch 126, Train Accuracy: 37.64 %, Test Accuracy: 36.58 %
Epoch 127, Train Accuracy: 37.85 %, Test Accuracy: 36.61 %
Epoch 128, Train Accuracy: 37.70 %, Test Accuracy: 36.81 %
Epoch 129, Train Accuracy: 37.73 %, Test Accuracy: 36.39 %
Epoch 130, Train Accuracy: 37.83 %, Test Accuracy: 36.41 %
Epoch 131, Train Accuracy: 37.75 %, Test Accuracy: 36.53 %
Epoch 132, Train Accuracy: 37.79 %, Test Accuracy: 36.84 %
Epoch 133, Train Accuracy: 37.64 %, Test Accuracy: 36.65 %
Epoch 134, Train Accuracy: 37.97 %, Test Accuracy: 36.60 %
Epoch 135, Train Accuracy: 37.92 %, Test Accuracy: 36.71 %
Epoch 136, Train Accuracy: 37.94 %, Test Accuracy: 36.72 %
Epoch 137, Train Accuracy: 37.65 %, Test Accuracy: 36.61 %
Epoch 138, Train Accuracy: 37.69 %, Test Accuracy: 36.70 %
Epoch 139, Train Accuracy: 37.55 %, Test Accuracy: 36.51 %
Epoch 140, Train Accuracy: 37.71 %, Test Accuracy: 36.72 %
Epoch 141, Train Accuracy: 37.74 %, Test Accuracy: 36.54 %
Epoch 142, Train Accuracy: 37.57 %, Test Accuracy: 36.71 %
Epoch 143, Train Accuracy: 37.49 %, Test Accuracy: 36.63 %
Epoch 144, Train Accuracy: 37.74 %, Test Accuracy: 36.50 %
Epoch 145, Train Accuracy: 37.65 %, Test Accuracy: 36.46 %
Epoch 146, Train Accuracy: 37.74 %, Test Accuracy: 36.64 %
Epoch 147, Train Accuracy: 37.97 %, Test Accuracy: 36.63 %
Epoch 148, Train Accuracy: 37.67 %, Test Accuracy: 36.77 %
Epoch 149, Train Accuracy: 37.69 %, Test Accuracy: 36.58 %
Epoch 150, Train Accuracy: 37.84 %, Test Accuracy: 36.45 %
Epoch 151, Train Accuracy: 37.68 %, Test Accuracy: 36.62 %
Epoch 152, Train Accuracy: 37.75 %, Test Accuracy: 36.56 %
Epoch 153, Train Accuracy: 37.80 %, Test Accuracy: 36.78 %
Epoch 154, Train Accuracy: 37.81 %, Test Accuracy: 36.64 %
Epoch 155, Train Accuracy: 37.83 %, Test Accuracy: 36.87 %
Epoch 156, Train Accuracy: 37.81 %, Test Accuracy: 36.66 %
Epoch 157, Train Accuracy: 37.95 %, Test Accuracy: 36.78 %
Epoch 158, Train Accuracy: 37.74 %, Test Accuracy: 36.56 %
Epoch 159, Train Accuracy: 37.81 %, Test Accuracy: 36.57 %
Epoch 160, Train Accuracy: 37.81 %, Test Accuracy: 36.60 %
Epoch 161, Train Accuracy: 37.89 %, Test Accuracy: 36.47 %
Epoch 162, Train Accuracy: 37.66 %, Test Accuracy: 36.83 %
Epoch 163, Train Accuracy: 37.90 %, Test Accuracy: 36.82 %
Epoch 164, Train Accuracy: 37.96 %, Test Accuracy: 36.63 %
Epoch 165, Train Accuracy: 37.72 %, Test Accuracy: 36.81 %
Epoch 166, Train Accuracy: 37.59 %, Test Accuracy: 36.67 %
Epoch 167, Train Accuracy: 37.97 %, Test Accuracy: 36.87 %
Epoch 168, Train Accuracy: 37.71 %, Test Accuracy: 36.81 %
Epoch 169, Train Accuracy: 37.69 %, Test Accuracy: 36.51 %
Epoch 170, Train Accuracy: 37.80 %, Test Accuracy: 36.73 %
Epoch 171, Train Accuracy: 37.78 %, Test Accuracy: 36.50 %
Epoch 172, Train Accuracy: 37.83 %, Test Accuracy: 36.71 %
Epoch 173, Train Accuracy: 37.81 %, Test Accuracy: 36.75 %
Epoch 174, Train Accuracy: 37.76 %, Test Accuracy: 36.77 %
Epoch 175, Train Accuracy: 37.79 %, Test Accuracy: 36.64 %
Epoch 176, Train Accuracy: 37.78 %, Test Accuracy: 36.87 %
Epoch 177, Train Accuracy: 37.87 %, Test Accuracy: 36.65 %
Epoch 178, Train Accuracy: 37.86 %, Test Accuracy: 36.63 %
Epoch 179, Train Accuracy: 37.98 %, Test Accuracy: 36.64 %
Epoch 180, Train Accuracy: 37.71 %, Test Accuracy: 36.64 %
Epoch 181, Train Accuracy: 37.71 %, Test Accuracy: 36.55 %
Epoch 182, Train Accuracy: 37.72 %, Test Accuracy: 36.78 %
Epoch 183, Train Accuracy: 37.61 %, Test Accuracy: 36.50 %
Epoch 184, Train Accuracy: 37.94 %, Test Accuracy: 36.68 %
Epoch 185, Train Accuracy: 37.88 %, Test Accuracy: 36.76 %
Epoch 186, Train Accuracy: 37.93 %, Test Accuracy: 36.59 %
Epoch 187, Train Accuracy: 37.77 %, Test Accuracy: 36.51 %
Epoch 188, Train Accuracy: 37.76 %, Test Accuracy: 36.69 %
Epoch 189, Train Accuracy: 37.81 %, Test Accuracy: 36.64 %
Epoch 190, Train Accuracy: 37.85 %, Test Accuracy: 36.64 %
Epoch 191, Train Accuracy: 38.02 %, Test Accuracy: 36.75 %
Epoch 192, Train Accuracy: 37.76 %, Test Accuracy: 36.90 %
Epoch 193, Train Accuracy: 37.78 %, Test Accuracy: 36.60 %
Epoch 194, Train Accuracy: 37.74 %, Test Accuracy: 36.44 %
Epoch 195, Train Accuracy: 37.87 %, Test Accuracy: 36.72 %
Epoch 196, Train Accuracy: 37.98 %, Test Accuracy: 36.49 %
Epoch 197, Train Accuracy: 37.81 %, Test Accuracy: 36.78 %
Epoch 198, Train Accuracy: 37.98 %, Test Accuracy: 36.58 %
Epoch 199, Train Accuracy: 37.85 %, Test Accuracy: 36.65 %
Epoch 200, Train Accuracy: 37.87 %, Test Accuracy: 36.61 %
Epoch 201, Train Accuracy: 37.95 %, Test Accuracy: 36.54 %
Epoch 202, Train Accuracy: 37.78 %, Test Accuracy: 36.67 %
Epoch 203, Train Accuracy: 37.89 %, Test Accuracy: 36.54 %
Epoch 204, Train Accuracy: 37.95 %, Test Accuracy: 36.83 %
Epoch 205, Train Accuracy: 37.95 %, Test Accuracy: 36.53 %
Epoch 206, Train Accuracy: 37.82 %, Test Accuracy: 36.76 %
Epoch 207, Train Accuracy: 37.74 %, Test Accuracy: 37.01 %
Epoch 208, Train Accuracy: 37.88 %, Test Accuracy: 36.46 %
Epoch 209, Train Accuracy: 37.68 %, Test Accuracy: 36.46 %
Epoch 210, Train Accuracy: 37.77 %, Test Accuracy: 36.62 %
Epoch 211, Train Accuracy: 37.89 %, Test Accuracy: 36.89 %
Epoch 212, Train Accuracy: 37.89 %, Test Accuracy: 36.73 %
Epoch 213, Train Accuracy: 37.85 %, Test Accuracy: 36.50 %
Epoch 214, Train Accuracy: 37.81 %, Test Accuracy: 36.74 %
Epoch 215, Train Accuracy: 38.15 %, Test Accuracy: 36.72 %
Epoch 216, Train Accuracy: 37.74 %, Test Accuracy: 36.81 %
Epoch 217, Train Accuracy: 37.90 %, Test Accuracy: 36.77 %
Epoch 218, Train Accuracy: 37.84 %, Test Accuracy: 36.72 %
Epoch 219, Train Accuracy: 37.85 %, Test Accuracy: 36.68 %
Epoch 220, Train Accuracy: 37.76 %, Test Accuracy: 36.57 %
Epoch 221, Train Accuracy: 38.05 %, Test Accuracy: 36.52 %
Epoch 222, Train Accuracy: 37.95 %, Test Accuracy: 36.65 %
Epoch 223, Train Accuracy: 37.88 %, Test Accuracy: 36.78 %
Epoch 224, Train Accuracy: 37.84 %, Test Accuracy: 36.57 %
Epoch 225, Train Accuracy: 37.83 %, Test Accuracy: 36.81 %
Epoch 226, Train Accuracy: 37.91 %, Test Accuracy: 36.81 %
Epoch 227, Train Accuracy: 37.99 %, Test Accuracy: 36.55 %
Epoch 228, Train Accuracy: 37.80 %, Test Accuracy: 36.71 %
Epoch 229, Train Accuracy: 37.91 %, Test Accuracy: 36.87 %
Epoch 230, Train Accuracy: 37.84 %, Test Accuracy: 36.76 %
Epoch 231, Train Accuracy: 37.86 %, Test Accuracy: 36.78 %
Epoch 232, Train Accuracy: 37.88 %, Test Accuracy: 36.62 %
Epoch 233, Train Accuracy: 38.01 %, Test Accuracy: 36.63 %
Epoch 234, Train Accuracy: 37.69 %, Test Accuracy: 36.79 %
