NODE=[HOST_e8d809bd94] | JOB=cvt6-HOLDHIGH-s97 5022516 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 97 --save-directory cluster/Account2/metaopt/runs/cvt6 --run-name cvt6-HOLDHIGH-s97
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt6/probe_cvt6-HOLDHIGH-s97 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: on type=blockwise group=1 groupsize=1 name=layer4.1.bn2.weight mode=tri P=9428 b0=-13.815510749816895 ms=0.001 lo=-15.0 hi=-2.3026 peak=-4.387510749816894
COMP_HOLD: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt6/probe_cvt6-HOLDHIGH-s97
Epoch 0, Train Accuracy: 0.94 %, Test Accuracy: 1.17 %
Epoch 1, Train Accuracy: 0.97 %, Test Accuracy: 1.12 %
Epoch 2, Train Accuracy: 1.03 %, Test Accuracy: 1.17 %
Epoch 3, Train Accuracy: 0.99 %, Test Accuracy: 1.19 %
Epoch 4, Train Accuracy: 0.96 %, Test Accuracy: 1.21 %
Epoch 5, Train Accuracy: 1.00 %, Test Accuracy: 1.18 %
Epoch 6, Train Accuracy: 1.05 %, Test Accuracy: 1.28 %
Epoch 7, Train Accuracy: 1.15 %, Test Accuracy: 1.23 %
Epoch 8, Train Accuracy: 1.36 %, Test Accuracy: 1.56 %
Epoch 9, Train Accuracy: 1.74 %, Test Accuracy: 1.91 %
Epoch 10, Train Accuracy: 2.03 %, Test Accuracy: 2.32 %
Epoch 11, Train Accuracy: 2.36 %, Test Accuracy: 2.58 %
Epoch 12, Train Accuracy: 2.91 %, Test Accuracy: 3.57 %
Epoch 13, Train Accuracy: 3.83 %, Test Accuracy: 4.33 %
Epoch 14, Train Accuracy: 4.53 %, Test Accuracy: 5.06 %
Epoch 15, Train Accuracy: 6.16 %, Test Accuracy: 7.53 %
Epoch 16, Train Accuracy: 7.56 %, Test Accuracy: 8.98 %
Epoch 17, Train Accuracy: 9.12 %, Test Accuracy: 10.15 %
Epoch 18, Train Accuracy: 9.59 %, Test Accuracy: 9.31 %
Epoch 19, Train Accuracy: 9.59 %, Test Accuracy: 10.63 %
Epoch 20, Train Accuracy: 10.29 %, Test Accuracy: 11.06 %
Epoch 21, Train Accuracy: 10.84 %, Test Accuracy: 11.28 %
Epoch 22, Train Accuracy: 11.01 %, Test Accuracy: 11.72 %
Epoch 23, Train Accuracy: 11.41 %, Test Accuracy: 11.63 %
Epoch 24, Train Accuracy: 11.59 %, Test Accuracy: 11.65 %
Epoch 25, Train Accuracy: 11.71 %, Test Accuracy: 12.27 %
Epoch 26, Train Accuracy: 11.72 %, Test Accuracy: 12.11 %
Epoch 27, Train Accuracy: 11.88 %, Test Accuracy: 12.31 %
Epoch 28, Train Accuracy: 11.91 %, Test Accuracy: 12.05 %
Epoch 29, Train Accuracy: 11.88 %, Test Accuracy: 11.98 %
Epoch 30, Train Accuracy: 11.88 %, Test Accuracy: 12.24 %
Epoch 31, Train Accuracy: 11.90 %, Test Accuracy: 12.18 %
Epoch 32, Train Accuracy: 11.92 %, Test Accuracy: 12.01 %
Epoch 33, Train Accuracy: 11.96 %, Test Accuracy: 12.22 %
Epoch 34, Train Accuracy: 11.92 %, Test Accuracy: 12.19 %
Epoch 35, Train Accuracy: 11.91 %, Test Accuracy: 12.06 %
Epoch 36, Train Accuracy: 11.95 %, Test Accuracy: 11.91 %
Epoch 37, Train Accuracy: 11.90 %, Test Accuracy: 12.11 %
Epoch 38, Train Accuracy: 11.94 %, Test Accuracy: 12.02 %
Epoch 39, Train Accuracy: 11.85 %, Test Accuracy: 12.03 %
Epoch 40, Train Accuracy: 11.93 %, Test Accuracy: 12.13 %
Epoch 41, Train Accuracy: 11.89 %, Test Accuracy: 12.38 %
Epoch 42, Train Accuracy: 11.92 %, Test Accuracy: 12.12 %
Epoch 43, Train Accuracy: 11.83 %, Test Accuracy: 12.25 %
Epoch 44, Train Accuracy: 11.91 %, Test Accuracy: 12.06 %
Epoch 45, Train Accuracy: 11.94 %, Test Accuracy: 12.16 %
Epoch 46, Train Accuracy: 11.93 %, Test Accuracy: 12.12 %
Epoch 47, Train Accuracy: 11.89 %, Test Accuracy: 12.34 %
Epoch 48, Train Accuracy: 11.90 %, Test Accuracy: 12.07 %
Epoch 49, Train Accuracy: 11.87 %, Test Accuracy: 12.10 %
