NODE=[HOST_0315e55916] | JOB=cvt7-HOLDISO-s101 5022503 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-52,54-58,60-62/layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight --seed 101 --save-directory cluster/Account2/metaopt/runs/cvt7 --run-name cvt7-HOLDISO-s101
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt7/probe_cvt7-HOLDISO-s101 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: on type=blockwise group=1 groupsize=3 names=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight mode=tri P=5153 b0=-13.815510749816895 ms=0.001 lo=-15.0 hi=-2.3026 peak=-8.662510749816894
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt7/probe_cvt7-HOLDISO-s101
Epoch 0, Train Accuracy: 1.05 %, Test Accuracy: 1.07 %
Epoch 1, Train Accuracy: 1.04 %, Test Accuracy: 1.13 %
Epoch 2, Train Accuracy: 1.05 %, Test Accuracy: 1.15 %
Epoch 3, Train Accuracy: 1.11 %, Test Accuracy: 1.06 %
Epoch 4, Train Accuracy: 1.06 %, Test Accuracy: 1.11 %
Epoch 5, Train Accuracy: 1.06 %, Test Accuracy: 1.19 %
Epoch 6, Train Accuracy: 1.14 %, Test Accuracy: 1.27 %
Epoch 7, Train Accuracy: 1.30 %, Test Accuracy: 1.48 %
Epoch 8, Train Accuracy: 1.71 %, Test Accuracy: 1.83 %
Epoch 9, Train Accuracy: 2.36 %, Test Accuracy: 2.77 %
Epoch 10, Train Accuracy: 3.17 %, Test Accuracy: 3.37 %
Epoch 11, Train Accuracy: 4.26 %, Test Accuracy: 4.81 %
Epoch 12, Train Accuracy: 5.88 %, Test Accuracy: 6.43 %
Epoch 13, Train Accuracy: 7.89 %, Test Accuracy: 8.49 %
Epoch 14, Train Accuracy: 10.06 %, Test Accuracy: 11.15 %
Epoch 15, Train Accuracy: 12.43 %, Test Accuracy: 14.03 %
Epoch 16, Train Accuracy: 14.87 %, Test Accuracy: 16.44 %
Epoch 17, Train Accuracy: 17.47 %, Test Accuracy: 19.24 %
Epoch 18, Train Accuracy: 22.40 %, Test Accuracy: 24.29 %
Epoch 19, Train Accuracy: 26.94 %, Test Accuracy: 28.72 %
Epoch 20, Train Accuracy: 31.33 %, Test Accuracy: 32.10 %
Epoch 21, Train Accuracy: 35.03 %, Test Accuracy: 35.93 %
Epoch 22, Train Accuracy: 38.71 %, Test Accuracy: 38.27 %
Epoch 23, Train Accuracy: 42.51 %, Test Accuracy: 42.42 %
Epoch 24, Train Accuracy: 45.24 %, Test Accuracy: 45.71 %
Epoch 25, Train Accuracy: 48.35 %, Test Accuracy: 46.84 %
Epoch 26, Train Accuracy: 50.97 %, Test Accuracy: 49.00 %
Epoch 27, Train Accuracy: 53.27 %, Test Accuracy: 52.25 %
Epoch 28, Train Accuracy: 55.78 %, Test Accuracy: 54.10 %
Epoch 29, Train Accuracy: 57.71 %, Test Accuracy: 55.54 %
Epoch 30, Train Accuracy: 59.49 %, Test Accuracy: 56.41 %
