NODE=[HOST_e8d809bd94] | JOB=cvt8-ISO-s104 5024063 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-52,54-58,60-62/layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight --seed 104 --save-directory cluster/Account2/metaopt/runs/cvt8 --run-name cvt8-ISO-s104
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt8/probe_cvt8-ISO-s104 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt8/probe_cvt8-ISO-s104
Epoch 0, Train Accuracy: 0.92 %, Test Accuracy: 0.83 %
Epoch 1, Train Accuracy: 0.90 %, Test Accuracy: 0.81 %
Epoch 2, Train Accuracy: 0.88 %, Test Accuracy: 0.83 %
Epoch 3, Train Accuracy: 0.90 %, Test Accuracy: 0.86 %
Epoch 4, Train Accuracy: 0.89 %, Test Accuracy: 0.88 %
Epoch 5, Train Accuracy: 0.88 %, Test Accuracy: 0.90 %
Epoch 6, Train Accuracy: 1.00 %, Test Accuracy: 1.03 %
Epoch 7, Train Accuracy: 1.04 %, Test Accuracy: 1.13 %
Epoch 8, Train Accuracy: 1.34 %, Test Accuracy: 1.99 %
Epoch 9, Train Accuracy: 2.37 %, Test Accuracy: 2.99 %
Epoch 10, Train Accuracy: 3.45 %, Test Accuracy: 4.49 %
Epoch 11, Train Accuracy: 4.83 %, Test Accuracy: 6.01 %
Epoch 12, Train Accuracy: 6.18 %, Test Accuracy: 7.32 %
Epoch 13, Train Accuracy: 8.03 %, Test Accuracy: 9.20 %
Epoch 14, Train Accuracy: 10.38 %, Test Accuracy: 11.81 %
Epoch 15, Train Accuracy: 12.44 %, Test Accuracy: 13.90 %
Epoch 16, Train Accuracy: 14.70 %, Test Accuracy: 16.39 %
Epoch 17, Train Accuracy: 17.44 %, Test Accuracy: 18.69 %
Epoch 18, Train Accuracy: 22.33 %, Test Accuracy: 24.69 %
Epoch 19, Train Accuracy: 26.95 %, Test Accuracy: 28.31 %
Epoch 20, Train Accuracy: 31.15 %, Test Accuracy: 30.93 %
Epoch 21, Train Accuracy: 34.28 %, Test Accuracy: 35.57 %
Epoch 22, Train Accuracy: 38.15 %, Test Accuracy: 37.92 %
Epoch 23, Train Accuracy: 41.30 %, Test Accuracy: 43.01 %
Epoch 24, Train Accuracy: 44.27 %, Test Accuracy: 42.42 %
Epoch 25, Train Accuracy: 47.20 %, Test Accuracy: 47.07 %
Epoch 26, Train Accuracy: 49.64 %, Test Accuracy: 48.93 %
Epoch 27, Train Accuracy: 52.18 %, Test Accuracy: 51.04 %
Epoch 28, Train Accuracy: 54.74 %, Test Accuracy: 52.62 %
Epoch 29, Train Accuracy: 56.72 %, Test Accuracy: 53.87 %
Epoch 30, Train Accuracy: 58.37 %, Test Accuracy: 54.33 %
Epoch 31, Train Accuracy: 60.24 %, Test Accuracy: 57.20 %
Epoch 32, Train Accuracy: 61.91 %, Test Accuracy: 57.23 %
Epoch 33, Train Accuracy: 63.67 %, Test Accuracy: 59.23 %
Epoch 34, Train Accuracy: 65.11 %, Test Accuracy: 60.56 %
Epoch 35, Train Accuracy: 66.69 %, Test Accuracy: 61.03 %
Epoch 36, Train Accuracy: 67.90 %, Test Accuracy: 62.01 %
Epoch 37, Train Accuracy: 69.39 %, Test Accuracy: 62.88 %
Epoch 38, Train Accuracy: 70.21 %, Test Accuracy: 63.29 %
Epoch 39, Train Accuracy: 71.94 %, Test Accuracy: 64.29 %
Epoch 40, Train Accuracy: 72.80 %, Test Accuracy: 64.42 %
Epoch 41, Train Accuracy: 74.19 %, Test Accuracy: 65.58 %
Epoch 42, Train Accuracy: 75.54 %, Test Accuracy: 65.99 %
Epoch 43, Train Accuracy: 76.15 %, Test Accuracy: 65.97 %
Epoch 44, Train Accuracy: 77.71 %, Test Accuracy: 66.61 %
Epoch 45, Train Accuracy: 78.21 %, Test Accuracy: 67.11 %
Epoch 46, Train Accuracy: 79.33 %, Test Accuracy: 67.80 %
Epoch 47, Train Accuracy: 80.16 %, Test Accuracy: 67.41 %
Epoch 48, Train Accuracy: 81.17 %, Test Accuracy: 68.08 %
Epoch 49, Train Accuracy: 81.90 %, Test Accuracy: 67.76 %
Epoch 50, Train Accuracy: 82.71 %, Test Accuracy: 68.31 %
Epoch 51, Train Accuracy: 83.76 %, Test Accuracy: 68.25 %
Epoch 52, Train Accuracy: 84.70 %, Test Accuracy: 68.39 %
Epoch 53, Train Accuracy: 85.40 %, Test Accuracy: 68.41 %
Epoch 54, Train Accuracy: 86.18 %, Test Accuracy: 69.35 %
Epoch 55, Train Accuracy: 86.91 %, Test Accuracy: 68.82 %
Epoch 56, Train Accuracy: 87.41 %, Test Accuracy: 69.13 %
Epoch 57, Train Accuracy: 87.93 %, Test Accuracy: 69.05 %
Epoch 58, Train Accuracy: 88.78 %, Test Accuracy: 69.81 %
Epoch 59, Train Accuracy: 89.24 %, Test Accuracy: 69.68 %
Epoch 60, Train Accuracy: 89.66 %, Test Accuracy: 69.63 %
Epoch 61, Train Accuracy: 90.08 %, Test Accuracy: 69.98 %
Epoch 62, Train Accuracy: 90.73 %, Test Accuracy: 70.26 %
Epoch 63, Train Accuracy: 91.18 %, Test Accuracy: 70.13 %
Epoch 64, Train Accuracy: 91.47 %, Test Accuracy: 70.16 %
Epoch 65, Train Accuracy: 91.87 %, Test Accuracy: 70.01 %
Epoch 66, Train Accuracy: 92.25 %, Test Accuracy: 70.40 %
Epoch 67, Train Accuracy: 92.46 %, Test Accuracy: 70.30 %
Epoch 68, Train Accuracy: 92.87 %, Test Accuracy: 70.59 %
Epoch 69, Train Accuracy: 93.00 %, Test Accuracy: 70.71 %
Epoch 70, Train Accuracy: 93.28 %, Test Accuracy: 70.55 %
Epoch 71, Train Accuracy: 93.33 %, Test Accuracy: 70.68 %
Epoch 72, Train Accuracy: 93.37 %, Test Accuracy: 70.39 %
Epoch 73, Train Accuracy: 93.56 %, Test Accuracy: 70.62 %
Epoch 74, Train Accuracy: 93.78 %, Test Accuracy: 70.56 %
Epoch 75, Train Accuracy: 94.02 %, Test Accuracy: 70.77 %
Epoch 76, Train Accuracy: 94.07 %, Test Accuracy: 70.68 %
Epoch 77, Train Accuracy: 93.83 %, Test Accuracy: 70.69 %
Epoch 78, Train Accuracy: 93.92 %, Test Accuracy: 70.56 %
Epoch 79, Train Accuracy: 94.17 %, Test Accuracy: 70.56 %
Epoch 80, Train Accuracy: 94.26 %, Test Accuracy: 70.51 %
Epoch 81, Train Accuracy: 94.28 %, Test Accuracy: 70.58 %
Epoch 82, Train Accuracy: 94.30 %, Test Accuracy: 70.75 %
Epoch 83, Train Accuracy: 94.46 %, Test Accuracy: 70.57 %
Epoch 84, Train Accuracy: 94.52 %, Test Accuracy: 70.51 %
Epoch 85, Train Accuracy: 94.51 %, Test Accuracy: 70.46 %
Epoch 86, Train Accuracy: 94.44 %, Test Accuracy: 70.58 %
Epoch 87, Train Accuracy: 94.71 %, Test Accuracy: 70.77 %
Epoch 88, Train Accuracy: 94.56 %, Test Accuracy: 70.66 %
Epoch 89, Train Accuracy: 94.64 %, Test Accuracy: 70.60 %
Epoch 90, Train Accuracy: 94.58 %, Test Accuracy: 70.70 %
Epoch 91, Train Accuracy: 94.54 %, Test Accuracy: 70.72 %
Epoch 92, Train Accuracy: 94.57 %, Test Accuracy: 70.66 %
Epoch 93, Train Accuracy: 94.59 %, Test Accuracy: 70.74 %
Epoch 94, Train Accuracy: 94.66 %, Test Accuracy: 70.58 %
Epoch 95, Train Accuracy: 94.59 %, Test Accuracy: 70.64 %
Epoch 96, Train Accuracy: 94.61 %, Test Accuracy: 70.63 %
Epoch 97, Train Accuracy: 94.65 %, Test Accuracy: 70.71 %
Epoch 98, Train Accuracy: 94.58 %, Test Accuracy: 70.67 %
Epoch 99, Train Accuracy: 94.65 %, Test Accuracy: 70.77 %
42  minutes
RUN_DONE
