NODE=[HOST_b0a55dfb8c] | JOB=cwd2-HIGHHEADPATH-s134 5045392 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 134 --save-directory cluster/Account2/metaopt/runs/cwd2 --run-name cwd2-HIGHHEADPATH-s134
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd2/probe_cwd2-HIGHHEADPATH-s134 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: on type=blockwise group=1 groupsize=1 name=layer4.1.bn2.weight mode=tri P=9428 b0=-13.815510749816895 ms=0.001 lo=-15.0 hi=-2.3026 peak=-4.387510749816894
COMP_HOLD: on type=blockwise group=0 groupsize=52 mode=rec id=cvt6_headpath sha256=74be71fa524ad0122d1408e01dd2b633b004b2e27228393fe6e593f494358a5d knots=500 n0=2 n1=49902 b0=-13.815510749816895 lo=-15.0 hi=-2.3026 vmax=-4.852388381958008 vlast=-15.0
WINDOW_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd2/probe_cwd2-HIGHHEADPATH-s134
Epoch 0, Train Accuracy: 1.43 %, Test Accuracy: 1.40 %
Epoch 1, Train Accuracy: 1.39 %, Test Accuracy: 1.41 %
Epoch 2, Train Accuracy: 1.40 %, Test Accuracy: 1.44 %
Epoch 3, Train Accuracy: 1.43 %, Test Accuracy: 1.36 %
Epoch 4, Train Accuracy: 1.35 %, Test Accuracy: 1.36 %
Epoch 5, Train Accuracy: 1.48 %, Test Accuracy: 1.48 %
Epoch 6, Train Accuracy: 1.56 %, Test Accuracy: 1.49 %
Epoch 7, Train Accuracy: 1.62 %, Test Accuracy: 1.62 %
Epoch 8, Train Accuracy: 1.83 %, Test Accuracy: 1.91 %
Epoch 9, Train Accuracy: 2.11 %, Test Accuracy: 2.59 %
Epoch 10, Train Accuracy: 2.71 %, Test Accuracy: 3.05 %
Epoch 11, Train Accuracy: 3.02 %, Test Accuracy: 3.17 %
Epoch 12, Train Accuracy: 3.32 %, Test Accuracy: 3.73 %
Epoch 13, Train Accuracy: 4.03 %, Test Accuracy: 4.79 %
Epoch 14, Train Accuracy: 4.83 %, Test Accuracy: 5.12 %
Epoch 15, Train Accuracy: 5.44 %, Test Accuracy: 6.18 %
Epoch 16, Train Accuracy: 6.75 %, Test Accuracy: 7.56 %
Epoch 17, Train Accuracy: 8.10 %, Test Accuracy: 8.70 %
Epoch 18, Train Accuracy: 9.39 %, Test Accuracy: 9.93 %
Epoch 19, Train Accuracy: 10.12 %, Test Accuracy: 10.78 %
Epoch 20, Train Accuracy: 10.55 %, Test Accuracy: 11.01 %
Epoch 21, Train Accuracy: 10.78 %, Test Accuracy: 11.15 %
Epoch 22, Train Accuracy: 10.88 %, Test Accuracy: 11.19 %
Epoch 23, Train Accuracy: 10.83 %, Test Accuracy: 11.18 %
Epoch 24, Train Accuracy: 10.98 %, Test Accuracy: 10.79 %
Epoch 25, Train Accuracy: 11.04 %, Test Accuracy: 11.77 %
Epoch 26, Train Accuracy: 10.90 %, Test Accuracy: 11.13 %
Epoch 27, Train Accuracy: 11.25 %, Test Accuracy: 10.92 %
Epoch 28, Train Accuracy: 11.08 %, Test Accuracy: 11.47 %
Epoch 29, Train Accuracy: 11.09 %, Test Accuracy: 11.37 %
Epoch 30, Train Accuracy: 11.23 %, Test Accuracy: 11.41 %
Epoch 31, Train Accuracy: 11.20 %, Test Accuracy: 11.04 %
Epoch 32, Train Accuracy: 11.37 %, Test Accuracy: 10.95 %
Epoch 33, Train Accuracy: 11.27 %, Test Accuracy: 10.60 %
Epoch 34, Train Accuracy: 11.25 %, Test Accuracy: 11.06 %
Epoch 35, Train Accuracy: 11.32 %, Test Accuracy: 11.25 %
Epoch 36, Train Accuracy: 11.21 %, Test Accuracy: 11.09 %
Epoch 37, Train Accuracy: 11.34 %, Test Accuracy: 10.97 %
Epoch 38, Train Accuracy: 11.38 %, Test Accuracy: 11.12 %
Epoch 39, Train Accuracy: 11.25 %, Test Accuracy: 10.98 %
Epoch 40, Train Accuracy: 11.30 %, Test Accuracy: 11.01 %
Epoch 41, Train Accuracy: 11.26 %, Test Accuracy: 10.84 %
Epoch 42, Train Accuracy: 11.32 %, Test Accuracy: 11.02 %
Epoch 43, Train Accuracy: 11.28 %, Test Accuracy: 11.07 %
Epoch 44, Train Accuracy: 11.22 %, Test Accuracy: 11.07 %
Epoch 45, Train Accuracy: 11.18 %, Test Accuracy: 11.13 %
Epoch 46, Train Accuracy: 11.23 %, Test Accuracy: 11.23 %
Epoch 47, Train Accuracy: 11.21 %, Test Accuracy: 11.14 %
Epoch 48, Train Accuracy: 11.28 %, Test Accuracy: 11.20 %
Epoch 49, Train Accuracy: 11.18 %, Test Accuracy: 11.12 %
Epoch 50, Train Accuracy: 11.27 %, Test Accuracy: 11.08 %
Epoch 51, Train Accuracy: 11.19 %, Test Accuracy: 11.11 %
Epoch 52, Train Accuracy: 11.27 %, Test Accuracy: 11.00 %
Epoch 53, Train Accuracy: 11.21 %, Test Accuracy: 11.00 %
Epoch 54, Train Accuracy: 11.21 %, Test Accuracy: 11.14 %
Epoch 55, Train Accuracy: 11.25 %, Test Accuracy: 11.11 %
Epoch 56, Train Accuracy: 11.20 %, Test Accuracy: 10.94 %
Epoch 57, Train Accuracy: 11.23 %, Test Accuracy: 11.02 %
Epoch 58, Train Accuracy: 11.25 %, Test Accuracy: 11.01 %
Epoch 59, Train Accuracy: 11.26 %, Test Accuracy: 11.13 %
Epoch 60, Train Accuracy: 11.20 %, Test Accuracy: 11.04 %
Epoch 61, Train Accuracy: 11.31 %, Test Accuracy: 11.13 %
Epoch 62, Train Accuracy: 11.27 %, Test Accuracy: 11.06 %
Epoch 63, Train Accuracy: 11.20 %, Test Accuracy: 11.08 %
Epoch 64, Train Accuracy: 11.22 %, Test Accuracy: 10.97 %
Epoch 65, Train Accuracy: 11.26 %, Test Accuracy: 11.02 %
Epoch 66, Train Accuracy: 11.23 %, Test Accuracy: 11.19 %
Epoch 67, Train Accuracy: 11.25 %, Test Accuracy: 11.04 %
Epoch 68, Train Accuracy: 11.24 %, Test Accuracy: 11.12 %
Epoch 69, Train Accuracy: 11.18 %, Test Accuracy: 11.04 %
Epoch 70, Train Accuracy: 11.16 %, Test Accuracy: 11.06 %
Epoch 71, Train Accuracy: 11.25 %, Test Accuracy: 11.04 %
Epoch 72, Train Accuracy: 11.24 %, Test Accuracy: 10.93 %
Epoch 73, Train Accuracy: 11.29 %, Test Accuracy: 11.04 %
Epoch 74, Train Accuracy: 11.27 %, Test Accuracy: 11.13 %
Epoch 75, Train Accuracy: 11.18 %, Test Accuracy: 11.13 %
Epoch 76, Train Accuracy: 11.26 %, Test Accuracy: 11.00 %
Epoch 77, Train Accuracy: 11.22 %, Test Accuracy: 11.07 %
Epoch 78, Train Accuracy: 11.25 %, Test Accuracy: 11.02 %
Epoch 79, Train Accuracy: 11.24 %, Test Accuracy: 11.06 %
Epoch 80, Train Accuracy: 11.20 %, Test Accuracy: 11.06 %
Epoch 81, Train Accuracy: 11.24 %, Test Accuracy: 11.04 %
Epoch 82, Train Accuracy: 11.16 %, Test Accuracy: 10.99 %
Epoch 83, Train Accuracy: 11.19 %, Test Accuracy: 10.96 %
Epoch 84, Train Accuracy: 11.26 %, Test Accuracy: 11.12 %
Epoch 85, Train Accuracy: 11.25 %, Test Accuracy: 11.01 %
Epoch 86, Train Accuracy: 11.26 %, Test Accuracy: 10.99 %
Epoch 87, Train Accuracy: 11.23 %, Test Accuracy: 11.01 %
Epoch 88, Train Accuracy: 11.24 %, Test Accuracy: 10.92 %
Epoch 89, Train Accuracy: 11.31 %, Test Accuracy: 11.12 %
Epoch 90, Train Accuracy: 11.20 %, Test Accuracy: 11.12 %
Epoch 91, Train Accuracy: 11.25 %, Test Accuracy: 10.97 %
Epoch 92, Train Accuracy: 11.18 %, Test Accuracy: 11.06 %
Epoch 93, Train Accuracy: 11.28 %, Test Accuracy: 11.11 %
Epoch 94, Train Accuracy: 11.22 %, Test Accuracy: 10.98 %
Epoch 95, Train Accuracy: 11.21 %, Test Accuracy: 11.04 %
Epoch 96, Train Accuracy: 11.22 %, Test Accuracy: 11.03 %
Epoch 97, Train Accuracy: 11.24 %, Test Accuracy: 11.05 %
Epoch 98, Train Accuracy: 11.24 %, Test Accuracy: 11.03 %
