NODE=[HOST_3c1b003035] | JOB=cwd2-LOWWD0-s132 5045384 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-53/layer4.1.bn2.weight --seed 132 --save-directory cluster/Account2/metaopt/runs/cwd2 --run-name cwd2-LOWWD0-s132
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd2/probe_cwd2-LOWWD0-s132 EB_RHO=na EB_LOG=0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: on type=blockwise group=1 groupsize=1 name=layer4.1.bn2.weight mode=floor value=-15.0
COMP_HOLD: on type=blockwise group=0 groupsize=52 mode=rec id=cvt6_headpath sha256=74be71fa524ad0122d1408e01dd2b633b004b2e27228393fe6e593f494358a5d knots=500 n0=2 n1=49902 b0=-13.815510749816895 lo=-15.0 hi=-2.3026 vmax=-4.852388381958008 vlast=-15.0
WINDOW_HOLD: off
DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.1.bn2.weight masked=1 of=53 numel=512 idx=50 names=layer4.1.bn2.weight
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd2/probe_cwd2-LOWWD0-s132
Epoch 0, Train Accuracy: 0.96 %, Test Accuracy: 0.98 %
Epoch 1, Train Accuracy: 1.03 %, Test Accuracy: 0.94 %
Epoch 2, Train Accuracy: 1.03 %, Test Accuracy: 0.97 %
Epoch 3, Train Accuracy: 1.02 %, Test Accuracy: 0.96 %
Epoch 4, Train Accuracy: 1.00 %, Test Accuracy: 1.03 %
Epoch 5, Train Accuracy: 1.05 %, Test Accuracy: 1.04 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.09 %
Epoch 7, Train Accuracy: 1.08 %, Test Accuracy: 1.18 %
Epoch 8, Train Accuracy: 1.15 %, Test Accuracy: 1.26 %
Epoch 9, Train Accuracy: 1.45 %, Test Accuracy: 1.82 %
Epoch 10, Train Accuracy: 2.11 %, Test Accuracy: 2.66 %
Epoch 11, Train Accuracy: 2.64 %, Test Accuracy: 3.36 %
Epoch 12, Train Accuracy: 3.20 %, Test Accuracy: 3.95 %
Epoch 13, Train Accuracy: 3.98 %, Test Accuracy: 4.42 %
Epoch 14, Train Accuracy: 4.85 %, Test Accuracy: 5.50 %
Epoch 15, Train Accuracy: 6.47 %, Test Accuracy: 8.28 %
Epoch 16, Train Accuracy: 8.77 %, Test Accuracy: 10.60 %
Epoch 17, Train Accuracy: 11.68 %, Test Accuracy: 11.89 %
Epoch 18, Train Accuracy: 14.21 %, Test Accuracy: 16.46 %
Epoch 19, Train Accuracy: 18.24 %, Test Accuracy: 20.39 %
Epoch 20, Train Accuracy: 21.64 %, Test Accuracy: 23.21 %
Epoch 21, Train Accuracy: 24.98 %, Test Accuracy: 26.20 %
Epoch 22, Train Accuracy: 27.89 %, Test Accuracy: 28.81 %
Epoch 23, Train Accuracy: 31.12 %, Test Accuracy: 31.61 %
Epoch 24, Train Accuracy: 34.18 %, Test Accuracy: 34.25 %
Epoch 25, Train Accuracy: 37.39 %, Test Accuracy: 37.18 %
Epoch 26, Train Accuracy: 39.77 %, Test Accuracy: 40.66 %
Epoch 27, Train Accuracy: 42.23 %, Test Accuracy: 42.70 %
Epoch 28, Train Accuracy: 44.93 %, Test Accuracy: 44.98 %
Epoch 29, Train Accuracy: 47.17 %, Test Accuracy: 46.92 %
Epoch 30, Train Accuracy: 49.38 %, Test Accuracy: 48.13 %
Epoch 31, Train Accuracy: 51.51 %, Test Accuracy: 49.79 %
