NODE=[HOST_e8d809bd94] | JOB=cwd2-k01WD0-s132 5045381 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 132 --save-directory cluster/Account2/metaopt/runs/cwd2 --run-name cwd2-k01WD0-s132
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd2/probe_cwd2-k01WD0-s132 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
COMP_HOLD: off
WINDOW_HOLD: off
DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.1.bn2.weight masked=1 of=53 numel=512 idx=50 names=layer4.1.bn2.weight
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd2/probe_cwd2-k01WD0-s132
Epoch 0, Train Accuracy: 0.96 %, Test Accuracy: 0.98 %
Epoch 1, Train Accuracy: 1.04 %, Test Accuracy: 0.94 %
Epoch 2, Train Accuracy: 1.03 %, Test Accuracy: 0.97 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 0.97 %
Epoch 4, Train Accuracy: 1.00 %, Test Accuracy: 1.02 %
Epoch 5, Train Accuracy: 1.05 %, Test Accuracy: 1.04 %
Epoch 6, Train Accuracy: 1.06 %, Test Accuracy: 1.09 %
Epoch 7, Train Accuracy: 1.09 %, Test Accuracy: 1.10 %
Epoch 8, Train Accuracy: 1.20 %, Test Accuracy: 1.31 %
Epoch 9, Train Accuracy: 1.45 %, Test Accuracy: 1.75 %
Epoch 10, Train Accuracy: 2.16 %, Test Accuracy: 2.54 %
Epoch 11, Train Accuracy: 2.70 %, Test Accuracy: 3.13 %
Epoch 12, Train Accuracy: 3.20 %, Test Accuracy: 3.95 %
Epoch 13, Train Accuracy: 3.84 %, Test Accuracy: 4.33 %
Epoch 14, Train Accuracy: 4.89 %, Test Accuracy: 5.46 %
Epoch 15, Train Accuracy: 6.42 %, Test Accuracy: 8.04 %
Epoch 16, Train Accuracy: 9.00 %, Test Accuracy: 10.80 %
Epoch 17, Train Accuracy: 11.69 %, Test Accuracy: 13.56 %
Epoch 18, Train Accuracy: 14.20 %, Test Accuracy: 16.24 %
Epoch 19, Train Accuracy: 18.05 %, Test Accuracy: 20.57 %
Epoch 20, Train Accuracy: 21.80 %, Test Accuracy: 23.88 %
Epoch 21, Train Accuracy: 24.90 %, Test Accuracy: 27.76 %
Epoch 22, Train Accuracy: 28.02 %, Test Accuracy: 29.29 %
Epoch 23, Train Accuracy: 31.42 %, Test Accuracy: 32.36 %
Epoch 24, Train Accuracy: 34.41 %, Test Accuracy: 36.27 %
Epoch 25, Train Accuracy: 37.22 %, Test Accuracy: 37.20 %
Epoch 26, Train Accuracy: 40.80 %, Test Accuracy: 40.96 %
Epoch 27, Train Accuracy: 43.44 %, Test Accuracy: 42.98 %
Epoch 28, Train Accuracy: 45.69 %, Test Accuracy: 45.99 %
Epoch 29, Train Accuracy: 48.48 %, Test Accuracy: 46.35 %
Epoch 30, Train Accuracy: 50.36 %, Test Accuracy: 47.95 %
Epoch 31, Train Accuracy: 52.39 %, Test Accuracy: 50.05 %
Epoch 32, Train Accuracy: 54.52 %, Test Accuracy: 52.59 %
Epoch 33, Train Accuracy: 56.59 %, Test Accuracy: 53.40 %
Epoch 34, Train Accuracy: 58.29 %, Test Accuracy: 55.41 %
Epoch 35, Train Accuracy: 60.08 %, Test Accuracy: 56.29 %
Epoch 36, Train Accuracy: 61.40 %, Test Accuracy: 57.16 %
Epoch 37, Train Accuracy: 63.74 %, Test Accuracy: 58.45 %
Epoch 38, Train Accuracy: 65.21 %, Test Accuracy: 58.72 %
