NODE=[HOST_f0845cc956] | JOB=cwd4-ONE59-s145 5051839 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 145 --save-directory cluster/Account2/metaopt/runs/cwd4 --run-name cwd4-ONE59-s145
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd4/probe_cwd4-ONE59-s145 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.1.bn2.weight masked=1 of=62 numel=512 idx=59 names=layer4.1.bn2.weight
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd4/probe_cwd4-ONE59-s145
Epoch 0, Train Accuracy: 0.93 %, Test Accuracy: 0.91 %
Epoch 1, Train Accuracy: 0.92 %, Test Accuracy: 0.88 %
Epoch 2, Train Accuracy: 1.00 %, Test Accuracy: 0.90 %
Epoch 3, Train Accuracy: 1.04 %, Test Accuracy: 0.91 %
Epoch 4, Train Accuracy: 1.04 %, Test Accuracy: 0.98 %
Epoch 5, Train Accuracy: 1.07 %, Test Accuracy: 1.04 %
Epoch 6, Train Accuracy: 1.26 %, Test Accuracy: 1.22 %
Epoch 7, Train Accuracy: 1.47 %, Test Accuracy: 1.61 %
Epoch 8, Train Accuracy: 1.77 %, Test Accuracy: 2.31 %
Epoch 9, Train Accuracy: 2.41 %, Test Accuracy: 3.15 %
Epoch 10, Train Accuracy: 3.74 %, Test Accuracy: 4.61 %
Epoch 11, Train Accuracy: 5.32 %, Test Accuracy: 6.29 %
Epoch 12, Train Accuracy: 6.66 %, Test Accuracy: 7.63 %
Epoch 13, Train Accuracy: 8.21 %, Test Accuracy: 9.59 %
Epoch 14, Train Accuracy: 10.24 %, Test Accuracy: 11.56 %
Epoch 15, Train Accuracy: 12.19 %, Test Accuracy: 13.67 %
Epoch 16, Train Accuracy: 14.46 %, Test Accuracy: 15.18 %
Epoch 17, Train Accuracy: 16.46 %, Test Accuracy: 18.71 %
Epoch 18, Train Accuracy: 20.31 %, Test Accuracy: 21.91 %
Epoch 19, Train Accuracy: 24.45 %, Test Accuracy: 26.50 %
Epoch 20, Train Accuracy: 27.67 %, Test Accuracy: 28.13 %
Epoch 21, Train Accuracy: 30.10 %, Test Accuracy: 31.31 %
Epoch 22, Train Accuracy: 32.29 %, Test Accuracy: 32.91 %
Epoch 23, Train Accuracy: 34.40 %, Test Accuracy: 34.33 %
Epoch 24, Train Accuracy: 36.88 %, Test Accuracy: 37.64 %
Epoch 25, Train Accuracy: 38.61 %, Test Accuracy: 39.44 %
