NODE=[HOST_03eb56b6d1] | JOB=cwd5-k01W1-s147 5052152 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 147 --save-directory cluster/Account2/metaopt/runs/cwd5 --run-name cwd5-k01W1-s147
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-k01W1-s147 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-k01W1-s147
Epoch 0, Train Accuracy: 0.95 %, Test Accuracy: 1.01 %
Epoch 1, Train Accuracy: 0.93 %, Test Accuracy: 1.01 %
Epoch 2, Train Accuracy: 0.97 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 1.02 %, Test Accuracy: 1.01 %
Epoch 4, Train Accuracy: 0.98 %, Test Accuracy: 1.05 %
Epoch 5, Train Accuracy: 0.95 %, Test Accuracy: 1.07 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.14 %
Epoch 7, Train Accuracy: 1.13 %, Test Accuracy: 1.27 %
Epoch 8, Train Accuracy: 1.53 %, Test Accuracy: 2.12 %
Epoch 9, Train Accuracy: 2.52 %, Test Accuracy: 3.34 %
Epoch 10, Train Accuracy: 3.39 %, Test Accuracy: 4.12 %
Epoch 11, Train Accuracy: 4.52 %, Test Accuracy: 5.62 %
Epoch 12, Train Accuracy: 6.20 %, Test Accuracy: 7.27 %
Epoch 13, Train Accuracy: 7.93 %, Test Accuracy: 9.33 %
Epoch 14, Train Accuracy: 9.82 %, Test Accuracy: 10.83 %
Epoch 15, Train Accuracy: 11.28 %, Test Accuracy: 12.59 %
Epoch 16, Train Accuracy: 13.15 %, Test Accuracy: 13.43 %
Epoch 17, Train Accuracy: 14.62 %, Test Accuracy: 16.22 %
Epoch 18, Train Accuracy: 16.79 %, Test Accuracy: 18.20 %
Epoch 19, Train Accuracy: 18.18 %, Test Accuracy: 19.10 %
Epoch 20, Train Accuracy: 19.63 %, Test Accuracy: 20.82 %
Epoch 21, Train Accuracy: 20.73 %, Test Accuracy: 21.13 %
Epoch 22, Train Accuracy: 21.43 %, Test Accuracy: 21.65 %
Epoch 23, Train Accuracy: 21.91 %, Test Accuracy: 22.20 %
Epoch 24, Train Accuracy: 22.29 %, Test Accuracy: 22.87 %
Epoch 25, Train Accuracy: 22.52 %, Test Accuracy: 22.84 %
Epoch 26, Train Accuracy: 22.49 %, Test Accuracy: 22.92 %
Epoch 27, Train Accuracy: 22.77 %, Test Accuracy: 23.02 %
Epoch 28, Train Accuracy: 22.79 %, Test Accuracy: 23.06 %
Epoch 29, Train Accuracy: 22.68 %, Test Accuracy: 22.90 %
Epoch 30, Train Accuracy: 22.76 %, Test Accuracy: 22.99 %
Epoch 31, Train Accuracy: 22.93 %, Test Accuracy: 23.19 %
Epoch 32, Train Accuracy: 22.81 %, Test Accuracy: 23.00 %
Epoch 33, Train Accuracy: 22.72 %, Test Accuracy: 22.96 %
Epoch 34, Train Accuracy: 22.83 %, Test Accuracy: 23.02 %
Epoch 35, Train Accuracy: 22.85 %, Test Accuracy: 22.94 %
Epoch 36, Train Accuracy: 22.97 %, Test Accuracy: 23.11 %
Epoch 37, Train Accuracy: 22.93 %, Test Accuracy: 23.19 %
Epoch 38, Train Accuracy: 22.92 %, Test Accuracy: 23.11 %
Epoch 39, Train Accuracy: 22.88 %, Test Accuracy: 23.16 %
Epoch 40, Train Accuracy: 22.80 %, Test Accuracy: 23.23 %
Epoch 41, Train Accuracy: 22.84 %, Test Accuracy: 22.99 %
Epoch 42, Train Accuracy: 22.94 %, Test Accuracy: 23.02 %
Epoch 43, Train Accuracy: 23.03 %, Test Accuracy: 22.98 %
Epoch 44, Train Accuracy: 22.88 %, Test Accuracy: 23.07 %
Epoch 45, Train Accuracy: 22.86 %, Test Accuracy: 23.03 %
Epoch 46, Train Accuracy: 22.73 %, Test Accuracy: 23.19 %
Epoch 47, Train Accuracy: 22.73 %, Test Accuracy: 23.00 %
Epoch 48, Train Accuracy: 22.89 %, Test Accuracy: 23.21 %
Epoch 49, Train Accuracy: 22.80 %, Test Accuracy: 23.07 %
Epoch 50, Train Accuracy: 22.80 %, Test Accuracy: 23.03 %
Epoch 51, Train Accuracy: 22.88 %, Test Accuracy: 23.06 %
Epoch 52, Train Accuracy: 22.92 %, Test Accuracy: 23.05 %
