NODE=[HOST_f0845cc956] | JOB=cwd5-k01W4-s148 5052167 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 5e-4 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 148 --save-directory cluster/Account2/metaopt/runs/cwd5 --run-name cwd5-k01W4-s148
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-k01W4-s148 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-k01W4-s148
Epoch 0, Train Accuracy: 0.77 %, Test Accuracy: 0.87 %
Epoch 1, Train Accuracy: 0.78 %, Test Accuracy: 0.87 %
Epoch 2, Train Accuracy: 0.78 %, Test Accuracy: 0.87 %
Epoch 3, Train Accuracy: 0.77 %, Test Accuracy: 0.89 %
Epoch 4, Train Accuracy: 0.77 %, Test Accuracy: 0.93 %
Epoch 5, Train Accuracy: 0.80 %, Test Accuracy: 0.95 %
Epoch 6, Train Accuracy: 0.79 %, Test Accuracy: 0.98 %
Epoch 7, Train Accuracy: 0.81 %, Test Accuracy: 1.20 %
Epoch 8, Train Accuracy: 1.11 %, Test Accuracy: 1.65 %
Epoch 9, Train Accuracy: 1.82 %, Test Accuracy: 2.62 %
Epoch 10, Train Accuracy: 2.97 %, Test Accuracy: 4.07 %
Epoch 11, Train Accuracy: 4.54 %, Test Accuracy: 5.46 %
Epoch 12, Train Accuracy: 6.29 %, Test Accuracy: 7.53 %
Epoch 13, Train Accuracy: 8.13 %, Test Accuracy: 9.29 %
Epoch 14, Train Accuracy: 10.23 %, Test Accuracy: 11.40 %
Epoch 15, Train Accuracy: 12.62 %, Test Accuracy: 13.71 %
Epoch 16, Train Accuracy: 15.38 %, Test Accuracy: 16.47 %
Epoch 17, Train Accuracy: 18.23 %, Test Accuracy: 20.15 %
Epoch 18, Train Accuracy: 22.12 %, Test Accuracy: 25.12 %
Epoch 19, Train Accuracy: 26.61 %, Test Accuracy: 29.31 %
Epoch 20, Train Accuracy: 31.83 %, Test Accuracy: 34.55 %
Epoch 21, Train Accuracy: 37.03 %, Test Accuracy: 39.43 %
Epoch 22, Train Accuracy: 41.54 %, Test Accuracy: 41.72 %
Epoch 23, Train Accuracy: 44.71 %, Test Accuracy: 45.67 %
