NODE=[HOST_03eb56b6d1] | JOB=cwd5-kLW2-s148 5052164 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 1e-2 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 148 --save-directory cluster/Account2/metaopt/runs/cwd5 --run-name cwd5-kLW2-s148
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-kLW2-s148 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-kLW2-s148
Epoch 0, Train Accuracy: 0.77 %, Test Accuracy: 0.87 %
Epoch 1, Train Accuracy: 0.78 %, Test Accuracy: 0.86 %
Epoch 2, Train Accuracy: 0.77 %, Test Accuracy: 0.88 %
Epoch 3, Train Accuracy: 0.77 %, Test Accuracy: 0.89 %
Epoch 4, Train Accuracy: 0.78 %, Test Accuracy: 0.93 %
Epoch 5, Train Accuracy: 0.80 %, Test Accuracy: 0.95 %
Epoch 6, Train Accuracy: 0.79 %, Test Accuracy: 0.98 %
Epoch 7, Train Accuracy: 0.81 %, Test Accuracy: 1.20 %
Epoch 8, Train Accuracy: 1.11 %, Test Accuracy: 1.66 %
Epoch 9, Train Accuracy: 1.82 %, Test Accuracy: 2.60 %
Epoch 10, Train Accuracy: 2.94 %, Test Accuracy: 4.01 %
Epoch 11, Train Accuracy: 4.55 %, Test Accuracy: 5.51 %
Epoch 12, Train Accuracy: 6.27 %, Test Accuracy: 7.41 %
Epoch 13, Train Accuracy: 8.04 %, Test Accuracy: 9.22 %
Epoch 14, Train Accuracy: 10.13 %, Test Accuracy: 11.36 %
Epoch 15, Train Accuracy: 12.55 %, Test Accuracy: 13.57 %
Epoch 16, Train Accuracy: 15.26 %, Test Accuracy: 16.31 %
Epoch 17, Train Accuracy: 18.16 %, Test Accuracy: 20.06 %
Epoch 18, Train Accuracy: 22.46 %, Test Accuracy: 25.71 %
Epoch 19, Train Accuracy: 27.49 %, Test Accuracy: 28.10 %
Epoch 20, Train Accuracy: 31.95 %, Test Accuracy: 36.91 %
Epoch 21, Train Accuracy: 37.49 %, Test Accuracy: 37.89 %
Epoch 22, Train Accuracy: 41.15 %, Test Accuracy: 42.76 %
Epoch 23, Train Accuracy: 44.67 %, Test Accuracy: 44.38 %
Epoch 24, Train Accuracy: 48.16 %, Test Accuracy: 47.00 %
Epoch 25, Train Accuracy: 50.92 %, Test Accuracy: 48.18 %
Epoch 26, Train Accuracy: 53.50 %, Test Accuracy: 51.82 %
Epoch 27, Train Accuracy: 56.12 %, Test Accuracy: 53.20 %
Epoch 28, Train Accuracy: 58.40 %, Test Accuracy: 53.13 %
Epoch 29, Train Accuracy: 59.97 %, Test Accuracy: 56.00 %
Epoch 30, Train Accuracy: 62.35 %, Test Accuracy: 56.96 %
Epoch 31, Train Accuracy: 64.27 %, Test Accuracy: 58.56 %
