NODE=[HOST_f0845cc956] | JOB=cwd5-kLW4-s147 5052159 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 5e-4 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 147 --save-directory cluster/Account2/metaopt/runs/cwd5 --run-name cwd5-kLW4-s147
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-kLW4-s147 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-kLW4-s147
Epoch 0, Train Accuracy: 0.95 %, Test Accuracy: 1.01 %
Epoch 1, Train Accuracy: 0.93 %, Test Accuracy: 1.01 %
Epoch 2, Train Accuracy: 0.97 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 1.02 %, Test Accuracy: 1.01 %
Epoch 4, Train Accuracy: 0.98 %, Test Accuracy: 1.05 %
Epoch 5, Train Accuracy: 0.95 %, Test Accuracy: 1.08 %
Epoch 6, Train Accuracy: 1.06 %, Test Accuracy: 1.14 %
Epoch 7, Train Accuracy: 1.14 %, Test Accuracy: 1.31 %
Epoch 8, Train Accuracy: 1.54 %, Test Accuracy: 2.07 %
Epoch 9, Train Accuracy: 2.51 %, Test Accuracy: 3.29 %
Epoch 10, Train Accuracy: 3.34 %, Test Accuracy: 4.18 %
Epoch 11, Train Accuracy: 4.57 %, Test Accuracy: 5.67 %
Epoch 12, Train Accuracy: 6.20 %, Test Accuracy: 7.20 %
Epoch 13, Train Accuracy: 8.00 %, Test Accuracy: 9.64 %
Epoch 14, Train Accuracy: 10.18 %, Test Accuracy: 11.69 %
Epoch 15, Train Accuracy: 12.33 %, Test Accuracy: 14.11 %
Epoch 16, Train Accuracy: 14.97 %, Test Accuracy: 17.25 %
Epoch 17, Train Accuracy: 18.49 %, Test Accuracy: 21.72 %
Epoch 18, Train Accuracy: 22.63 %, Test Accuracy: 25.28 %
Epoch 19, Train Accuracy: 26.93 %, Test Accuracy: 28.93 %
Epoch 20, Train Accuracy: 31.75 %, Test Accuracy: 32.74 %
Epoch 21, Train Accuracy: 36.86 %, Test Accuracy: 39.15 %
Epoch 22, Train Accuracy: 40.73 %, Test Accuracy: 41.71 %
Epoch 23, Train Accuracy: 44.98 %, Test Accuracy: 43.43 %
Epoch 24, Train Accuracy: 48.02 %, Test Accuracy: 47.91 %
Epoch 25, Train Accuracy: 51.25 %, Test Accuracy: 48.93 %
Epoch 26, Train Accuracy: 54.03 %, Test Accuracy: 51.53 %
Epoch 27, Train Accuracy: 56.70 %, Test Accuracy: 53.39 %
Epoch 28, Train Accuracy: 59.63 %, Test Accuracy: 54.99 %
Epoch 29, Train Accuracy: 61.64 %, Test Accuracy: 56.69 %
Epoch 30, Train Accuracy: 63.61 %, Test Accuracy: 56.45 %
Epoch 31, Train Accuracy: 65.19 %, Test Accuracy: 56.49 %
Epoch 32, Train Accuracy: 67.21 %, Test Accuracy: 58.92 %
Epoch 33, Train Accuracy: 68.94 %, Test Accuracy: 59.11 %
Epoch 34, Train Accuracy: 70.89 %, Test Accuracy: 60.81 %
Epoch 35, Train Accuracy: 72.50 %, Test Accuracy: 61.28 %
Epoch 36, Train Accuracy: 73.77 %, Test Accuracy: 62.26 %
Epoch 37, Train Accuracy: 75.02 %, Test Accuracy: 62.14 %
Epoch 38, Train Accuracy: 77.26 %, Test Accuracy: 62.98 %
Epoch 39, Train Accuracy: 78.45 %, Test Accuracy: 62.94 %
Epoch 40, Train Accuracy: 79.61 %, Test Accuracy: 63.95 %
Epoch 41, Train Accuracy: 80.80 %, Test Accuracy: 64.01 %
Epoch 42, Train Accuracy: 82.40 %, Test Accuracy: 63.81 %
Epoch 43, Train Accuracy: 84.18 %, Test Accuracy: 64.04 %
Epoch 44, Train Accuracy: 84.62 %, Test Accuracy: 63.96 %
Epoch 45, Train Accuracy: 86.06 %, Test Accuracy: 64.51 %
Epoch 46, Train Accuracy: 87.18 %, Test Accuracy: 64.66 %
Epoch 47, Train Accuracy: 87.89 %, Test Accuracy: 64.83 %
Epoch 48, Train Accuracy: 89.03 %, Test Accuracy: 64.49 %
Epoch 49, Train Accuracy: 89.56 %, Test Accuracy: 65.48 %
Epoch 50, Train Accuracy: 91.31 %, Test Accuracy: 65.48 %
Epoch 51, Train Accuracy: 91.75 %, Test Accuracy: 66.58 %
Epoch 52, Train Accuracy: 92.41 %, Test Accuracy: 66.04 %
