NODE=[HOST_6dc36997e3] | JOB=cx2-k8192-s0 4708794
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk8192 --seed 0 --save-directory cluster/Account1/metaopt/runs/cx2 --run-name cx2-k8192-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/cx2/probe_k8192_cx2_s0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.07 %, Test Accuracy: 29.82 %
Epoch 1, Train Accuracy: 34.05 %, Test Accuracy: 38.06 %
Epoch 2, Train Accuracy: 39.61 %, Test Accuracy: 42.54 %
Epoch 3, Train Accuracy: 44.13 %, Test Accuracy: 46.70 %
Epoch 4, Train Accuracy: 48.09 %, Test Accuracy: 51.34 %
Epoch 5, Train Accuracy: 52.63 %, Test Accuracy: 54.68 %
Epoch 6, Train Accuracy: 56.07 %, Test Accuracy: 58.99 %
Epoch 7, Train Accuracy: 60.14 %, Test Accuracy: 61.86 %
Epoch 8, Train Accuracy: 63.13 %, Test Accuracy: 64.62 %
Epoch 9, Train Accuracy: 65.58 %, Test Accuracy: 66.78 %
Epoch 10, Train Accuracy: 68.58 %, Test Accuracy: 68.37 %
Epoch 11, Train Accuracy: 71.18 %, Test Accuracy: 71.28 %
Epoch 12, Train Accuracy: 73.21 %, Test Accuracy: 72.24 %
Epoch 13, Train Accuracy: 76.09 %, Test Accuracy: 76.13 %
Epoch 14, Train Accuracy: 77.05 %, Test Accuracy: 78.36 %
Epoch 15, Train Accuracy: 79.33 %, Test Accuracy: 77.57 %
Epoch 16, Train Accuracy: 80.58 %, Test Accuracy: 80.57 %
Epoch 17, Train Accuracy: 81.85 %, Test Accuracy: 80.84 %
Epoch 18, Train Accuracy: 82.99 %, Test Accuracy: 81.30 %
Epoch 19, Train Accuracy: 84.04 %, Test Accuracy: 81.56 %
Epoch 20, Train Accuracy: 84.85 %, Test Accuracy: 83.87 %
Epoch 21, Train Accuracy: 86.04 %, Test Accuracy: 83.39 %
Epoch 22, Train Accuracy: 86.26 %, Test Accuracy: 83.99 %
Epoch 23, Train Accuracy: 86.41 %, Test Accuracy: 84.64 %
Epoch 24, Train Accuracy: 87.50 %, Test Accuracy: 86.31 %
Epoch 25, Train Accuracy: 88.34 %, Test Accuracy: 86.05 %
Epoch 26, Train Accuracy: 89.15 %, Test Accuracy: 85.35 %
Epoch 27, Train Accuracy: 88.93 %, Test Accuracy: 85.46 %
