NODE=[HOST_bcfd0fc19c] | JOB=d4-clipW-s0 4679606
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/d4 --run-name d4_clipW_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.77 %, Test Accuracy: 12.95 %
Epoch 2, Train Accuracy: 13.04 %, Test Accuracy: 13.19 %
Epoch 3, Train Accuracy: 13.50 %, Test Accuracy: 13.54 %
Epoch 4, Train Accuracy: 13.72 %, Test Accuracy: 13.73 %
Epoch 5, Train Accuracy: 14.58 %, Test Accuracy: 14.49 %
Epoch 6, Train Accuracy: 15.75 %, Test Accuracy: 15.26 %
Epoch 7, Train Accuracy: 17.22 %, Test Accuracy: 17.05 %
Epoch 8, Train Accuracy: 19.30 %, Test Accuracy: 18.85 %
Epoch 9, Train Accuracy: 21.06 %, Test Accuracy: 20.77 %
Epoch 10, Train Accuracy: 23.32 %, Test Accuracy: 23.79 %
Epoch 11, Train Accuracy: 25.86 %, Test Accuracy: 26.00 %
Epoch 12, Train Accuracy: 27.99 %, Test Accuracy: 28.08 %
Epoch 13, Train Accuracy: 30.09 %, Test Accuracy: 30.74 %
Epoch 14, Train Accuracy: 32.07 %, Test Accuracy: 33.24 %
Epoch 15, Train Accuracy: 33.79 %, Test Accuracy: 35.38 %
Epoch 16, Train Accuracy: 35.21 %, Test Accuracy: 37.89 %
Epoch 17, Train Accuracy: 36.85 %, Test Accuracy: 39.46 %
Epoch 18, Train Accuracy: 38.75 %, Test Accuracy: 41.10 %
Epoch 19, Train Accuracy: 40.30 %, Test Accuracy: 42.75 %
Epoch 20, Train Accuracy: 41.76 %, Test Accuracy: 43.85 %
Epoch 21, Train Accuracy: 43.49 %, Test Accuracy: 45.54 %
