NODE=[HOST_7b4dd78541] | JOB=dc-sg-a1e3-s3 4683420
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --alpha0 1e-3 --stepsize-groups layerwise --seed 3 --save-directory cluster/Account1/metaopt/runs/dc --run-name dc-sg-a1e3-s3
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.16 %, Test Accuracy: 32.01 %
Epoch 1, Train Accuracy: 36.59 %, Test Accuracy: 42.71 %
Epoch 2, Train Accuracy: 43.85 %, Test Accuracy: 48.30 %
Epoch 3, Train Accuracy: 49.61 %, Test Accuracy: 52.49 %
Epoch 4, Train Accuracy: 56.36 %, Test Accuracy: 59.94 %
Epoch 5, Train Accuracy: 61.61 %, Test Accuracy: 64.44 %
Epoch 6, Train Accuracy: 66.34 %, Test Accuracy: 67.08 %
Epoch 7, Train Accuracy: 71.07 %, Test Accuracy: 71.29 %
Epoch 8, Train Accuracy: 73.34 %, Test Accuracy: 70.89 %
Epoch 9, Train Accuracy: 75.91 %, Test Accuracy: 75.42 %
Epoch 10, Train Accuracy: 78.33 %, Test Accuracy: 75.57 %
Epoch 11, Train Accuracy: 79.58 %, Test Accuracy: 80.98 %
Epoch 12, Train Accuracy: 80.54 %, Test Accuracy: 77.24 %
Epoch 13, Train Accuracy: 80.92 %, Test Accuracy: 80.95 %
Epoch 14, Train Accuracy: 83.14 %, Test Accuracy: 80.92 %
Epoch 15, Train Accuracy: 84.43 %, Test Accuracy: 82.14 %
Epoch 16, Train Accuracy: 85.20 %, Test Accuracy: 85.59 %
Epoch 17, Train Accuracy: 86.77 %, Test Accuracy: 85.67 %
Epoch 18, Train Accuracy: 88.55 %, Test Accuracy: 87.25 %
Epoch 19, Train Accuracy: 90.25 %, Test Accuracy: 88.92 %
Epoch 20, Train Accuracy: 91.49 %, Test Accuracy: 89.48 %
Epoch 21, Train Accuracy: 92.46 %, Test Accuracy: 88.96 %
Epoch 22, Train Accuracy: 93.04 %, Test Accuracy: 90.93 %
Epoch 23, Train Accuracy: 93.83 %, Test Accuracy: 90.22 %
Epoch 24, Train Accuracy: 93.98 %, Test Accuracy: 91.19 %
Epoch 25, Train Accuracy: 94.55 %, Test Accuracy: 91.06 %
Epoch 26, Train Accuracy: 94.63 %, Test Accuracy: 90.97 %
Epoch 27, Train Accuracy: 94.94 %, Test Accuracy: 92.04 %
Epoch 28, Train Accuracy: 95.36 %, Test Accuracy: 91.45 %
Epoch 29, Train Accuracy: 95.35 %, Test Accuracy: 92.02 %
Epoch 30, Train Accuracy: 95.61 %, Test Accuracy: 91.84 %
Epoch 31, Train Accuracy: 95.62 %, Test Accuracy: 92.05 %
Epoch 32, Train Accuracy: 95.88 %, Test Accuracy: 91.86 %
Epoch 33, Train Accuracy: 96.13 %, Test Accuracy: 92.23 %
Epoch 34, Train Accuracy: 96.11 %, Test Accuracy: 92.10 %
Epoch 35, Train Accuracy: 96.23 %, Test Accuracy: 91.90 %
Epoch 36, Train Accuracy: 96.48 %, Test Accuracy: 92.42 %
Epoch 37, Train Accuracy: 96.48 %, Test Accuracy: 92.13 %
Epoch 38, Train Accuracy: 96.63 %, Test Accuracy: 92.09 %
Epoch 39, Train Accuracy: 96.54 %, Test Accuracy: 91.90 %
Epoch 40, Train Accuracy: 96.75 %, Test Accuracy: 92.11 %
Epoch 41, Train Accuracy: 96.86 %, Test Accuracy: 92.21 %
Epoch 42, Train Accuracy: 96.76 %, Test Accuracy: 92.44 %
Epoch 43, Train Accuracy: 96.94 %, Test Accuracy: 92.31 %
Epoch 44, Train Accuracy: 97.20 %, Test Accuracy: 92.28 %
Epoch 45, Train Accuracy: 97.04 %, Test Accuracy: 92.51 %
Epoch 46, Train Accuracy: 97.28 %, Test Accuracy: 92.31 %
Epoch 47, Train Accuracy: 97.16 %, Test Accuracy: 91.87 %
Epoch 48, Train Accuracy: 97.34 %, Test Accuracy: 92.00 %
Epoch 49, Train Accuracy: 97.51 %, Test Accuracy: 92.54 %
Epoch 50, Train Accuracy: 97.48 %, Test Accuracy: 92.22 %
Epoch 51, Train Accuracy: 97.59 %, Test Accuracy: 92.53 %
Epoch 52, Train Accuracy: 97.56 %, Test Accuracy: 92.46 %
Epoch 53, Train Accuracy: 97.55 %, Test Accuracy: 92.43 %
Epoch 54, Train Accuracy: 97.81 %, Test Accuracy: 92.43 %
Epoch 55, Train Accuracy: 97.88 %, Test Accuracy: 92.06 %
Epoch 56, Train Accuracy: 97.80 %, Test Accuracy: 92.27 %
Epoch 57, Train Accuracy: 97.88 %, Test Accuracy: 92.14 %
Epoch 58, Train Accuracy: 97.81 %, Test Accuracy: 92.01 %
Epoch 59, Train Accuracy: 98.02 %, Test Accuracy: 92.12 %
Epoch 60, Train Accuracy: 97.91 %, Test Accuracy: 92.37 %
Epoch 61, Train Accuracy: 97.93 %, Test Accuracy: 92.29 %
Epoch 62, Train Accuracy: 97.88 %, Test Accuracy: 91.97 %
Epoch 63, Train Accuracy: 98.15 %, Test Accuracy: 92.11 %
Epoch 64, Train Accuracy: 98.11 %, Test Accuracy: 92.32 %
Epoch 65, Train Accuracy: 98.02 %, Test Accuracy: 92.42 %
Epoch 66, Train Accuracy: 98.20 %, Test Accuracy: 92.65 %
Epoch 67, Train Accuracy: 98.29 %, Test Accuracy: 92.21 %
Epoch 68, Train Accuracy: 98.32 %, Test Accuracy: 91.98 %
Epoch 69, Train Accuracy: 98.20 %, Test Accuracy: 92.49 %
Epoch 70, Train Accuracy: 98.35 %, Test Accuracy: 92.37 %
Epoch 71, Train Accuracy: 98.24 %, Test Accuracy: 92.27 %
Epoch 72, Train Accuracy: 98.24 %, Test Accuracy: 92.18 %
Epoch 73, Train Accuracy: 98.41 %, Test Accuracy: 92.25 %
Epoch 74, Train Accuracy: 98.42 %, Test Accuracy: 92.14 %
Epoch 75, Train Accuracy: 98.52 %, Test Accuracy: 92.35 %
Epoch 76, Train Accuracy: 98.51 %, Test Accuracy: 92.19 %
Epoch 77, Train Accuracy: 98.33 %, Test Accuracy: 92.16 %
Epoch 78, Train Accuracy: 98.45 %, Test Accuracy: 91.62 %
Epoch 79, Train Accuracy: 98.60 %, Test Accuracy: 91.87 %
Epoch 80, Train Accuracy: 98.49 %, Test Accuracy: 92.52 %
Epoch 81, Train Accuracy: 98.58 %, Test Accuracy: 92.40 %
Epoch 82, Train Accuracy: 98.60 %, Test Accuracy: 92.37 %
Epoch 83, Train Accuracy: 98.65 %, Test Accuracy: 92.28 %
Epoch 84, Train Accuracy: 98.60 %, Test Accuracy: 92.45 %
Epoch 85, Train Accuracy: 98.64 %, Test Accuracy: 91.77 %
Epoch 86, Train Accuracy: 98.63 %, Test Accuracy: 92.76 %
Epoch 87, Train Accuracy: 98.66 %, Test Accuracy: 92.61 %
Epoch 88, Train Accuracy: 98.50 %, Test Accuracy: 92.20 %
Epoch 89, Train Accuracy: 98.72 %, Test Accuracy: 92.41 %
Epoch 90, Train Accuracy: 98.74 %, Test Accuracy: 92.58 %
Epoch 91, Train Accuracy: 98.84 %, Test Accuracy: 92.74 %
Epoch 92, Train Accuracy: 98.84 %, Test Accuracy: 92.17 %
Epoch 93, Train Accuracy: 98.82 %, Test Accuracy: 92.58 %
Epoch 94, Train Accuracy: 98.90 %, Test Accuracy: 92.52 %
Epoch 95, Train Accuracy: 98.68 %, Test Accuracy: 92.33 %
Epoch 96, Train Accuracy: 98.71 %, Test Accuracy: 92.38 %
Epoch 97, Train Accuracy: 98.79 %, Test Accuracy: 92.41 %
Epoch 98, Train Accuracy: 98.91 %, Test Accuracy: 92.01 %
Epoch 99, Train Accuracy: 98.92 %, Test Accuracy: 91.89 %
30  minutes
RUN_DONE
