NODE=[HOST_2f2f29d9e1] | JOB=dc-sg-a1e4-s2 4683416
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --alpha0 1e-4 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/dc --run-name dc-sg-a1e4-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.89 %, Test Accuracy: 17.70 %
Epoch 1, Train Accuracy: 20.32 %, Test Accuracy: 22.42 %
Epoch 2, Train Accuracy: 25.51 %, Test Accuracy: 27.29 %
Epoch 3, Train Accuracy: 30.59 %, Test Accuracy: 33.25 %
Epoch 4, Train Accuracy: 35.28 %, Test Accuracy: 38.18 %
Epoch 5, Train Accuracy: 40.02 %, Test Accuracy: 42.42 %
Epoch 6, Train Accuracy: 44.08 %, Test Accuracy: 47.27 %
Epoch 7, Train Accuracy: 48.44 %, Test Accuracy: 51.74 %
Epoch 8, Train Accuracy: 53.43 %, Test Accuracy: 54.53 %
Epoch 9, Train Accuracy: 57.65 %, Test Accuracy: 54.63 %
Epoch 10, Train Accuracy: 62.11 %, Test Accuracy: 62.89 %
Epoch 11, Train Accuracy: 66.80 %, Test Accuracy: 68.56 %
Epoch 12, Train Accuracy: 69.68 %, Test Accuracy: 70.79 %
Epoch 13, Train Accuracy: 72.93 %, Test Accuracy: 72.42 %
Epoch 14, Train Accuracy: 76.37 %, Test Accuracy: 76.64 %
Epoch 15, Train Accuracy: 78.20 %, Test Accuracy: 76.68 %
Epoch 16, Train Accuracy: 80.20 %, Test Accuracy: 77.95 %
Epoch 17, Train Accuracy: 80.75 %, Test Accuracy: 79.90 %
Epoch 18, Train Accuracy: 81.51 %, Test Accuracy: 81.04 %
Epoch 19, Train Accuracy: 82.49 %, Test Accuracy: 78.09 %
Epoch 20, Train Accuracy: 82.96 %, Test Accuracy: 81.46 %
Epoch 21, Train Accuracy: 84.75 %, Test Accuracy: 83.85 %
Epoch 22, Train Accuracy: 85.42 %, Test Accuracy: 84.55 %
Epoch 23, Train Accuracy: 86.20 %, Test Accuracy: 84.60 %
Epoch 24, Train Accuracy: 87.24 %, Test Accuracy: 84.67 %
Epoch 25, Train Accuracy: 88.40 %, Test Accuracy: 85.84 %
Epoch 26, Train Accuracy: 89.86 %, Test Accuracy: 88.24 %
Epoch 27, Train Accuracy: 90.97 %, Test Accuracy: 88.25 %
Epoch 28, Train Accuracy: 92.17 %, Test Accuracy: 90.31 %
Epoch 29, Train Accuracy: 93.60 %, Test Accuracy: 91.09 %
Epoch 30, Train Accuracy: 94.45 %, Test Accuracy: 91.13 %
Epoch 31, Train Accuracy: 95.11 %, Test Accuracy: 91.85 %
Epoch 32, Train Accuracy: 95.79 %, Test Accuracy: 92.16 %
Epoch 33, Train Accuracy: 96.05 %, Test Accuracy: 92.24 %
Epoch 34, Train Accuracy: 96.35 %, Test Accuracy: 91.86 %
Epoch 35, Train Accuracy: 96.73 %, Test Accuracy: 92.09 %
Epoch 36, Train Accuracy: 96.90 %, Test Accuracy: 92.55 %
Epoch 37, Train Accuracy: 97.00 %, Test Accuracy: 92.21 %
Epoch 38, Train Accuracy: 97.07 %, Test Accuracy: 92.42 %
Epoch 39, Train Accuracy: 97.40 %, Test Accuracy: 92.64 %
Epoch 40, Train Accuracy: 97.51 %, Test Accuracy: 92.40 %
Epoch 41, Train Accuracy: 97.60 %, Test Accuracy: 92.56 %
Epoch 42, Train Accuracy: 97.80 %, Test Accuracy: 92.55 %
Epoch 43, Train Accuracy: 97.83 %, Test Accuracy: 92.66 %
Epoch 44, Train Accuracy: 97.91 %, Test Accuracy: 92.74 %
Epoch 45, Train Accuracy: 98.00 %, Test Accuracy: 92.40 %
Epoch 46, Train Accuracy: 98.07 %, Test Accuracy: 92.66 %
Epoch 47, Train Accuracy: 98.18 %, Test Accuracy: 92.33 %
Epoch 48, Train Accuracy: 98.21 %, Test Accuracy: 92.46 %
Epoch 49, Train Accuracy: 98.35 %, Test Accuracy: 92.55 %
Epoch 50, Train Accuracy: 98.37 %, Test Accuracy: 92.42 %
Epoch 51, Train Accuracy: 98.43 %, Test Accuracy: 92.36 %
Epoch 52, Train Accuracy: 98.47 %, Test Accuracy: 92.67 %
Epoch 53, Train Accuracy: 98.56 %, Test Accuracy: 92.56 %
Epoch 54, Train Accuracy: 98.68 %, Test Accuracy: 92.40 %
Epoch 55, Train Accuracy: 98.71 %, Test Accuracy: 92.42 %
Epoch 56, Train Accuracy: 98.79 %, Test Accuracy: 92.47 %
Epoch 57, Train Accuracy: 98.68 %, Test Accuracy: 92.54 %
Epoch 58, Train Accuracy: 98.78 %, Test Accuracy: 92.59 %
Epoch 59, Train Accuracy: 98.87 %, Test Accuracy: 92.64 %
Epoch 60, Train Accuracy: 98.86 %, Test Accuracy: 92.85 %
Epoch 61, Train Accuracy: 98.82 %, Test Accuracy: 92.95 %
Epoch 62, Train Accuracy: 98.86 %, Test Accuracy: 92.53 %
Epoch 63, Train Accuracy: 98.98 %, Test Accuracy: 92.76 %
Epoch 64, Train Accuracy: 98.87 %, Test Accuracy: 92.66 %
Epoch 65, Train Accuracy: 98.98 %, Test Accuracy: 92.49 %
Epoch 66, Train Accuracy: 99.05 %, Test Accuracy: 92.13 %
Epoch 67, Train Accuracy: 98.96 %, Test Accuracy: 92.44 %
Epoch 68, Train Accuracy: 99.06 %, Test Accuracy: 92.62 %
Epoch 69, Train Accuracy: 99.16 %, Test Accuracy: 92.84 %
Epoch 70, Train Accuracy: 99.11 %, Test Accuracy: 92.83 %
Epoch 71, Train Accuracy: 99.21 %, Test Accuracy: 92.65 %
Epoch 72, Train Accuracy: 99.15 %, Test Accuracy: 92.78 %
Epoch 73, Train Accuracy: 99.15 %, Test Accuracy: 92.67 %
Epoch 74, Train Accuracy: 99.16 %, Test Accuracy: 92.99 %
Epoch 75, Train Accuracy: 99.25 %, Test Accuracy: 92.54 %
Epoch 76, Train Accuracy: 99.27 %, Test Accuracy: 92.47 %
Epoch 77, Train Accuracy: 99.23 %, Test Accuracy: 93.07 %
Epoch 78, Train Accuracy: 99.24 %, Test Accuracy: 92.67 %
Epoch 79, Train Accuracy: 99.30 %, Test Accuracy: 92.84 %
Epoch 80, Train Accuracy: 99.34 %, Test Accuracy: 92.58 %
Epoch 81, Train Accuracy: 99.22 %, Test Accuracy: 93.10 %
Epoch 82, Train Accuracy: 99.33 %, Test Accuracy: 92.81 %
Epoch 83, Train Accuracy: 99.28 %, Test Accuracy: 92.97 %
Epoch 84, Train Accuracy: 99.21 %, Test Accuracy: 92.62 %
Epoch 85, Train Accuracy: 99.34 %, Test Accuracy: 92.84 %
Epoch 86, Train Accuracy: 99.32 %, Test Accuracy: 92.99 %
Epoch 87, Train Accuracy: 99.36 %, Test Accuracy: 92.55 %
Epoch 88, Train Accuracy: 99.33 %, Test Accuracy: 92.92 %
Epoch 89, Train Accuracy: 99.36 %, Test Accuracy: 92.86 %
Epoch 90, Train Accuracy: 99.32 %, Test Accuracy: 92.71 %
Epoch 91, Train Accuracy: 99.39 %, Test Accuracy: 92.86 %
Epoch 92, Train Accuracy: 99.41 %, Test Accuracy: 92.65 %
Epoch 93, Train Accuracy: 99.34 %, Test Accuracy: 92.55 %
Epoch 94, Train Accuracy: 99.45 %, Test Accuracy: 92.79 %
Epoch 95, Train Accuracy: 99.47 %, Test Accuracy: 92.62 %
Epoch 96, Train Accuracy: 99.43 %, Test Accuracy: 92.74 %
Epoch 97, Train Accuracy: 99.38 %, Test Accuracy: 92.47 %
Epoch 98, Train Accuracy: 99.45 %, Test Accuracy: 92.71 %
Epoch 99, Train Accuracy: 99.49 %, Test Accuracy: 92.77 %
30  minutes
RUN_DONE
