NODE=[HOST_2f2f29d9e1] | JOB=e300-lplain-s1 4680998
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 300 --batch-size 100 --max-time 999:00:00 --alpha0 1e-3 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/ext300 --run-name e300-lplain_s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.65 %, Test Accuracy: 31.78 %
Epoch 1, Train Accuracy: 38.17 %, Test Accuracy: 44.79 %
Epoch 2, Train Accuracy: 47.28 %, Test Accuracy: 52.39 %
Epoch 3, Train Accuracy: 55.60 %, Test Accuracy: 58.30 %
Epoch 4, Train Accuracy: 63.22 %, Test Accuracy: 62.74 %
Epoch 5, Train Accuracy: 69.76 %, Test Accuracy: 72.60 %
Epoch 6, Train Accuracy: 74.30 %, Test Accuracy: 75.70 %
Epoch 7, Train Accuracy: 77.94 %, Test Accuracy: 78.72 %
Epoch 8, Train Accuracy: 80.43 %, Test Accuracy: 80.31 %
Epoch 9, Train Accuracy: 82.22 %, Test Accuracy: 80.24 %
Epoch 10, Train Accuracy: 83.97 %, Test Accuracy: 83.10 %
Epoch 11, Train Accuracy: 85.19 %, Test Accuracy: 83.86 %
Epoch 12, Train Accuracy: 86.28 %, Test Accuracy: 85.06 %
Epoch 13, Train Accuracy: 87.29 %, Test Accuracy: 84.47 %
Epoch 14, Train Accuracy: 88.24 %, Test Accuracy: 84.94 %
Epoch 15, Train Accuracy: 89.15 %, Test Accuracy: 85.59 %
Epoch 16, Train Accuracy: 89.83 %, Test Accuracy: 85.65 %
Epoch 17, Train Accuracy: 90.61 %, Test Accuracy: 86.84 %
