NODE=[HOST_03eb56b6d1] | JOB=e300-scal-s0 4680994
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 300 --batch-size 100 --max-time 999:00:00 --alpha0 1e-3 --stepsize-groups scalar --seed 0 --save-directory cluster/Account1/metaopt/runs/ext300 --run-name e300-scal_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.76 %, Test Accuracy: 32.66 %
Epoch 1, Train Accuracy: 36.65 %, Test Accuracy: 41.36 %
Epoch 2, Train Accuracy: 45.03 %, Test Accuracy: 50.68 %
Epoch 3, Train Accuracy: 53.51 %, Test Accuracy: 56.11 %
Epoch 4, Train Accuracy: 61.85 %, Test Accuracy: 64.32 %
Epoch 5, Train Accuracy: 67.07 %, Test Accuracy: 67.68 %
Epoch 6, Train Accuracy: 71.03 %, Test Accuracy: 72.62 %
Epoch 7, Train Accuracy: 73.73 %, Test Accuracy: 74.02 %
Epoch 8, Train Accuracy: 75.78 %, Test Accuracy: 75.70 %
Epoch 9, Train Accuracy: 77.49 %, Test Accuracy: 77.51 %
Epoch 10, Train Accuracy: 79.20 %, Test Accuracy: 78.73 %
Epoch 11, Train Accuracy: 80.25 %, Test Accuracy: 80.20 %
Epoch 12, Train Accuracy: 81.59 %, Test Accuracy: 80.69 %
Epoch 13, Train Accuracy: 82.20 %, Test Accuracy: 81.71 %
Epoch 14, Train Accuracy: 83.19 %, Test Accuracy: 82.05 %
Epoch 15, Train Accuracy: 83.97 %, Test Accuracy: 82.72 %
Epoch 16, Train Accuracy: 84.63 %, Test Accuracy: 83.03 %
Epoch 17, Train Accuracy: 85.03 %, Test Accuracy: 83.54 %
Epoch 18, Train Accuracy: 85.52 %, Test Accuracy: 83.81 %
Epoch 19, Train Accuracy: 86.08 %, Test Accuracy: 84.20 %
Epoch 20, Train Accuracy: 86.33 %, Test Accuracy: 84.36 %
Epoch 21, Train Accuracy: 86.74 %, Test Accuracy: 84.70 %
Epoch 22, Train Accuracy: 86.71 %, Test Accuracy: 84.59 %
Epoch 23, Train Accuracy: 87.20 %, Test Accuracy: 85.30 %
Epoch 24, Train Accuracy: 87.61 %, Test Accuracy: 85.00 %
Epoch 25, Train Accuracy: 87.73 %, Test Accuracy: 85.35 %
Epoch 26, Train Accuracy: 88.16 %, Test Accuracy: 85.36 %
Epoch 27, Train Accuracy: 87.97 %, Test Accuracy: 85.67 %
Epoch 28, Train Accuracy: 88.53 %, Test Accuracy: 85.76 %
Epoch 29, Train Accuracy: 88.89 %, Test Accuracy: 85.82 %
Epoch 30, Train Accuracy: 89.14 %, Test Accuracy: 85.89 %
Epoch 31, Train Accuracy: 89.42 %, Test Accuracy: 85.92 %
Epoch 32, Train Accuracy: 89.44 %, Test Accuracy: 85.75 %
Epoch 33, Train Accuracy: 89.66 %, Test Accuracy: 86.16 %
Epoch 34, Train Accuracy: 89.62 %, Test Accuracy: 86.14 %
Epoch 35, Train Accuracy: 89.88 %, Test Accuracy: 86.51 %
Epoch 36, Train Accuracy: 90.22 %, Test Accuracy: 86.44 %
Epoch 37, Train Accuracy: 90.13 %, Test Accuracy: 85.85 %
Epoch 38, Train Accuracy: 90.41 %, Test Accuracy: 86.89 %
Epoch 39, Train Accuracy: 90.53 %, Test Accuracy: 86.31 %
Epoch 40, Train Accuracy: 90.81 %, Test Accuracy: 86.71 %
Epoch 41, Train Accuracy: 90.67 %, Test Accuracy: 86.80 %
Epoch 42, Train Accuracy: 90.89 %, Test Accuracy: 86.68 %
Epoch 43, Train Accuracy: 90.98 %, Test Accuracy: 87.26 %
Epoch 44, Train Accuracy: 91.11 %, Test Accuracy: 87.07 %
Epoch 45, Train Accuracy: 91.20 %, Test Accuracy: 87.03 %
Epoch 46, Train Accuracy: 91.31 %, Test Accuracy: 86.93 %
Epoch 47, Train Accuracy: 91.29 %, Test Accuracy: 86.90 %
Epoch 48, Train Accuracy: 91.23 %, Test Accuracy: 87.11 %
Epoch 49, Train Accuracy: 91.59 %, Test Accuracy: 87.09 %
Epoch 50, Train Accuracy: 91.53 %, Test Accuracy: 86.86 %
Epoch 51, Train Accuracy: 91.68 %, Test Accuracy: 87.20 %
Epoch 52, Train Accuracy: 91.79 %, Test Accuracy: 87.05 %
Epoch 53, Train Accuracy: 91.92 %, Test Accuracy: 87.22 %
Epoch 54, Train Accuracy: 92.10 %, Test Accuracy: 87.66 %
Epoch 55, Train Accuracy: 92.14 %, Test Accuracy: 87.33 %
Epoch 56, Train Accuracy: 92.18 %, Test Accuracy: 87.46 %
Epoch 57, Train Accuracy: 92.34 %, Test Accuracy: 87.39 %
Epoch 58, Train Accuracy: 92.21 %, Test Accuracy: 87.45 %
Epoch 59, Train Accuracy: 92.29 %, Test Accuracy: 87.08 %
Epoch 60, Train Accuracy: 92.40 %, Test Accuracy: 87.30 %
Epoch 61, Train Accuracy: 92.47 %, Test Accuracy: 87.11 %
Epoch 62, Train Accuracy: 92.57 %, Test Accuracy: 87.35 %
Epoch 63, Train Accuracy: 92.69 %, Test Accuracy: 87.19 %
Epoch 64, Train Accuracy: 92.62 %, Test Accuracy: 87.79 %
Epoch 65, Train Accuracy: 92.67 %, Test Accuracy: 87.53 %
Epoch 66, Train Accuracy: 92.83 %, Test Accuracy: 87.71 %
Epoch 67, Train Accuracy: 92.91 %, Test Accuracy: 87.49 %
Epoch 68, Train Accuracy: 92.90 %, Test Accuracy: 87.90 %
Epoch 69, Train Accuracy: 92.86 %, Test Accuracy: 87.76 %
Epoch 70, Train Accuracy: 93.04 %, Test Accuracy: 87.95 %
Epoch 71, Train Accuracy: 93.07 %, Test Accuracy: 87.80 %
Epoch 72, Train Accuracy: 93.18 %, Test Accuracy: 87.69 %
Epoch 73, Train Accuracy: 93.17 %, Test Accuracy: 87.71 %
Epoch 74, Train Accuracy: 93.29 %, Test Accuracy: 87.97 %
Epoch 75, Train Accuracy: 93.29 %, Test Accuracy: 87.63 %
Epoch 76, Train Accuracy: 93.19 %, Test Accuracy: 87.62 %
Epoch 77, Train Accuracy: 93.25 %, Test Accuracy: 87.77 %
Epoch 78, Train Accuracy: 93.41 %, Test Accuracy: 87.73 %
Epoch 79, Train Accuracy: 93.45 %, Test Accuracy: 87.83 %
Epoch 80, Train Accuracy: 93.49 %, Test Accuracy: 87.56 %
Epoch 81, Train Accuracy: 93.37 %, Test Accuracy: 87.94 %
Epoch 82, Train Accuracy: 93.41 %, Test Accuracy: 87.84 %
Epoch 83, Train Accuracy: 93.49 %, Test Accuracy: 87.82 %
Epoch 84, Train Accuracy: 93.73 %, Test Accuracy: 88.01 %
Epoch 85, Train Accuracy: 93.54 %, Test Accuracy: 87.86 %
Epoch 86, Train Accuracy: 93.61 %, Test Accuracy: 87.80 %
Epoch 87, Train Accuracy: 93.68 %, Test Accuracy: 87.57 %
Epoch 88, Train Accuracy: 93.66 %, Test Accuracy: 87.82 %
Epoch 89, Train Accuracy: 93.58 %, Test Accuracy: 87.55 %
Epoch 90, Train Accuracy: 93.72 %, Test Accuracy: 87.84 %
Epoch 91, Train Accuracy: 93.74 %, Test Accuracy: 87.83 %
Epoch 92, Train Accuracy: 93.59 %, Test Accuracy: 88.03 %
Epoch 93, Train Accuracy: 93.66 %, Test Accuracy: 88.11 %
Epoch 94, Train Accuracy: 93.71 %, Test Accuracy: 87.79 %
Epoch 95, Train Accuracy: 93.91 %, Test Accuracy: 87.94 %
Epoch 96, Train Accuracy: 93.81 %, Test Accuracy: 87.89 %
Epoch 97, Train Accuracy: 94.01 %, Test Accuracy: 87.77 %
Epoch 98, Train Accuracy: 93.85 %, Test Accuracy: 87.82 %
Epoch 99, Train Accuracy: 93.70 %, Test Accuracy: 87.84 %
Epoch 100, Train Accuracy: 94.10 %, Test Accuracy: 88.13 %
Epoch 101, Train Accuracy: 94.04 %, Test Accuracy: 87.90 %
Epoch 102, Train Accuracy: 93.90 %, Test Accuracy: 87.84 %
