NODE=[HOST_03eb56b6d1] | JOB=e3a-lplain-s1 4681641
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 300 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/e3a --run-name e3a-lplain_s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 9.52 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.70 %, Test Accuracy: 9.86 %
Epoch 4, Train Accuracy: 10.09 %, Test Accuracy: 10.37 %
Epoch 5, Train Accuracy: 11.20 %, Test Accuracy: 12.17 %
Epoch 6, Train Accuracy: 14.00 %, Test Accuracy: 15.65 %
Epoch 7, Train Accuracy: 17.21 %, Test Accuracy: 20.54 %
Epoch 8, Train Accuracy: 20.32 %, Test Accuracy: 22.05 %
Epoch 9, Train Accuracy: 22.85 %, Test Accuracy: 24.33 %
Epoch 10, Train Accuracy: 25.75 %, Test Accuracy: 26.88 %
Epoch 11, Train Accuracy: 29.50 %, Test Accuracy: 32.41 %
Epoch 12, Train Accuracy: 34.05 %, Test Accuracy: 37.44 %
Epoch 13, Train Accuracy: 39.48 %, Test Accuracy: 43.00 %
Epoch 14, Train Accuracy: 44.60 %, Test Accuracy: 48.35 %
Epoch 15, Train Accuracy: 50.04 %, Test Accuracy: 52.39 %
Epoch 16, Train Accuracy: 55.82 %, Test Accuracy: 59.23 %
Epoch 17, Train Accuracy: 61.66 %, Test Accuracy: 64.43 %
Epoch 18, Train Accuracy: 68.13 %, Test Accuracy: 70.15 %
Epoch 19, Train Accuracy: 72.21 %, Test Accuracy: 74.55 %
Epoch 20, Train Accuracy: 76.61 %, Test Accuracy: 76.49 %
Epoch 21, Train Accuracy: 78.91 %, Test Accuracy: 79.00 %
Epoch 22, Train Accuracy: 81.10 %, Test Accuracy: 80.81 %
Epoch 23, Train Accuracy: 82.50 %, Test Accuracy: 81.48 %
Epoch 24, Train Accuracy: 84.14 %, Test Accuracy: 83.72 %
Epoch 25, Train Accuracy: 85.22 %, Test Accuracy: 83.36 %
Epoch 26, Train Accuracy: 86.55 %, Test Accuracy: 84.44 %
Epoch 27, Train Accuracy: 87.07 %, Test Accuracy: 84.54 %
Epoch 28, Train Accuracy: 88.21 %, Test Accuracy: 85.62 %
Epoch 29, Train Accuracy: 88.69 %, Test Accuracy: 85.82 %
Epoch 30, Train Accuracy: 89.77 %, Test Accuracy: 85.98 %
Epoch 31, Train Accuracy: 90.20 %, Test Accuracy: 86.33 %
Epoch 32, Train Accuracy: 90.93 %, Test Accuracy: 87.28 %
Epoch 33, Train Accuracy: 91.82 %, Test Accuracy: 87.00 %
Epoch 34, Train Accuracy: 91.97 %, Test Accuracy: 87.27 %
Epoch 35, Train Accuracy: 92.45 %, Test Accuracy: 88.38 %
Epoch 36, Train Accuracy: 93.10 %, Test Accuracy: 88.44 %
Epoch 37, Train Accuracy: 93.38 %, Test Accuracy: 87.35 %
Epoch 38, Train Accuracy: 93.75 %, Test Accuracy: 88.29 %
Epoch 39, Train Accuracy: 94.24 %, Test Accuracy: 87.92 %
Epoch 40, Train Accuracy: 94.63 %, Test Accuracy: 89.05 %
Epoch 41, Train Accuracy: 95.00 %, Test Accuracy: 89.10 %
Epoch 42, Train Accuracy: 95.22 %, Test Accuracy: 89.20 %
Epoch 43, Train Accuracy: 95.34 %, Test Accuracy: 89.22 %
Epoch 44, Train Accuracy: 95.66 %, Test Accuracy: 89.17 %
Epoch 45, Train Accuracy: 96.04 %, Test Accuracy: 88.48 %
Epoch 46, Train Accuracy: 96.34 %, Test Accuracy: 89.12 %
Epoch 47, Train Accuracy: 96.44 %, Test Accuracy: 89.06 %
Epoch 48, Train Accuracy: 96.78 %, Test Accuracy: 89.29 %
Epoch 49, Train Accuracy: 96.88 %, Test Accuracy: 89.39 %
Epoch 50, Train Accuracy: 97.07 %, Test Accuracy: 89.84 %
Epoch 51, Train Accuracy: 97.27 %, Test Accuracy: 89.70 %
Epoch 52, Train Accuracy: 97.51 %, Test Accuracy: 89.67 %
Epoch 53, Train Accuracy: 97.38 %, Test Accuracy: 89.27 %
Epoch 54, Train Accuracy: 97.70 %, Test Accuracy: 90.11 %
Epoch 55, Train Accuracy: 98.11 %, Test Accuracy: 89.97 %
Epoch 56, Train Accuracy: 97.99 %, Test Accuracy: 89.77 %
Epoch 57, Train Accuracy: 98.20 %, Test Accuracy: 90.08 %
Epoch 58, Train Accuracy: 98.05 %, Test Accuracy: 90.25 %
Epoch 59, Train Accuracy: 98.39 %, Test Accuracy: 89.39 %
Epoch 60, Train Accuracy: 98.14 %, Test Accuracy: 90.55 %
Epoch 61, Train Accuracy: 98.50 %, Test Accuracy: 89.79 %
Epoch 62, Train Accuracy: 98.41 %, Test Accuracy: 90.23 %
Epoch 63, Train Accuracy: 98.67 %, Test Accuracy: 90.13 %
Epoch 64, Train Accuracy: 98.89 %, Test Accuracy: 89.80 %
Epoch 65, Train Accuracy: 98.76 %, Test Accuracy: 90.39 %
Epoch 66, Train Accuracy: 98.74 %, Test Accuracy: 90.30 %
Epoch 67, Train Accuracy: 98.88 %, Test Accuracy: 90.14 %
Epoch 68, Train Accuracy: 98.82 %, Test Accuracy: 89.67 %
Epoch 69, Train Accuracy: 99.03 %, Test Accuracy: 90.25 %
Epoch 70, Train Accuracy: 99.18 %, Test Accuracy: 90.75 %
Epoch 71, Train Accuracy: 99.10 %, Test Accuracy: 90.20 %
Epoch 72, Train Accuracy: 99.09 %, Test Accuracy: 90.56 %
Epoch 73, Train Accuracy: 99.04 %, Test Accuracy: 90.41 %
Epoch 74, Train Accuracy: 99.25 %, Test Accuracy: 90.76 %
Epoch 75, Train Accuracy: 99.21 %, Test Accuracy: 90.20 %
Epoch 76, Train Accuracy: 99.26 %, Test Accuracy: 90.30 %
Epoch 77, Train Accuracy: 99.27 %, Test Accuracy: 90.44 %
Epoch 78, Train Accuracy: 99.39 %, Test Accuracy: 90.43 %
Epoch 79, Train Accuracy: 99.39 %, Test Accuracy: 90.54 %
Epoch 80, Train Accuracy: 99.31 %, Test Accuracy: 90.77 %
Epoch 81, Train Accuracy: 99.38 %, Test Accuracy: 90.30 %
Epoch 82, Train Accuracy: 99.55 %, Test Accuracy: 90.80 %
Epoch 83, Train Accuracy: 99.58 %, Test Accuracy: 90.64 %
Epoch 84, Train Accuracy: 99.44 %, Test Accuracy: 90.58 %
Epoch 85, Train Accuracy: 99.41 %, Test Accuracy: 90.41 %
Epoch 86, Train Accuracy: 99.45 %, Test Accuracy: 90.50 %
Epoch 87, Train Accuracy: 99.64 %, Test Accuracy: 91.06 %
Epoch 88, Train Accuracy: 99.73 %, Test Accuracy: 90.81 %
Epoch 89, Train Accuracy: 99.50 %, Test Accuracy: 90.69 %
Epoch 90, Train Accuracy: 99.57 %, Test Accuracy: 90.50 %
Epoch 91, Train Accuracy: 99.61 %, Test Accuracy: 90.85 %
Epoch 92, Train Accuracy: 99.76 %, Test Accuracy: 90.82 %
Epoch 93, Train Accuracy: 99.58 %, Test Accuracy: 91.13 %
Epoch 94, Train Accuracy: 99.58 %, Test Accuracy: 90.04 %
Epoch 95, Train Accuracy: 99.55 %, Test Accuracy: 90.67 %
Epoch 96, Train Accuracy: 99.67 %, Test Accuracy: 90.58 %
Epoch 97, Train Accuracy: 99.73 %, Test Accuracy: 90.79 %
Epoch 98, Train Accuracy: 99.70 %, Test Accuracy: 90.18 %
Epoch 99, Train Accuracy: 99.65 %, Test Accuracy: 90.69 %
Epoch 100, Train Accuracy: 99.65 %, Test Accuracy: 91.13 %
Epoch 101, Train Accuracy: 99.76 %, Test Accuracy: 90.62 %
Epoch 102, Train Accuracy: 99.73 %, Test Accuracy: 90.75 %
Epoch 103, Train Accuracy: 99.74 %, Test Accuracy: 90.73 %
Epoch 104, Train Accuracy: 99.80 %, Test Accuracy: 90.30 %
Epoch 105, Train Accuracy: 99.68 %, Test Accuracy: 91.07 %
Epoch 106, Train Accuracy: 99.72 %, Test Accuracy: 90.86 %
Epoch 107, Train Accuracy: 99.81 %, Test Accuracy: 90.85 %
Epoch 108, Train Accuracy: 99.77 %, Test Accuracy: 90.66 %
Epoch 109, Train Accuracy: 99.79 %, Test Accuracy: 90.79 %
Epoch 110, Train Accuracy: 99.72 %, Test Accuracy: 90.68 %
Epoch 111, Train Accuracy: 99.73 %, Test Accuracy: 90.91 %
Epoch 112, Train Accuracy: 99.80 %, Test Accuracy: 91.29 %
Epoch 113, Train Accuracy: 99.82 %, Test Accuracy: 90.88 %
Epoch 114, Train Accuracy: 99.81 %, Test Accuracy: 90.86 %
Epoch 115, Train Accuracy: 99.82 %, Test Accuracy: 90.90 %
Epoch 116, Train Accuracy: 99.82 %, Test Accuracy: 90.59 %
Epoch 117, Train Accuracy: 99.77 %, Test Accuracy: 90.91 %
