NODE=[HOST_e8d809bd94] | JOB=e3a-r005-s0 4681639
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 300 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/e3a --run-name e3a-r005_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.05
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.86 %
Epoch 1, Train Accuracy: 12.75 %, Test Accuracy: 12.92 %
Epoch 2, Train Accuracy: 12.99 %, Test Accuracy: 13.15 %
Epoch 3, Train Accuracy: 13.40 %, Test Accuracy: 13.35 %
Epoch 4, Train Accuracy: 13.54 %, Test Accuracy: 13.52 %
Epoch 5, Train Accuracy: 14.04 %, Test Accuracy: 14.09 %
Epoch 6, Train Accuracy: 14.90 %, Test Accuracy: 14.67 %
Epoch 7, Train Accuracy: 16.35 %, Test Accuracy: 15.78 %
Epoch 8, Train Accuracy: 18.07 %, Test Accuracy: 17.91 %
Epoch 9, Train Accuracy: 19.73 %, Test Accuracy: 19.78 %
Epoch 10, Train Accuracy: 22.11 %, Test Accuracy: 23.41 %
Epoch 11, Train Accuracy: 24.80 %, Test Accuracy: 25.79 %
Epoch 12, Train Accuracy: 27.89 %, Test Accuracy: 28.66 %
Epoch 13, Train Accuracy: 30.45 %, Test Accuracy: 32.80 %
Epoch 14, Train Accuracy: 33.33 %, Test Accuracy: 35.87 %
Epoch 15, Train Accuracy: 36.18 %, Test Accuracy: 38.46 %
Epoch 16, Train Accuracy: 39.35 %, Test Accuracy: 41.99 %
Epoch 17, Train Accuracy: 43.04 %, Test Accuracy: 45.94 %
Epoch 18, Train Accuracy: 47.99 %, Test Accuracy: 50.56 %
Epoch 19, Train Accuracy: 53.05 %, Test Accuracy: 54.77 %
Epoch 20, Train Accuracy: 57.35 %, Test Accuracy: 59.75 %
Epoch 21, Train Accuracy: 62.42 %, Test Accuracy: 64.19 %
Epoch 22, Train Accuracy: 66.12 %, Test Accuracy: 67.56 %
Epoch 23, Train Accuracy: 70.76 %, Test Accuracy: 70.41 %
Epoch 24, Train Accuracy: 73.64 %, Test Accuracy: 75.71 %
Epoch 25, Train Accuracy: 77.00 %, Test Accuracy: 76.35 %
Epoch 26, Train Accuracy: 78.61 %, Test Accuracy: 77.38 %
Epoch 27, Train Accuracy: 79.53 %, Test Accuracy: 79.35 %
Epoch 28, Train Accuracy: 81.67 %, Test Accuracy: 79.23 %
Epoch 29, Train Accuracy: 82.46 %, Test Accuracy: 81.02 %
Epoch 30, Train Accuracy: 83.13 %, Test Accuracy: 79.54 %
Epoch 31, Train Accuracy: 83.86 %, Test Accuracy: 83.24 %
Epoch 32, Train Accuracy: 84.69 %, Test Accuracy: 82.74 %
Epoch 33, Train Accuracy: 85.31 %, Test Accuracy: 83.39 %
Epoch 34, Train Accuracy: 85.69 %, Test Accuracy: 82.58 %
Epoch 35, Train Accuracy: 86.78 %, Test Accuracy: 84.36 %
Epoch 36, Train Accuracy: 87.88 %, Test Accuracy: 86.84 %
Epoch 37, Train Accuracy: 88.61 %, Test Accuracy: 87.33 %
Epoch 38, Train Accuracy: 89.77 %, Test Accuracy: 87.65 %
Epoch 39, Train Accuracy: 91.00 %, Test Accuracy: 88.74 %
Epoch 40, Train Accuracy: 91.84 %, Test Accuracy: 88.50 %
Epoch 41, Train Accuracy: 92.62 %, Test Accuracy: 90.61 %
Epoch 42, Train Accuracy: 93.72 %, Test Accuracy: 90.62 %
Epoch 43, Train Accuracy: 94.75 %, Test Accuracy: 91.60 %
Epoch 44, Train Accuracy: 95.41 %, Test Accuracy: 92.13 %
Epoch 45, Train Accuracy: 96.14 %, Test Accuracy: 92.09 %
Epoch 46, Train Accuracy: 96.69 %, Test Accuracy: 92.76 %
Epoch 47, Train Accuracy: 97.04 %, Test Accuracy: 92.86 %
Epoch 48, Train Accuracy: 97.41 %, Test Accuracy: 92.70 %
Epoch 49, Train Accuracy: 97.58 %, Test Accuracy: 92.85 %
Epoch 50, Train Accuracy: 97.62 %, Test Accuracy: 93.08 %
Epoch 51, Train Accuracy: 98.00 %, Test Accuracy: 93.38 %
Epoch 52, Train Accuracy: 98.13 %, Test Accuracy: 93.12 %
Epoch 53, Train Accuracy: 98.26 %, Test Accuracy: 93.25 %
Epoch 54, Train Accuracy: 98.46 %, Test Accuracy: 93.33 %
Epoch 55, Train Accuracy: 98.49 %, Test Accuracy: 92.93 %
Epoch 56, Train Accuracy: 98.45 %, Test Accuracy: 93.30 %
Epoch 57, Train Accuracy: 98.64 %, Test Accuracy: 93.17 %
Epoch 58, Train Accuracy: 98.68 %, Test Accuracy: 92.74 %
Epoch 59, Train Accuracy: 98.74 %, Test Accuracy: 92.91 %
Epoch 60, Train Accuracy: 98.79 %, Test Accuracy: 93.24 %
Epoch 61, Train Accuracy: 98.88 %, Test Accuracy: 93.26 %
Epoch 62, Train Accuracy: 98.99 %, Test Accuracy: 93.10 %
Epoch 63, Train Accuracy: 98.90 %, Test Accuracy: 93.31 %
Epoch 64, Train Accuracy: 99.00 %, Test Accuracy: 93.37 %
Epoch 65, Train Accuracy: 99.03 %, Test Accuracy: 93.33 %
Epoch 66, Train Accuracy: 98.98 %, Test Accuracy: 93.28 %
Epoch 67, Train Accuracy: 99.04 %, Test Accuracy: 93.34 %
Epoch 68, Train Accuracy: 99.13 %, Test Accuracy: 93.46 %
Epoch 69, Train Accuracy: 99.20 %, Test Accuracy: 92.97 %
Epoch 70, Train Accuracy: 99.21 %, Test Accuracy: 93.44 %
Epoch 71, Train Accuracy: 99.30 %, Test Accuracy: 93.34 %
Epoch 72, Train Accuracy: 99.28 %, Test Accuracy: 93.31 %
Epoch 73, Train Accuracy: 99.33 %, Test Accuracy: 93.07 %
Epoch 74, Train Accuracy: 99.35 %, Test Accuracy: 93.20 %
Epoch 75, Train Accuracy: 99.38 %, Test Accuracy: 93.32 %
Epoch 76, Train Accuracy: 99.33 %, Test Accuracy: 93.36 %
Epoch 77, Train Accuracy: 99.44 %, Test Accuracy: 93.24 %
Epoch 78, Train Accuracy: 99.37 %, Test Accuracy: 93.42 %
Epoch 79, Train Accuracy: 99.36 %, Test Accuracy: 93.37 %
Epoch 80, Train Accuracy: 99.38 %, Test Accuracy: 93.25 %
Epoch 81, Train Accuracy: 99.42 %, Test Accuracy: 93.02 %
Epoch 82, Train Accuracy: 99.38 %, Test Accuracy: 93.25 %
Epoch 83, Train Accuracy: 99.48 %, Test Accuracy: 93.44 %
Epoch 84, Train Accuracy: 99.42 %, Test Accuracy: 93.29 %
Epoch 85, Train Accuracy: 99.43 %, Test Accuracy: 93.39 %
Epoch 86, Train Accuracy: 99.54 %, Test Accuracy: 93.35 %
Epoch 87, Train Accuracy: 99.60 %, Test Accuracy: 93.50 %
Epoch 88, Train Accuracy: 99.56 %, Test Accuracy: 92.99 %
Epoch 89, Train Accuracy: 99.52 %, Test Accuracy: 93.41 %
Epoch 90, Train Accuracy: 99.56 %, Test Accuracy: 93.48 %
Epoch 91, Train Accuracy: 99.53 %, Test Accuracy: 92.99 %
Epoch 92, Train Accuracy: 99.50 %, Test Accuracy: 93.31 %
Epoch 93, Train Accuracy: 99.57 %, Test Accuracy: 93.14 %
Epoch 94, Train Accuracy: 99.57 %, Test Accuracy: 93.38 %
Epoch 95, Train Accuracy: 99.62 %, Test Accuracy: 93.42 %
