NODE=[HOST_f0845cc956] | JOB=eb1-a06-s0 4886463 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/eb1 --run-name eb1-a06-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=500
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.80 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.74 %, Test Accuracy: 12.90 %
Epoch 2, Train Accuracy: 12.99 %, Test Accuracy: 13.14 %
Epoch 3, Train Accuracy: 13.40 %, Test Accuracy: 13.35 %
Epoch 4, Train Accuracy: 13.54 %, Test Accuracy: 13.53 %
Epoch 5, Train Accuracy: 14.05 %, Test Accuracy: 14.10 %
Epoch 6, Train Accuracy: 14.92 %, Test Accuracy: 14.70 %
Epoch 7, Train Accuracy: 16.35 %, Test Accuracy: 15.79 %
Epoch 8, Train Accuracy: 18.09 %, Test Accuracy: 17.90 %
Epoch 9, Train Accuracy: 19.76 %, Test Accuracy: 19.79 %
Epoch 10, Train Accuracy: 22.14 %, Test Accuracy: 23.37 %
Epoch 11, Train Accuracy: 24.87 %, Test Accuracy: 25.74 %
Epoch 12, Train Accuracy: 27.90 %, Test Accuracy: 28.73 %
Epoch 13, Train Accuracy: 30.43 %, Test Accuracy: 32.83 %
Epoch 14, Train Accuracy: 33.43 %, Test Accuracy: 35.87 %
Epoch 15, Train Accuracy: 36.32 %, Test Accuracy: 38.59 %
Epoch 16, Train Accuracy: 39.46 %, Test Accuracy: 42.08 %
Epoch 17, Train Accuracy: 43.10 %, Test Accuracy: 45.99 %
Epoch 18, Train Accuracy: 48.14 %, Test Accuracy: 50.69 %
Epoch 19, Train Accuracy: 53.11 %, Test Accuracy: 54.70 %
Epoch 20, Train Accuracy: 58.01 %, Test Accuracy: 60.08 %
Epoch 21, Train Accuracy: 62.77 %, Test Accuracy: 64.92 %
Epoch 22, Train Accuracy: 67.23 %, Test Accuracy: 66.49 %
Epoch 23, Train Accuracy: 70.29 %, Test Accuracy: 72.29 %
Epoch 24, Train Accuracy: 74.08 %, Test Accuracy: 75.16 %
Epoch 25, Train Accuracy: 76.92 %, Test Accuracy: 77.69 %
Epoch 26, Train Accuracy: 78.68 %, Test Accuracy: 78.33 %
Epoch 27, Train Accuracy: 79.66 %, Test Accuracy: 78.34 %
Epoch 28, Train Accuracy: 81.49 %, Test Accuracy: 81.30 %
Epoch 29, Train Accuracy: 82.68 %, Test Accuracy: 82.14 %
Epoch 30, Train Accuracy: 83.74 %, Test Accuracy: 78.23 %
Epoch 31, Train Accuracy: 84.60 %, Test Accuracy: 81.79 %
Epoch 32, Train Accuracy: 85.26 %, Test Accuracy: 83.11 %
Epoch 33, Train Accuracy: 85.94 %, Test Accuracy: 85.44 %
Epoch 34, Train Accuracy: 86.40 %, Test Accuracy: 84.22 %
Epoch 35, Train Accuracy: 87.49 %, Test Accuracy: 86.19 %
Epoch 36, Train Accuracy: 88.28 %, Test Accuracy: 87.63 %
Epoch 37, Train Accuracy: 89.05 %, Test Accuracy: 87.51 %
Epoch 38, Train Accuracy: 90.31 %, Test Accuracy: 87.77 %
Epoch 39, Train Accuracy: 91.15 %, Test Accuracy: 88.14 %
Epoch 40, Train Accuracy: 91.83 %, Test Accuracy: 88.59 %
Epoch 41, Train Accuracy: 92.77 %, Test Accuracy: 90.65 %
Epoch 42, Train Accuracy: 93.74 %, Test Accuracy: 90.54 %
Epoch 43, Train Accuracy: 94.56 %, Test Accuracy: 91.19 %
Epoch 44, Train Accuracy: 95.26 %, Test Accuracy: 91.93 %
Epoch 45, Train Accuracy: 95.89 %, Test Accuracy: 91.82 %
Epoch 46, Train Accuracy: 96.47 %, Test Accuracy: 92.55 %
Epoch 47, Train Accuracy: 96.99 %, Test Accuracy: 92.63 %
Epoch 48, Train Accuracy: 97.28 %, Test Accuracy: 92.80 %
Epoch 49, Train Accuracy: 97.66 %, Test Accuracy: 92.91 %
Epoch 50, Train Accuracy: 97.95 %, Test Accuracy: 92.88 %
Epoch 51, Train Accuracy: 98.21 %, Test Accuracy: 92.95 %
Epoch 52, Train Accuracy: 98.40 %, Test Accuracy: 93.12 %
Epoch 53, Train Accuracy: 98.61 %, Test Accuracy: 93.22 %
Epoch 54, Train Accuracy: 98.72 %, Test Accuracy: 93.39 %
Epoch 55, Train Accuracy: 98.76 %, Test Accuracy: 93.10 %
Epoch 56, Train Accuracy: 98.83 %, Test Accuracy: 93.04 %
Epoch 57, Train Accuracy: 98.94 %, Test Accuracy: 93.17 %
Epoch 58, Train Accuracy: 99.07 %, Test Accuracy: 93.09 %
Epoch 59, Train Accuracy: 99.10 %, Test Accuracy: 93.22 %
Epoch 60, Train Accuracy: 99.21 %, Test Accuracy: 93.23 %
