NODE=[HOST_220cfa1024] | JOB=fa1-c23-s0 4737879
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk2325 --seed 0 --save-directory cluster/Account1/metaopt/runs/fa1 --run-name fa1-c23-s0
ENV: AUGMENT=1 BETA_CLIP=-25:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/fa1/probe_c23_fa1_s0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.17 %, Test Accuracy: 30.39 %
Epoch 1, Train Accuracy: 34.64 %, Test Accuracy: 38.36 %
Epoch 2, Train Accuracy: 40.52 %, Test Accuracy: 43.36 %
Epoch 3, Train Accuracy: 45.80 %, Test Accuracy: 48.72 %
Epoch 4, Train Accuracy: 51.13 %, Test Accuracy: 54.91 %
Epoch 5, Train Accuracy: 56.07 %, Test Accuracy: 59.20 %
Epoch 6, Train Accuracy: 60.46 %, Test Accuracy: 61.04 %
Epoch 7, Train Accuracy: 64.59 %, Test Accuracy: 66.09 %
Epoch 8, Train Accuracy: 68.83 %, Test Accuracy: 69.71 %
Epoch 9, Train Accuracy: 71.79 %, Test Accuracy: 73.21 %
Epoch 10, Train Accuracy: 75.04 %, Test Accuracy: 76.08 %
Epoch 11, Train Accuracy: 77.11 %, Test Accuracy: 75.48 %
Epoch 12, Train Accuracy: 79.21 %, Test Accuracy: 79.49 %
Epoch 13, Train Accuracy: 81.17 %, Test Accuracy: 80.54 %
Epoch 14, Train Accuracy: 82.23 %, Test Accuracy: 79.81 %
Epoch 15, Train Accuracy: 83.43 %, Test Accuracy: 81.48 %
Epoch 16, Train Accuracy: 84.06 %, Test Accuracy: 83.66 %
Epoch 17, Train Accuracy: 85.40 %, Test Accuracy: 83.57 %
Epoch 18, Train Accuracy: 86.08 %, Test Accuracy: 84.06 %
Epoch 19, Train Accuracy: 87.33 %, Test Accuracy: 85.12 %
Epoch 20, Train Accuracy: 87.75 %, Test Accuracy: 85.32 %
Epoch 21, Train Accuracy: 88.97 %, Test Accuracy: 85.44 %
Epoch 22, Train Accuracy: 89.49 %, Test Accuracy: 86.62 %
Epoch 23, Train Accuracy: 89.70 %, Test Accuracy: 87.10 %
Epoch 24, Train Accuracy: 90.47 %, Test Accuracy: 87.75 %
Epoch 25, Train Accuracy: 91.21 %, Test Accuracy: 88.83 %
Epoch 26, Train Accuracy: 92.08 %, Test Accuracy: 88.66 %
Epoch 27, Train Accuracy: 92.05 %, Test Accuracy: 88.37 %
Epoch 28, Train Accuracy: 93.12 %, Test Accuracy: 89.48 %
Epoch 29, Train Accuracy: 93.27 %, Test Accuracy: 89.76 %
Epoch 30, Train Accuracy: 93.93 %, Test Accuracy: 89.02 %
Epoch 31, Train Accuracy: 94.15 %, Test Accuracy: 90.25 %
Epoch 32, Train Accuracy: 94.76 %, Test Accuracy: 89.46 %
Epoch 33, Train Accuracy: 94.63 %, Test Accuracy: 89.61 %
Epoch 34, Train Accuracy: 95.05 %, Test Accuracy: 90.32 %
Epoch 35, Train Accuracy: 95.71 %, Test Accuracy: 90.24 %
Epoch 36, Train Accuracy: 95.86 %, Test Accuracy: 90.30 %
Epoch 37, Train Accuracy: 96.18 %, Test Accuracy: 90.83 %
Epoch 38, Train Accuracy: 96.60 %, Test Accuracy: 90.83 %
Epoch 39, Train Accuracy: 96.82 %, Test Accuracy: 91.12 %
Epoch 40, Train Accuracy: 97.11 %, Test Accuracy: 91.07 %
Epoch 41, Train Accuracy: 97.15 %, Test Accuracy: 90.72 %
Epoch 42, Train Accuracy: 97.33 %, Test Accuracy: 90.31 %
Epoch 43, Train Accuracy: 97.32 %, Test Accuracy: 90.89 %
Epoch 44, Train Accuracy: 97.70 %, Test Accuracy: 90.70 %
Epoch 45, Train Accuracy: 97.90 %, Test Accuracy: 91.40 %
Epoch 46, Train Accuracy: 98.22 %, Test Accuracy: 91.85 %
