NODE=[HOST_b9efa05339] | JOB=fa1-ch-s1 4737881
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk777 --seed 1 --save-directory cluster/Account1/metaopt/runs/fa1 --run-name fa1-ch-s1
ENV: AUGMENT=1 BETA_CLIP=-25:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/fa1/probe_ch_fa1_s1
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.95 %, Test Accuracy: 30.05 %
Epoch 1, Train Accuracy: 35.32 %, Test Accuracy: 40.12 %
Epoch 2, Train Accuracy: 42.48 %, Test Accuracy: 45.73 %
Epoch 3, Train Accuracy: 47.38 %, Test Accuracy: 50.80 %
Epoch 4, Train Accuracy: 52.10 %, Test Accuracy: 54.56 %
Epoch 5, Train Accuracy: 56.28 %, Test Accuracy: 57.98 %
Epoch 6, Train Accuracy: 59.85 %, Test Accuracy: 59.87 %
Epoch 7, Train Accuracy: 63.92 %, Test Accuracy: 65.57 %
Epoch 8, Train Accuracy: 66.97 %, Test Accuracy: 68.59 %
Epoch 9, Train Accuracy: 70.53 %, Test Accuracy: 70.34 %
Epoch 10, Train Accuracy: 73.24 %, Test Accuracy: 74.58 %
Epoch 11, Train Accuracy: 76.31 %, Test Accuracy: 76.58 %
Epoch 12, Train Accuracy: 77.91 %, Test Accuracy: 78.26 %
Epoch 13, Train Accuracy: 79.60 %, Test Accuracy: 78.24 %
Epoch 14, Train Accuracy: 80.92 %, Test Accuracy: 77.97 %
Epoch 15, Train Accuracy: 82.63 %, Test Accuracy: 82.02 %
Epoch 16, Train Accuracy: 83.66 %, Test Accuracy: 80.70 %
Epoch 17, Train Accuracy: 84.26 %, Test Accuracy: 80.65 %
Epoch 18, Train Accuracy: 85.05 %, Test Accuracy: 83.26 %
Epoch 19, Train Accuracy: 86.14 %, Test Accuracy: 83.57 %
Epoch 20, Train Accuracy: 86.73 %, Test Accuracy: 83.88 %
Epoch 21, Train Accuracy: 87.57 %, Test Accuracy: 83.79 %
Epoch 22, Train Accuracy: 87.93 %, Test Accuracy: 85.18 %
Epoch 23, Train Accuracy: 88.82 %, Test Accuracy: 85.60 %
Epoch 24, Train Accuracy: 89.15 %, Test Accuracy: 85.75 %
Epoch 25, Train Accuracy: 90.08 %, Test Accuracy: 86.72 %
Epoch 26, Train Accuracy: 90.72 %, Test Accuracy: 87.63 %
Epoch 27, Train Accuracy: 90.74 %, Test Accuracy: 87.72 %
Epoch 28, Train Accuracy: 91.18 %, Test Accuracy: 87.57 %
Epoch 29, Train Accuracy: 91.81 %, Test Accuracy: 87.78 %
Epoch 30, Train Accuracy: 92.37 %, Test Accuracy: 88.91 %
Epoch 31, Train Accuracy: 92.69 %, Test Accuracy: 89.10 %
Epoch 32, Train Accuracy: 93.06 %, Test Accuracy: 88.24 %
Epoch 33, Train Accuracy: 93.13 %, Test Accuracy: 88.84 %
Epoch 34, Train Accuracy: 93.90 %, Test Accuracy: 89.80 %
Epoch 35, Train Accuracy: 94.28 %, Test Accuracy: 89.92 %
Epoch 36, Train Accuracy: 94.32 %, Test Accuracy: 89.08 %
Epoch 37, Train Accuracy: 94.84 %, Test Accuracy: 88.82 %
Epoch 38, Train Accuracy: 94.87 %, Test Accuracy: 90.12 %
Epoch 39, Train Accuracy: 95.39 %, Test Accuracy: 90.46 %
Epoch 40, Train Accuracy: 95.93 %, Test Accuracy: 89.73 %
Epoch 41, Train Accuracy: 96.18 %, Test Accuracy: 90.69 %
Epoch 42, Train Accuracy: 96.31 %, Test Accuracy: 90.16 %
Epoch 43, Train Accuracy: 96.47 %, Test Accuracy: 90.69 %
Epoch 44, Train Accuracy: 96.63 %, Test Accuracy: 89.87 %
Epoch 45, Train Accuracy: 96.99 %, Test Accuracy: 90.61 %
Epoch 46, Train Accuracy: 97.27 %, Test Accuracy: 90.76 %
Epoch 47, Train Accuracy: 97.21 %, Test Accuracy: 91.08 %
Epoch 48, Train Accuracy: 97.43 %, Test Accuracy: 91.16 %
Epoch 49, Train Accuracy: 97.69 %, Test Accuracy: 91.44 %
Epoch 50, Train Accuracy: 97.90 %, Test Accuracy: 91.70 %
Epoch 51, Train Accuracy: 97.99 %, Test Accuracy: 91.40 %
Epoch 52, Train Accuracy: 98.37 %, Test Accuracy: 91.66 %
Epoch 53, Train Accuracy: 98.43 %, Test Accuracy: 91.69 %
Epoch 54, Train Accuracy: 98.38 %, Test Accuracy: 91.59 %
Epoch 55, Train Accuracy: 98.34 %, Test Accuracy: 91.91 %
Epoch 56, Train Accuracy: 98.56 %, Test Accuracy: 92.05 %
Epoch 57, Train Accuracy: 98.63 %, Test Accuracy: 91.91 %
Epoch 58, Train Accuracy: 98.80 %, Test Accuracy: 92.34 %
Epoch 59, Train Accuracy: 98.90 %, Test Accuracy: 91.79 %
Epoch 60, Train Accuracy: 98.92 %, Test Accuracy: 92.87 %
Epoch 61, Train Accuracy: 99.05 %, Test Accuracy: 92.52 %
Epoch 62, Train Accuracy: 99.14 %, Test Accuracy: 92.61 %
Epoch 63, Train Accuracy: 99.24 %, Test Accuracy: 92.76 %
Epoch 64, Train Accuracy: 99.21 %, Test Accuracy: 92.48 %
