NODE=[HOST_06f76743f2] | JOB=fa1-node-s5 4739715
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 5 --save-directory cluster/Account1/metaopt/runs/fa1 --run-name fa1-node-s5
ENV: AUGMENT=1 BETA_CLIP=-25:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/fa1/probe_node_fa1_s5
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.81 %, Test Accuracy: 31.09 %
Epoch 1, Train Accuracy: 35.18 %, Test Accuracy: 38.81 %
Epoch 2, Train Accuracy: 41.36 %, Test Accuracy: 44.46 %
Epoch 3, Train Accuracy: 46.89 %, Test Accuracy: 50.31 %
Epoch 4, Train Accuracy: 51.75 %, Test Accuracy: 54.77 %
Epoch 5, Train Accuracy: 56.88 %, Test Accuracy: 58.46 %
Epoch 6, Train Accuracy: 60.88 %, Test Accuracy: 62.07 %
Epoch 7, Train Accuracy: 64.30 %, Test Accuracy: 65.79 %
Epoch 8, Train Accuracy: 68.24 %, Test Accuracy: 67.88 %
Epoch 9, Train Accuracy: 70.96 %, Test Accuracy: 70.13 %
Epoch 10, Train Accuracy: 73.83 %, Test Accuracy: 73.52 %
Epoch 11, Train Accuracy: 76.56 %, Test Accuracy: 75.57 %
Epoch 12, Train Accuracy: 78.40 %, Test Accuracy: 76.67 %
Epoch 13, Train Accuracy: 79.72 %, Test Accuracy: 78.61 %
Epoch 14, Train Accuracy: 81.41 %, Test Accuracy: 80.94 %
Epoch 15, Train Accuracy: 82.39 %, Test Accuracy: 82.48 %
Epoch 16, Train Accuracy: 83.63 %, Test Accuracy: 80.33 %
Epoch 17, Train Accuracy: 84.68 %, Test Accuracy: 83.01 %
Epoch 18, Train Accuracy: 85.52 %, Test Accuracy: 84.23 %
Epoch 19, Train Accuracy: 86.00 %, Test Accuracy: 83.68 %
Epoch 20, Train Accuracy: 87.23 %, Test Accuracy: 85.59 %
Epoch 21, Train Accuracy: 87.83 %, Test Accuracy: 85.66 %
Epoch 22, Train Accuracy: 88.60 %, Test Accuracy: 85.45 %
Epoch 23, Train Accuracy: 88.83 %, Test Accuracy: 85.93 %
Epoch 24, Train Accuracy: 89.44 %, Test Accuracy: 87.54 %
Epoch 25, Train Accuracy: 89.80 %, Test Accuracy: 84.71 %
Epoch 26, Train Accuracy: 90.16 %, Test Accuracy: 87.10 %
Epoch 27, Train Accuracy: 90.85 %, Test Accuracy: 87.25 %
Epoch 28, Train Accuracy: 91.55 %, Test Accuracy: 88.27 %
Epoch 29, Train Accuracy: 91.81 %, Test Accuracy: 88.27 %
Epoch 30, Train Accuracy: 92.08 %, Test Accuracy: 89.48 %
Epoch 31, Train Accuracy: 92.93 %, Test Accuracy: 89.42 %
