NODE=[HOST_e8d809bd94] | JOB=fr5-w-a3-s1 4701819 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account2/metaopt/runs/fr5 --run-name fr5-w-a3-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/fr5/probe_w_a3_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.63 %, Test Accuracy: 31.31 %
Epoch 1, Train Accuracy: 37.11 %, Test Accuracy: 43.20 %
Epoch 2, Train Accuracy: 45.37 %, Test Accuracy: 49.76 %
Epoch 3, Train Accuracy: 50.83 %, Test Accuracy: 54.66 %
Epoch 4, Train Accuracy: 56.04 %, Test Accuracy: 59.27 %
Epoch 5, Train Accuracy: 60.35 %, Test Accuracy: 62.80 %
Epoch 6, Train Accuracy: 63.81 %, Test Accuracy: 65.20 %
Epoch 7, Train Accuracy: 67.27 %, Test Accuracy: 67.73 %
Epoch 8, Train Accuracy: 69.87 %, Test Accuracy: 70.92 %
Epoch 9, Train Accuracy: 72.03 %, Test Accuracy: 72.86 %
Epoch 10, Train Accuracy: 74.59 %, Test Accuracy: 74.61 %
Epoch 11, Train Accuracy: 76.01 %, Test Accuracy: 75.57 %
Epoch 12, Train Accuracy: 77.85 %, Test Accuracy: 78.05 %
Epoch 13, Train Accuracy: 79.38 %, Test Accuracy: 79.28 %
Epoch 14, Train Accuracy: 80.76 %, Test Accuracy: 80.38 %
Epoch 15, Train Accuracy: 81.94 %, Test Accuracy: 81.47 %
Epoch 16, Train Accuracy: 83.09 %, Test Accuracy: 81.67 %
Epoch 17, Train Accuracy: 83.64 %, Test Accuracy: 82.24 %
Epoch 18, Train Accuracy: 84.43 %, Test Accuracy: 82.56 %
Epoch 19, Train Accuracy: 85.11 %, Test Accuracy: 83.42 %
9  minutes
RUN_DONE
